DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Alabama. September 29, 2000 793 So.2d 714 2000 WL 1455252
Extracted from page: 2
","U.S. Diagnostic, Inc. v. Shelby Radiology, P.C., No. 1982181, 793 So. 2d 714, 2000 WL 1455252 (Ala. Sep. 29, 2000)
","Sep. 29, 2000",Alabama,Overruled by," 1.  Bruce v. Cole 
854 So.2d 47 , Ala. , (NO. 1000080 )
","Jan. 24, 2003"
"Supreme Court of Alabama. June 02, 2000 775 So.2d 847 2000 WL 709511
Extracted from page: 2
","Ex parte Land, No. 1971816, 775 So. 2d 847, 2000 WL 709511 (Ala. June 02, 2000)
","June 02, 2000",Alabama,Overruled by," 1.  State v. Martin 
69 So.3d 94 , Ala. , (NO. 1091450 )
","Jan. 07, 2011"
"Supreme Court of Alabama. May 26, 2000 774 So.2d 521 2000 WL 681067
Extracted from page: 4
","Southern Energy Homes, Inc. v. Gary, No. 1972290, 774 So. 2d 521, 2000 WL 681067 (Ala. May 26, 2000)
","May 26, 2000",Alabama,Overruled by,"    1.  Jim Burke Automotive, Inc. v. McGrue  
826 So.2d 122 , Ala. , (NO. 1000831 , 1000877 , 1000972 , 1000973 , 1000980 , 1000981 )
","Jan. 18, 2002"
"Supreme Court of Alabama. November 17, 2000 783 So.2d 828 2000 WL 1717042
Extracted from page: 5
","Mock v. Allen, No. 1980985, 783 So. 2d 828, 2000 WL 1717042 (Ala. Nov. 17, 2000)
","Nov. 17, 2000",Alabama,Abrogated by," 1.  Ex parte Vanderwall  
201 So.3d 525 , Ala. , (NO. 1130036 , 1130041 )
","Sep. 30, 2015"
"Supreme Court of Alabama. March 10, 2000 775 So.2d 759 2000 WL 264243
Extracted from page: 6
","Sisters of Visitation v. Cochran Plastering Co., Inc., No. 1981513, 775 So. 2d 759, 2000 WL 264243 (Ala. Mar. 10, 2000)
","Mar. 10, 2000",Alabama,Abrogated by," 1.  Citizens Bank v. Alafabco, Inc. 
123 S.Ct. 2037 , 539 U.S. 52 , 156 L.Ed.2d 46 , 71 USLW 3745 , 71 USLW 3748 , 03 Cal. Daily Op. Serv. 4560 , 2003 Daily Journal D.A.R. 5807 , 16 Fla. L. Weekly Fed. S 324 , 10 A.L.R. Fed. 2d 837 , U.S.Ala. , (NO. 02-1295 )
","June 02, 2003"
"Supreme Court of Alabama. March 10, 1978 356 So.2d 638
Extracted from page: 9
","Paul Krebs and Associates v. Matthews & Fritts Const. Co., Inc., No. 77-90, 356 So. 2d 638 (Ala. Mar. 10, 1978)
","Mar. 10, 1978",Alabama,Overruled by," 1.  Goodyear Tire and Rubber Co. v. J.M. Tull Metals Co.  
629 So.2d 633 , Ala. , (NO. 1920610 )
","Sep. 17, 1993"
"Supreme Court of Alabama. April 07, 1978 357 So.2d 985
Extracted from page: 10
","Alabama Precast Products, Inc. v. Boswell, No. SC 2527, 357 So. 2d 985 (Ala. Apr. 07, 1978)
","Apr. 07, 1978",Alabama,Overruled by," 1.  Ex parte Morrison Food Service of Alabama, Inc.  
497 So.2d 136 , Ala. , (NO. 84-1313 )
","June 20, 1986"
"Supreme Court of Alabama. May 26, 1978 359 So.2d 361
Extracted from page: 11
","Browning v. City of Gadsden, No. SC 2723, 359 So. 2d 361 (Ala. May 26, 1978)
","May 26, 1978",Alabama,Overruled by," 1.  City of Birmingham v. Davis  
613 So.2d 1222 , Ala. , (NO. 1911140 )
","Nov. 06, 1992"
"Supreme Court of Alabama. September 15, 1978 362 So.2d 228 1978 WL 539168
Extracted from page: 14
","Assured Investors Life Ins. Co. v. National Union Associates, Inc., No. 77-322, 362 So. 2d 228, 1978 WL 539168 (Ala. Sep. 15, 1978)
","Sep. 15, 1978",Alabama,Overruled by," 1.  Ex parte Norfolk Southern Ry. Co.  
897 So.2d 290 , Ala. , (NO. 1030476 )
","Sep. 03, 2004"
"14, 1927 216 Ala. 72 112 So. 335
Extracted from page: 16
","McCarter v. City of Florence, No. 8 DIV. 904., 216 Ala. 72, 112 So. 335 (Ala. Apr. 14, 1927)
","Apr. 14, 1927",Alabama,Abrogated by," 1.  Jackson v. City of Florence 
320 So.2d 68 , 294 Ala. 592 , Ala. , (NO. SC 934 )
","July 10, 1975"
