DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Alaska. May 21, 1976 550 P.2d 359
Extracted from page: 1
","Isakson v. Rickey, No. 2550, 550 P.2d 359 (Alaska May 21, 1976)
","May 21, 1976",Alaska,Abrogated by," 1.  Commercial Fisheries Entry Commission v. Apokedak  
606 P.2d 1255 , Alaska , (NO. 4464 )
","Feb. 05, 1980"
"Supreme Court of Alaska. April 13, 1973 508 P.2d 1192
Extracted from page: 3
","Thessen v. State, No. 1607, 508 P.2d 1192 (Alaska Apr. 13, 1973)
","Apr. 13, 1973",Alaska,Overruled by," 1.  State v. Dunlop  
721 P.2d 604 , Alaska , (NO. S-1163 , S-923 )
","June 13, 1986"
"Supreme Court of Alaska. September 12, 1973 513 P.2d 1104
Extracted from page: 5
","State v. City of Anchorage, No. 1743, 513 P.2d 1104 (Alaska Sep. 12, 1973)
","Sep. 12, 1973",Alaska,Disavowed by," 1.  State v. Alex 
646 P.2d 203 , Alaska , (NO. 2488 , 5065 , 5086 , 5142 )
","Apr. 23, 1982"
"Supreme Court of Alaska. December 08, 1975 543 P.2d 406
Extracted from page: 6
","State v. Gibson, No. 2415, 543 P.2d 406 (Alaska Dec. 08, 1975)
","Dec. 08, 1975",Alaska,Overruled by," 1.  State v. Dunlop 
721 P.2d 604 , Alaska , (NO. S-1163 , S-923 )
","June 13, 1986"
"Supreme Court of Alaska. July 14, 1975 538 P.2d 100
Extracted from page: 6
","McCurry v. State, No. 2168, 538 P.2d 100 (Alaska July 14, 1975)
","July 14, 1975",Alaska,Overruled by," 1.  Howe v. State  
589 P.2d 421 , Alaska , (NO. 4129 )
","Jan. 26, 1979"
"Supreme Court of Alaska. December 08, 1975 543 P.2d 218
Extracted from page: 7
","Skagway City School Bd. v. Davis, No. 2265, 543 P.2d 218 (Alaska Dec. 08, 1975)
","Dec. 08, 1975",Alaska,Overruled by," 1.  Diedrich v. City of Ketchikan 
805 P.2d 362 , Alaska , (NO. 3661 , S-3568 , S-3659 )
","Jan. 25, 1991"
"Supreme Court of Alaska. May 21, 1975 536 P.2d 105
Extracted from page: 7
","State v. Campbell, No. 2294, 536 P.2d 105 (Alaska May 21, 1975)
","May 21, 1975",Alaska,Overruled by," 1.  Kimoktoak v. State  
584 P.2d 25 , Alaska , (NO. 3177 )
","Sep. 01, 1978"
"Supreme Court of Alaska. May 21, 1975 535 P.2d 1043
Extracted from page: 8
","Layland v. State, No. 2264, 535 P.2d 1043 (Alaska May 21, 1975)
","May 21, 1975",Alaska,Overruled by," 1.  Anchorage v. Geber 
592 P.2d 1187 , Alaska , (NO. 3827 , 4016 , 4037 , 4046 )
","Mar. 30, 1979"
"Supreme Court of Alaska. May 21, 1975 535 P.2d 1043
Extracted from page: 8
","Layland v. State, No. 2264, 535 P.2d 1043 (Alaska May 21, 1975)
","May 21, 1975",Alaska,Overruled by," 2.  State v. Blank 
90 P.3d 156 , Alaska , (NO. S-9721 )
","Apr. 30, 2004"
"Supreme Court of Alaska. April 03, 1975 534 P.2d 528 94 A.L.R.3d 621
Extracted from page: 8
","McGalliard v. Liberty Leasing Co. of Alaska, Inc., No. 2003, 534 P.2d 528, 94 A.L.R.3d 621, 16 UCC Rep. Serv. 906 (Alaska Apr. 03, 1975)
","Apr. 03, 1975",Alaska,Overruled by," 1.  Western Enterprises, Inc. v. Arctic Office Machines, Inc. 
667 P.2d 1232 , 36 UCC Rep.Serv. 1331 , Alaska , (NO. 2707 , 6851 )
","July 29, 1983"
"Supreme Court of Alaska. November 12, 1975 542 P.2d 251
Extracted from page: 9
","Poulin v. Zartman, No. 2120, 542 P.2d 251 (Alaska Nov. 12, 1975)
","Nov. 12, 1975",Alaska,Disavowed by," 1.  State v. Alex 
646 P.2d 203 , Alaska , (NO. 2488 , 5065 , 5086 , 5142 )
","Apr. 23, 1982"
"Supreme Court of Alaska. June 23, 1969 456 P.2d 462
Extracted from page: 9
","Martin v. City of Fairbanks, No. 1048, 456 P.2d 462 (Alaska June 23, 1969)
","June 23, 1969",Alaska,Overruled by," 1.  Whitton v. State 
479 P.2d 302 , Alaska , (NO. 1153 )
","Dec. 23, 1970"
