DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Banc. May 27, 1997 189 Ariz. 113 938 P.2d 1114
Extracted from page: 3
","Munroe v. Galati, No. CV-96-0522-PR, 189 Ariz. 113, 938 P.2d 1114, Prod. Liab. Rep. (CCH) P 14979, 244 Ariz. Adv. Rep. 3, 1997 WL 275498 (Ariz. May 27, 1997)
","May 27, 1997",Arizona,Abrogated by," 1.  Geier v. American Honda Motor Co., Inc. 
120 S.Ct. 1913 , 529 U.S. 861 , 146 L.Ed.2d 914 , 68 USLW 4425 , Prod.Liab.Rep. (CCH) P 19,795 , 00 Cal. Daily Op. Serv. 3950 , 2000 Daily Journal D.A.R. 5277 , 2000 CJ C.A.R. 2826 , 13 Fla. L. Weekly Fed. S 344 , U.S.Dist.Col. , (NO. 98-1811 )
","May 22, 2000"
"Supreme Court of Arizona. May 05, 1947 65 Ariz. 307 180 P.2d 217
Extracted from page: 7
","Jacob v. Cherry, No. 4906, 65 Ariz. 307, 180 P.2d 217 (Ariz. May 05, 1947)
","May 05, 1947",Arizona,Abrogated by," 1.  Sertich v. Moorman 
783 P.2d 1199 , 162 Ariz. 407 , Ariz. , (NO. CV-88-0484-PR )
","Nov. 14, 1989"
"Supreme Court of Arizona. April 07, 1947 65 Ariz. 243 179 P.2d 229
Extracted from page: 7
","Worsham v. Bauchard, No. 4907, 65 Ariz. 243, 179 P.2d 229 (Ariz. Apr. 07, 1947)
","Apr. 07, 1947",Arizona,Overruled by," 1.  Prudential Ins. Co. of America v. O’Grady 
396 P.2d 246 , 97 Ariz. 9 , Ariz. , (NO. 7762 )
","Oct. 30, 1964"
"Supreme Court of Arizona. March 12, 1947 65 Ariz. 268 179 P.2d 252
Extracted from page: 9
","Duhame v. State Tax Commission, No. 4948, 65 Ariz. 268, 179 P.2d 252, 171 A.L.R. 684 (Ariz. Mar. 12, 1947)
","Mar. 12, 1947",Arizona,Overruled by," 1.  Valencia Energy Co. v. Arizona Dept. of Revenue  
959 P.2d 1256 , 191 Ariz. 565 , 270 Ariz. Adv. Rep. 3 , Ariz. , (NO. CV-96-0666-PR )
","May 19, 1998"
"Supreme Court of Arizona. December 01, 1947 66 Ariz. 272 187 P.2d 325
Extracted from page: 9
","Butane Corp. v. Kirby, No. 4893, 66 Ariz. 272, 187 P.2d 325 (Ariz. Dec. 01, 1947)
","Dec. 01, 1947",Arizona,Overruled by," 1.  Anderson v. Morgan 
241 P.2d 786 , 73 Ariz. 344 , Ariz. , (NO. 5428 )
","Mar. 17, 1952"
"Supreme Court of Arizona. June 19, 1915 17 Ariz. 165 149 P. 670
Extracted from page: 16
","Mohave County v. Stephens, No. 1435, 17 Ariz. 165, 149 P. 670 (Ariz. June 19, 1915)
","June 19, 1915",Arizona,Overruled by," 1.  State v. Inspiration Consol. Copper Co. 
181 P. 955 , 20 Ariz. 503 , Ariz. , (NO. 1668 )
","July 02, 1919"
"Supreme Court of Arizona. February 28, 1914 15 Ariz. 343 138 P. 1048
Extracted from page: 18
","Cutler v. State, 15 Ariz. 343, 138 P. 1048 (Ariz. Feb. 28, 1914)
","Feb. 28, 1914",Arizona,Overruled by," 1.  State v. Jordan  
294 P.2d 677 , 80 Ariz. 193 , Ariz. , (NO. 1071 )
","Mar. 13, 1956"
"Banc. April 21, 1992 171 Ariz. 286 830 P.2d 807
Extracted from page: 22
","Arizona Corp. Com'n v. State ex rel. Woods, No. CV-91-0082-SA, 171 Ariz. 286, 830 P.2d 807, 131 P.U.R.4th 604, Util. L. Rep. P 26195, 1992 WL 82153 (Ariz. Apr. 21, 1992)
","Apr. 21, 1992",Arizona,Abrogated by," 1.  Johnson Utilities, L.L.C. v. Arizona Corporation Commission  
468 P.3d 1176 , 249 Ariz. 215 , 23 Arizona Cases Digest 38 , Ariz. , (NO. CV-19-0105-PR )
","July 31, 2020"
"Supreme Court of Arizona. April 07, 1920 21 Ariz. 388 188 P. 873
Extracted from page: 25
","Bertozzi v. Collaso, No. 1780, 21 Ariz. 388, 188 P. 873, 21 A.L.R. 5 (Ariz. Apr. 07, 1920)
","Apr. 07, 1920",Arizona,Abrogated by," 1.  Sertich v. Moorman  
783 P.2d 1199 , 162 Ariz. 407 , Ariz. , (NO. CV-88-0484-PR )
","Nov. 14, 1989"
"Supreme Court of Arizona. April 28, 1920 21 Ariz. 424 189 P. 631
Extracted from page: 27
","State v. Sharp, No. 1783, 21 Ariz. 424, 189 P. 631 (Ariz. Apr. 28, 1920)
","Apr. 28, 1920",Arizona,Overruled by," 1.  Stone v. Arizona Highway Commission  
381 P.2d 107 , 93 Ariz. 384 , Ariz. , (NO. 6936 )
","Apr. 25, 1963"
