DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Arkansas. October 28, 1996 325 Ark. 341 942 S.W.2d 804
Extracted from page: 7
","State, Dept. of Finance and Admin. v. Staton, No. 96-215, 325 Ark. 341, 942 S.W.2d 804, 1996 WL 875802 (Ark. Oct. 28, 1996)
","Oct. 28, 1996",Arkansas,Overruled by," 1.  Board of Trustees of University of Arkansas v. Andrews 
535 S.W.3d 616 , 2018 Ark. 12 , 27 Wage & Hour Cas.2d (BNA) 1036 , Ark. , (NO. CV-17-168 )
","Jan. 18, 2018"
"Supreme Court of Arkansas. June 27, 1994 317 Ark. 430 877 S.W.2d 593
Extracted from page: 8
","Rockett v. State, No. CR94-578, 317 Ark. 430, 877 S.W.2d 593, 1994 WL 287244 (Ark. June 27, 1994)
","June 27, 1994",Arkansas,Abrogated by," 1.  McDonald v. State 
146 S.W.3d 883 , 356 Ark. 106 , Ark. , (NO. CR03-957 )
","Feb. 12, 2004"
"Supreme Court of Arkansas. May 23, 1994 317 Ark. 139 875 S.W.2d 851
Extracted from page: 9
","Stroud Crop, Inc. v. Hagler, No. 93-1233, 317 Ark. 139, 875 S.W.2d 851, 1994 WL 209490 (Ark. May 23, 1994)
","May 23, 1994",Arkansas,Overruled by," 1.  McCourt Mfg. Corp. v. Rycroft  
322 S.W.3d 491 , 2009 Ark. 332 , Ark. , (NO. 08-653 )
","June 04, 2009"
"Supreme Court of Arkansas. September 19, 1994 318 Ark. 36 883 S.W.2d 465
Extracted from page: 9
","Stricklin v. State, No. CR 94-303, 318 Ark. 36, 883 S.W.2d 465, 1994 WL 524282 (Ark. Sep. 19, 1994)
","Sep. 19, 1994",Arkansas,Overruled by," 1.  Strickland v. State 
909 S.W.2d 318 , 322 Ark. 312 , Ark. , (NO. CR 94-879 )
","Nov. 06, 1995"
"Supreme Court of Arkansas. May 09, 1994 317 Ark. 5 875 S.W.2d 507
Extracted from page: 12
","Lively v. Libbey Memorial Physical Medical Center, Inc., No. 93-1243, 317 Ark. 5, 875 S.W.2d 507, 1994 WL 179111 (Ark. May 09, 1994)
","May 09, 1994",Arkansas,Overruled by," 1.  VanWagoner v. Beverly Enterprises 
970 S.W.2d 810 , 334 Ark. 12 , Ark. , (NO. 97-1355 )
","July 02, 1998"
"Supreme Court of Arkansas. September 26, 1994 318 Ark. 72 883 S.W.2d 474
Extracted from page: 15
","Gilland v. State, No. CR94-396, 318 Ark. 72, 883 S.W.2d 474, 1994 WL 527955 (Ark. Sep. 26, 1994)
","Sep. 26, 1994",Arkansas,Overruled by," 1.  MacKintrush v. State 
978 S.W.2d 293 , 334 Ark. 390 , Ark. , (NO. CR 98-019 )
","Oct. 01, 1998"
"Supreme Court of Arkansas. December 05, 1994 318 Ark. 831 890 S.W.2d 235
Extracted from page: 17
","Rockett v. State, No. CR94-510, 318 Ark. 831, 890 S.W.2d 235, 1994 WL 687916 (Ark. Dec. 05, 1994)
","Dec. 05, 1994",Arkansas,Overruled by," 1.  MacKintrush v. State 
978 S.W.2d 293 , 334 Ark. 390 , Ark. , (NO. CR 98-019 )
","Oct. 01, 1998"
"July 05, 1994 317 Ark. 499 879 S.W.2d 401
Extracted from page: 18
","Purtle v. McAdams, No. 94-28, 317 Ark. 499, 879 S.W.2d 401, 1994 WL 319772 (Ark. July 05, 1994)
","July 05, 1994",Arkansas,Overruled by," 1.  Weigel v. Farmers Ins. Co., Inc.  
158 S.W.3d 147 , 356 Ark. 617 , Ark. , (NO. 03-643 )
","Apr. 08, 2004"
"Supreme Court of Arkansas. February 28, 1994 316 Ark. 133 870 S.W.2d 742
Extracted from page: 18
","Singleton v. Endell, No. 93-950, 316 Ark. 133, 870 S.W.2d 742, 1994 WL 65581 (Ark. Feb. 28, 1994)
","Feb. 28, 1994",Arkansas,Overruled by," 1.  Ward v. Hutchinson  
558 S.W.3d 856 , 2018 Ark. 313 , Ark. , (NO. CV-17-291 )
","Nov. 01, 2018"
"Supreme Court of Arkansas. December 19, 1994 319 Ark. 94 889 S.W.2d 740
Extracted from page: 20
","Sproles v. Associated Brigham Contractors, Inc., No. 94-185, 319 Ark. 94, 889 S.W.2d 740, 1994 WL 717089 (Ark. Dec. 19, 1994)
","Dec. 19, 1994",Arkansas,Abrogated by," 1.  Suneson v. Holloway Const. Co. 
992 S.W.2d 79 , 337 Ark. 571 , Ark. , (NO. 98-846 )
","May 27, 1999"
"Supreme Court of Arkansas. June 25, 1928 177 Ark. 694 8 S.W.2d 448
Extracted from page: 25
","Order of Railway Conductors of America v. Bandy, No. 67, 177 Ark. 694, 8 S.W.2d 448 (Ark. June 25, 1928)
","June 25, 1928",Arkansas,Overruled by," 1.  Anheuser-Busch v. Manion 
100 S.W.2d 672 , 193 Ark. 405 , Ark. , (NO. 4-4494 )
","Jan. 11, 1937"
