DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of California. May 19, 1909 155 Cal. 535 102 P. 517
Extracted from page: 3
","People v. Le Doux, No. 1,403, 155 Cal. 535, 102 P. 517 (Cal. May 19, 1909)
","May 19, 1909",California,Overruled by," 1.  People v. Cahan 
282 P.2d 905 , 44 Cal.2d 434 , 50 A.L.R.2d 513 , Cal. , (NO. CR. 5670 )
","Apr. 27, 1955"
"25, 1909 156 Cal. 379 104 P. 986
Extracted from page: 3
","Kimic v. San Jose-Los Gatos Interurban Ry. Co., No. 5,016, 156 Cal. 379, 104 P. 986 (Cal. Oct. 25, 1909)
","Oct. 25, 1909",California,Overruled by," 1.  Lane v. Pacific Greyhound Lines 
160 P.2d 21 , 26 Cal.2d 575 , Cal. , (NO. S.F. 17079 )
","June 22, 1945"
"Bank. September 14, 1956 47 Cal.2d 36 301 P.2d 247
Extracted from page: 7
","People v. Walsh, No. CR. 5793, 47 Cal. 2d 36, 301 P.2d 247 (Cal. Sep. 14, 1956)
","Sep. 14, 1956",California,Overruled by," 1.  People v. Sharer 
40 Cal.Rptr. 851 , 395 P.2d 899 , 61 Cal.2d 869 , Cal. , (NO. CR. 8025 )
","Oct. 29, 1964"
"Bank. November 30, 1956 47 Cal.2d 406 303 P.2d 1018
Extracted from page: 7
","People v. Bridgehouse, No. CR. 5913, 47 Cal. 2d 406, 303 P.2d 1018 (Cal. Nov. 30, 1956)
","Nov. 30, 1956",California,Abrogated by," 1.  People v. Lasko 
96 Cal.Rptr.2d 441 , 999 P.2d 666 , 23 Cal.4th 101 , 00 Cal. Daily Op. Serv. 4309 , 2000 Daily Journal D.A.R. 5791 , Cal. , (NO. S069354 )
","June 02, 2000"
"Bank. October 31, 1956 47 Cal.2d 258 302 P.2d 801
Extracted from page: 11
","In re Bailleaux, No. CR. 5808, 47 Cal. 2d 258, 302 P.2d 801 (Cal. Oct. 31, 1956)
","Oct. 31, 1956",California,Overruled by," 1.  In re Russell 
115 Cal.Rptr. 511 , 524 P.2d 1295 , 12 Cal.3d 229 , Cal. , (NO. CR. 17007 )
","Aug. 01, 1974"
"Bank. December 31, 1956 47 Cal.2d 566 305 P.2d 1
Extracted from page: 15
","People v. Riser, No. CR. 5896, 47 Cal. 2d 566, 305 P.2d 1 (Cal. Dec. 31, 1956)
","Dec. 31, 1956",California,Overruled by," 1.  People v. Chapman
338 P.2d 428 , 52 Cal.2d 95 , Cal. , (NO. CR 6428 )
","May 01, 1959"
"Bank. December 31, 1956 47 Cal.2d 566 305 P.2d 1
Extracted from page: 15
","People v. Riser, No. CR. 5896, 47 Cal. 2d 566, 305 P.2d 1 (Cal. Dec. 31, 1956)
","Dec. 31, 1956",California,Overruled by," 2.  People v. Morse 
36 Cal.Rptr. 201 , 388 P.2d 33 , 60 Cal.2d 631 , 12 A.L.R.3d 810 , Cal. , (NO. CR 7339 )
","Jan. 07, 1964"
"Supreme Court of California. January 17, 1895 105 Cal. 632 39 P. 59
Extracted from page: 17
","People v. Azoff, No. 21,168, 105 Cal. 632, 39 P. 59 (Cal. Jan. 17, 1895)
","Jan. 17, 1895",California,Overruled by," 1.  People v. Hutchinson 
78 Cal.Rptr. 196 , 455 P.2d 132 , 71 Cal.2d 342 , Cal. , (NO. CR. 13154 )
","June 18, 1969"
"Supreme Court of California. February 13, 1895 106 Cal. 98 39 P. 213
Extracted from page: 18
","Kruger v. Life & Annuity Ass'n, No. 15,837, 106 Cal. 98, 39 P. 213 (Cal. Feb. 13, 1895)
","Feb. 13, 1895",California,Overruled by," 1.  San Francisco Sav. Union v. Long 
55 P. 708 , 123 Cal. 107 , Cal. , (NO. 1,041 )
","Dec. 20, 1898"
"Supreme Court of California. December 10, 1895 110 Cal. 339 42 P. 900
Extracted from page: 22
","Buckley v. Gray, No. 15,905, 110 Cal. 339, 42 P. 900 (Cal. Dec. 10, 1895)
","Dec. 10, 1895",California,Overruled by," 1.  Biakanja v. Irving
320 P.2d 16 , 49 Cal.2d 647 , 65 A.L.R.2d 1358 , Cal. , (NO. SF 19757 )
","Jan. 17, 1958"
"Supreme Court of California. December 10, 1895 110 Cal. 339 42 P. 900
Extracted from page: 22
","Buckley v. Gray, No. 15,905, 110 Cal. 339, 42 P. 900 (Cal. Dec. 10, 1895)
","Dec. 10, 1895",California,Overruled by," 2.  Lucas v. Hamm 
15 Cal.Rptr. 821 , 364 P.2d 685 , 56 Cal.2d 583 , Cal. , (NO. S.F. 20269 )
","Sep. 05, 1961"
