DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Department. October 10, 1972 180 Colo. 28 501 P.2d 1041
Extracted from page: 4
","People v. Barker, No. 25020, 180 Colo. 28, 501 P.2d 1041 (Colo. Oct. 10, 1972)
","Oct. 10, 1972",Colorado,Overruled by," 1.  Bondsteel v. People  
439 P.3d 847 , 2019 CO 26 , Colo. , (NO. 15SC1096 )
","Apr. 22, 2019"
"05, 1972 179 Colo. 335 500 P.2d 807
Extracted from page: 6
","Service Oil Co. v. Rhodus, No. 25259, 179 Colo. 335, 500 P.2d 807 (Colo. Sep. 05, 1972)
","Sep. 05, 1972",Colorado,Overruled by," 1.  Hartley v. City of Colorado Springs  
764 P.2d 1216 , Colo. , (NO. 87SA186 )
","Nov. 28, 1988"
"21, 1974 184 Colo. 28 518 P.2d 824
Extracted from page: 10
","People v. Schlepp, No. 25650, 184 Colo. 28, 518 P.2d 824 (Colo. Jan. 21, 1974)
","Jan. 21, 1974",Colorado,Overruled by," 1.  People v. Montoya 
753 P.2d 729 , Colo. , (NO. 86SA22 )
","Mar. 28, 1988"
"09, 1974 187 Colo. 117 530 P.2d 499
Extracted from page: 10
","People v. Davis, No. 26068, 187 Colo. 117, 530 P.2d 499 (Colo. Dec. 09, 1974)
","Dec. 09, 1974",Colorado,Disavowed by," 1.  People v. Jones 
668 P.2d 937 , Colo. , (NO. 82SA113 )
","Sep. 06, 1983"
"24, 1974 185 Colo. 272 523 P.2d 986
Extracted from page: 10
","People v. Brown, No. 25839, 185 Colo. 272, 523 P.2d 986, 1974 WL 450258 (Colo. June 24, 1974)
","June 24, 1974",Colorado,Overruled by," 1.  Villafranca v. People 
573 P.2d 540 , 194 Colo. 472 , Colo. , (NO. C-1158 )
","Jan. 16, 1978"
"28, 2002 39 P.3d 1174 2002 WL 100581
Extracted from page: 13
","People v. Jackson, No. 00SC688, 39 P.3d 1174, 2002 WL 100581 (Colo. Jan. 28, 2002)
","Jan. 28, 2002",Colorado,Abrogated by," 1.  Brendlin v. California 
127 S.Ct. 2400 , 551 U.S. 249 , 168 L.Ed.2d 132 , 75 USLW 4444 , 07 Cal. Daily Op. Serv. 6928 , 2007 Daily Journal D.A.R. 8896 , 20 Fla. L. Weekly Fed. S 365 , U.S.Cal. , (NO. 06-8120 )
","June 18, 2007"
"28, 2002 48 P.3d 528 2002 WL 1050522
Extracted from page: 15
","Close v. People, No. 00SC690, 48 P.3d 528, 2002 WL 1050522 (Colo. May 28, 2002)
","May 28, 2002",Colorado,Abrogated by," 1.  Wells-Yates v. People  
454 P.3d 191 , 2019 CO 90M , Colo. , (NO. 16SC592 )
","Nov. 04, 2019"
"Supreme Court of Colorado. December 17, 1900 28 Colo. 129 63 P. 403
Extracted from page: 21
","City of Denver v. Hyatt, 28 Colo. 129, 63 P. 403 (Colo. Dec. 17, 1900)
","Dec. 17, 1900",Colorado,Overruled by," 1.  Scholz v. Metropolitan Pathologists, P.C. 
851 P.2d 901 , 61 USLW 2707 , Colo. , (NO. 92SA277 )
","Apr. 26, 1993"
"Supreme Court of Colorado. February 05, 1900 27 Colo. 159 60 P. 618
Extracted from page: 21
","Durkee v. Jones, 27 Colo. 159, 60 P. 618 (Colo. Feb. 05, 1900)
","Feb. 05, 1900",Colorado,Overruled by," 1.  Trueblood v. Pierce 
179 P.2d 671 , 116 Colo. 221 , 171 A.L.R. 1270 , Colo. , (NO. 15777 )
","Apr. 07, 1947"
"Supreme Court of Colorado. October 06, 1902 30 Colo. 298 70 P. 417
Extracted from page: 22
","Bigcraft v. People, 30 Colo. 298, 70 P. 417 (Colo. Oct. 06, 1902)
","Oct. 06, 1902",Colorado,Overruled by," 1.  Adrian v. People 
770 P.2d 1243 , Colo. , (NO. 87SC254 )
","Mar. 13, 1989"
