DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Connecticut. July 23, 1985 197 Conn. 17 495 A.2d 1028
Extracted from page: 18
","State v. Martin, No. 12555, 197 Conn. 17, 495 A.2d 1028 (Conn. July 23, 1985)
","July 23, 1985",Connecticut,Overruled by," 1.  State v. Das 
968 A.2d 367 , 291 Conn. 356 , Conn. , (NO. 18215 )
","Apr. 28, 2009"
"Supreme Court of Connecticut. August 20, 1985 197 Conn. 219 496 A.2d 498
Extracted from page: 19
","State v. Kimbro, No. 12139, 197 Conn. 219, 496 A.2d 498 (Conn. Aug. 20, 1985)
","Aug. 20, 1985",Connecticut,Overruled by," 1.  State v. Barton  
594 A.2d 917 , 219 Conn. 529 , 60 USLW 2129 , Conn. , (NO. 14094 )
","July 16, 1991"
"Supreme Court of Connecticut. December 30, 1965 153 Conn. 290 216 A.2d 187
Extracted from page: 21
","Buck v. Morris Park, Inc., 153 Conn. 290, 216 A.2d 187 (Conn. Dec. 30, 1965)
","Dec. 30, 1965",Connecticut,Overruled by," 1.  Society for Sav. v. Chestnut Estates, Inc.  
409 A.2d 1020 , 176 Conn. 563 , Conn.
","Feb. 06, 1979"
"Supreme Court of Errors of Connecticut. November 09, 1965 153 Conn. 127 214 A.2d 900
Extracted from page: 22
","State v. Licari, 153 Conn. 127, 214 A.2d 900 (Conn. Nov. 09, 1965)
","Nov. 09, 1965",Connecticut,Overruled by," 1.  State v. Fleming 
502 A.2d 886 , 198 Conn. 255 , Conn. , (NO. 11240 )
","Jan. 07, 1986"
"Supreme Court of Errors of Connecticut. March 04, 1965 152 Conn. 460 208 A.2d 540
Extracted from page: 23
","Howarth v. Northcott, 152 Conn. 460, 208 A.2d 540, 17 A.L.R.3d 758 (Conn. Mar. 04, 1965)
","Mar. 04, 1965",Connecticut,Overruled by," 1.  Hao Thi Popp v. Lucas 
438 A.2d 755 , 182 Conn. 545 , Conn.
","Dec. 23, 1980"
"Supreme Court of Errors of Connecticut. June 28, 1965 153 Conn. 26 211 A.2d 674
Extracted from page: 24
","State v. Grady, 153 Conn. 26, 211 A.2d 674 (Conn. June 28, 1965)
","June 28, 1965",Connecticut,Abrogated by," 1.  State v. Fagan  
905 A.2d 1101 , 280 Conn. 69 , Conn. , (NO. 17562 )
","Sep. 26, 2006"
"Supreme Court of Connecticut. March 16, 1999 248 Conn. 87 726 A.2d 1154
Extracted from page: 31
","Johnson v. Statewide Grievance Committee, No. SC 15882, 248 Conn. 87, 726 A.2d 1154, 1999 WL 137281 (Conn. Mar. 16, 1999)
","Mar. 16, 1999",Connecticut,Abrogated by," 1.  Disciplinary Counsel v. Elder  
159 A.3d 220 , 325 Conn. 378 , Conn. , (NO. 19698 )
","May 02, 2017"
"Supreme Court of Connecticut. March 16, 1999 248 Conn. 64 726 A.2d 520
Extracted from page: 32
","State v. Daniels, No. SC 15992, 248 Conn. 64, 726 A.2d 520, 1999 WL 137347 (Conn. Mar. 16, 1999)
","Mar. 16, 1999",Connecticut,Overruled by," 1.  State v. Singleton 
876 A.2d 1 , 274 Conn. 426 , Conn. , (NO. 17156 )
","July 12, 2005"
"Supreme Court of Connecticut. May 11, 1999 248 Conn. 572 730 A.2d 1107
Extracted from page: 32
","State v. McClendon, No. 15817, 248 Conn. 572, 730 A.2d 1107, 1999 WL 286671 (Conn. May 11, 1999)
","May 11, 1999",Connecticut,Overruled by," 1.  State v. Guilbert  
49 A.3d 705 , 306 Conn. 218 , Conn. , (NO. 17948 )
","Sep. 04, 2012"
"Supreme Court of Connecticut. August 17, 1999 250 Conn. 241 736 A.2d 104
Extracted from page: 35
","Bortner v. Town of Woodbridge, No. SC 16114, 250 Conn. 241, 736 A.2d 104, 137 Ed. Law Rep. 1019, 1999 WL 635389 (Conn. Aug. 17, 1999)
","Aug. 17, 1999",Connecticut,Abrogated by," 1.  Arciniega v. Feliciano  
184 A.3d 1202 , 329 Conn. 293 , Conn. , (NO. 20088 )
","June 15, 2018"
"Supreme Court of Connecticut. January 25, 1994 228 Conn. 393 636 A.2d 804
Extracted from page: 37
","State v. Crowell, No. 14778, 228 Conn. 393, 636 A.2d 804, 1994 WL 20953 (Conn. Jan. 25, 1994)
","Jan. 25, 1994",Connecticut,Abrogated by," 1.  State v. Skakel  
888 A.2d 985 , 276 Conn. 633 , Conn. , (NO. 16844 )
","Jan. 24, 2006"
"Supreme Court of Connecticut. May 31, 1994 229 Conn. 479 642 A.2d 699
Extracted from page: 38
","Antinerella v. Rioux, No. 14734, 229 Conn. 479, 642 A.2d 699, RICO Bus. Disp. Guide 8677, 1994 WL 234743 (Conn. May 31, 1994)
","May 31, 1994",Connecticut,Overruled by," 1.  Miller v. Egan  
828 A.2d 549 , 265 Conn. 301 , 20 IER Cases 510 , Conn. , (NO. 16730 )
","Aug. 12, 2003"
"Supreme Court of Connecticut. March 08, 1994 228 Conn. 640 638 A.2d 1
Extracted from page: 38
","Burns v. Board of Educ. of City of Stamford, No. 14767, 228 Conn. 640, 638 A.2d 1, 89 Ed. Law Rep. 1151, 1994 WL 70411 (Conn. Mar. 08, 1994)
","Mar. 08, 1994",Connecticut,Overruled by," 1.  Haynes v. City of Middletown  
101 A.3d 249 , 314 Conn. 303 , Conn. , (NO. 19175 )
","Nov. 04, 2014"
"Supreme Court of Connecticut. February 22, 1994 228 Conn. 610 637 A.2d 1101
Extracted from page: 42
","State v. Skipper, No. 14744, 228 Conn. 610, 637 A.2d 1101, 62 USLW 2623, 1994 WL 54974 (Conn. Feb. 22, 1994)
","Feb. 22, 1994",Connecticut,Abrogated by," 1.  State v. James K. 
299 A.3d 243 , 347 Conn. 648 , Conn. , (NO. 20693 )
","Aug. 29, 2023"
"Supreme Court of Connecticut. March 23, 1994 229 Conn. 256 640 A.2d 74
Extracted from page: 42
","Blanchette v. Barrett, No. 14745, 229 Conn. 256, 640 A.2d 74, 1994 WL 136031 (Conn. Mar. 23, 1994)
","Mar. 23, 1994",Connecticut,Overruled by," 1.  Grey v. Stamford Health System, Inc.  
924 A.2d 831 , 282 Conn. 745 , Conn. , (NO. 17679 )
","June 26, 2007"
"Supreme Court of Connecticut. August 23, 1994 231 Conn. 235 645 A.2d 999
Extracted from page: 44
","State v. Williams, No. 14567, 231 Conn. 235, 645 A.2d 999, 1994 WL 455007 (Conn. Aug. 23, 1994)
","Aug. 23, 1994",Connecticut,Overruled by," 1.  State v. Murray  
757 A.2d 578 , 254 Conn. 472 , Conn. , (NO. 16236 )
","Sep. 05, 2000"
"Supreme Court of Connecticut. March 08, 2011 300 Conn. 368 13 A.3d 661
Extracted from page: 47
","State v. Campbell, No. 18453, 300 Conn. 368, 13 A.3d 661, 2011 WL 722958 (Conn. Mar. 08, 2011)
","Mar. 08, 2011",Connecticut,Abrogated by," 1.  State v. DeCiccio  
105 A.3d 165 , 315 Conn. 79 , Conn. , (NO. 19104 )
","Dec. 23, 2014"
"Supreme Court of Connecticut. July 12, 2011 301 Conn. 388 21 A.3d 451
Extracted from page: 47
","Morgan v. Hartford Hosp., No. 18469, 301 Conn. 388, 21 A.3d 451, 2011 WL 2611217 (Conn. July 12, 2011)
","July 12, 2011",Connecticut,Overruled by," 1.  Carpenter v. Daar  
287 A.3d 1027 , 346 Conn. 80 , Conn. , (NO. 20524 )
","Feb. 01, 2023"
"Supreme Court of Connecticut. December 13, 2011 303 Conn. 224 32 A.3d 307
Extracted from page: 48
","RMS Residential Properties, LLC v. Miller, No. 18746, 303 Conn. 224, 32 A.3d 307, 76 UCC Rep. Serv. 2d 295, 2011 WL 6033011 (Conn. Dec. 13, 2011)
","Dec. 13, 2011",Connecticut,Overruled by," 1.  J.E. Robert Co., Inc. v. Signature Properties, LLC  
71 A.3d 492 , 309 Conn. 307 , 81 UCC Rep.Serv.2d 96 , Conn. , (NO. 19050 , 19051 , 19052 )
","July 16, 2013"
"Supreme Court of Connecticut. April 22, 1986 199 Conn. 417 513 A.2d 620
Extracted from page: 4
","State v. Wilson, No. 11647, 199 Conn. 417, 513 A.2d 620 (Conn. Apr. 22, 1986)
","Apr. 22, 1986",Connecticut,Overruled by," 1.  State v. Butler  
300 A.3d 1145 , 348 Conn. 51 , Conn. , (NO. 20702 )
","Sep. 19, 2023"
"Supreme Court of Connecticut. April 22, 1986 199 Conn. 417 513 A.2d 620
Extracted from page: 4
","State v. Wilson, No. 11647, 199 Conn. 417, 513 A.2d 620 (Conn. Apr. 22, 1986)
","Apr. 22, 1986",Connecticut,Abrogated by," 2.  State v. McCoy 
206 A.3d 725 , 331 Conn. 561 , Conn. , (NO. 19905 )
","May 07, 2019"
