DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"12, 1941 149 Fla. 7 5 So.2d 256
Extracted from page: 3
","Hillsborough Inv. Co. v. City of Tampa, 149 Fla. 7, 5 So. 2d 256 (Fla. Dec. 12, 1941)
","Dec. 12, 1941",Florida,Overruled by," 1.  H.K.L. Realty Corp. v. Kirtley 
74 So.2d 876 , Fla.
","Oct. 05, 1954"
"28, 1941 145 Fla. 716 200 So. 213
Extracted from page: 4
","City of Miami Beach v. State ex rel. Patrician Hotel Co., 145 Fla. 716, 200 So. 213 (Fla. Jan. 28, 1941)
","Jan. 28, 1941",Florida,Overruled by," 1.  City of Miami v. Kichinko 
22 So.2d 627 , 156 Fla. 128 , Fla.
","June 29, 1945"
"22, 1941 146 Fla. 732 1 So.2d 734
Extracted from page: 4
","Dorman v. Friendly, 146 Fla. 732, 1 So. 2d 734 (Fla. Apr. 22, 1941)
","Apr. 22, 1941",Florida,Overruled by," 1.  James v. James
64 So.2d 534 , Fla.
","Apr. 14, 1953"
"22, 1941 146 Fla. 732 1 So.2d 734
Extracted from page: 4
","Dorman v. Friendly, 146 Fla. 732, 1 So. 2d 734 (Fla. Apr. 22, 1941)
","Apr. 22, 1941",Florida,Overruled by," 2.  Bohn v. Rhoades 
121 So.2d 777 , Fla.
","June 17, 1960"
"Supreme Court of Florida. December 01, 2016 208 So.3d 60 2016 WL 7013855
Extracted from page: 6
","Walton v. State, No. SC13-1652, 208 So. 3d 60, 41 Fla. L. Weekly S587, 2016 WL 7013855 (Fla. Dec. 01, 2016)
","Dec. 01, 2016",Florida,Abrogated by," 1.  Alahad v. State  
362 So.3d 190 , Fla. , (NO. SC2021-1450 )
","June 01, 2023"
"July 05, 2018 248 So.3d 53 2018 WL 3301563
Extracted from page: 8
","Giraldo v. Agency for Health Care Administration, No. SC17-297, 248 So. 3d 53, 43 Fla. L. Weekly S279, 2018 WL 3301563 (Fla. July 05, 2018)
","July 05, 2018",Florida,Abrogated by," 1.  Gallardo By and Through Vassallo v. Marstiller 
142 S.Ct. 1751 , 596 U.S. 420 , 213 L.Ed.2d 1 , Med & Med GD (CCH) P 307,377 , 22 Cal. Daily Op. Serv. 5541 , 2022 Daily Journal D.A.R. 5620 , 29 Fla. L. Weekly Fed. S 295 , U.S. , (NO. 20-1263 )
","June 06, 2022"
"Supreme Court of Florida. May 12, 1988 526 So.2d 903 1988 WL 47679
Extracted from page: 15
","Brown v. State, No. 68,690, 526 So. 2d 903, 13 Fla. L. Weekly 317, 1988 WL 47679 (Fla. May 12, 1988)
","May 12, 1988",Florida,Abrogated by," 1.  Fenelon v. State 
594 So.2d 292 , 17 Fla. L. Weekly S101 , 17 Fla. L. Weekly S112 , Fla. , (NO. 77,765 )
","Feb. 13, 1992"
"Supreme Court of Florida. March 10, 1988 521 So.2d 1094 1988 WL 21005
Extracted from page: 17
","Kehoe v. State, No. 69,814, 521 So. 2d 1094, 13 Fla. L. Weekly 182, 1988 WL 21005 (Fla. Mar. 10, 1988)
","Mar. 10, 1988",Florida,Abrogated by," 1.  Dobrin v. Florida Dept. of Highway Safety and Motor Vehicles 
874 So.2d 1171 , 29 Fla. L. Weekly S80 , 29 Fla. L. Weekly S275 , Fla. , (NO. SC02-2540 )
","Feb. 19, 2004"
"Supreme Court of Florida. June 16, 1988 529 So.2d 1083 1988 WL 61397
Extracted from page: 23
","Harvey v. State, No. 69,101, 529 So. 2d 1083, 13 Fla. L. Weekly 398, 1988 WL 61397 (Fla. June 16, 1988)
","June 16, 1988",Florida,Abrogated by," 1.  Fenelon v. State 
594 So.2d 292 , 17 Fla. L. Weekly S101 , 17 Fla. L. Weekly S112 , Fla. , (NO. 77,765 )
","Feb. 13, 1992"
"29, 1968 211 So.2d 556
Extracted from page: 28
","Prudence Mut. Cas. Co. v. Washington, No. 36729, 211 So. 2d 556 (Fla. May 29, 1968)
","May 29, 1968",Florida,Overruled by," 1.  Stockman v. Downs 
573 So.2d 835 , 16 Fla. L. Weekly 160 , Fla. , (NO. 75,635 )
","Jan. 31, 1991"
