DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Georgia. August 17, 1906 126 Ga. 498 55 S.E. 251
Extracted from page: 1
","Albright-Prior Co. v. Pacific Selling Co., 126 Ga. 498, 55 S.E. 251, 115 Am. St. Rep. 108 (Ga. Aug. 17, 1906)
","Aug. 17, 1906",Georgia,Overruled by," 1.  W.R. Warner & Co. v. Strickland 
87 S.E. 667 , 144 Ga. 547 , Ga. , (NO. 191 )
","Jan. 13, 1916"
"Supreme Court of Georgia. February 19, 1906 124 Ga. 965 53 S.E. 664
Extracted from page: 2
","Patton v. Bank of La Fayette, 124 Ga. 965, 53 S.E. 664, 5 L.R.A.N.S. 592 (Ga. Feb. 19, 1906)
","Feb. 19, 1906",Georgia,Overruled by," 1.  Sharpe v. Department of Transp.  
476 S.E.2d 722 , 267 Ga. 267 , 96 FCDR 3972 , Ga. , (NO. S96G0546 )
","Oct. 07, 1996"
"Supreme Court of Georgia. September 08, 1961 217 Ga. 234 123 S.E.2d 115
Extracted from page: 7
","Reynolds v. Reynolds, No. 21295, 217 Ga. 234, 123 S.E.2d 115 (Ga. Sep. 08, 1961)
","Sep. 08, 1961",Georgia,Overruled by," 1.  Scherer v. Scherer 
292 S.E.2d 662 , 249 Ga. 635 , Ga. , (NO. 38539 )
","June 22, 1982"
"Supreme Court of Georgia. August 24, 2021 312 Ga. 303 862 S.E.2d 507
Extracted from page: 12
","Sims v. State, No. S21A0587, 312 Ga. 303, 862 S.E.2d 507, 2021 WL 3727797 (Ga. Aug. 24, 2021)
","Aug. 24, 2021",Georgia,Overruled by," 1.  Johnson v. State  
885 S.E.2d 725 , 315 Ga. 876 , Ga. , (NO. S22A0964 )
","Mar. 15, 2023"
"Supreme Court of Georgia. January 01, 1875 54 Ga. 285 1875 WL 3048
Extracted from page: 18
","Gholston v. Gholston, 54 Ga. 285, 1875 WL 3048 (Ga. 1875)
","June 15, 1875",Georgia,Overruled by," 1.  Wise v. Wise 
119 S.E. 410 , 156 Ga. 459 , Ga. , (NO. 3397 , 3418 )
","Sep. 26, 1923"
"Supreme Court of Georgia. July 01, 1875 55 Ga. 194 1875 WL 3197
Extracted from page: 20
","Bawknight v. Liverpool & London & Globe Ins. Co., 55 Ga. 194, 1875 WL 3197 (Ga. July 01, 1875)
","July 01, 1875",Georgia,Overruled by," 1.  Reeves v. Southern Ry. Co. 
49 S.E. 674 , 121 Ga. 561 , 70 L.R.A. 513 , Ga.
","Jan. 27, 1905"
"Supreme Court of Georgia. July 01, 1875 54 Ga. 653 1875 WL 3354
Extracted from page: 23
","Hawkins v. State, 54 Ga. 653, 1875 WL 3354 (Ga. July 01, 1875)
","July 01, 1875",Georgia,Overruled by," 1.  Groves v. State 
73 Ga. 205 , 1884 WL 2351 , Ga.
","Sep. 09, 1884"
"Supreme Court of Georgia. September 01, 1879 63 Ga. 331 1879 WL 2521
Extracted from page: 25
","Claton v. Ganey, 63 Ga. 331, 1879 WL 2521 (Ga. Sep. 01, 1879)
","Sep. 01, 1879",Georgia,Overruled by," 1.  Bush v. Rawlins 
5 S.E. 761 , 80 Ga. 583 , Ga.
","Mar. 26, 1888"
"Supreme Court of Georgia. February 01, 1879 62 Ga. 395 1879 WL 2833
Extracted from page: 26
","Kneeland v. State, 62 Ga. 395, 1879 WL 2833 (Ga. Feb. 01, 1879)
","Feb. 01, 1879",Georgia,Overruled by," 1.  Monford v. State  
40 S.E. 798 , 114 Ga. 528 , Ga.
","Feb. 04, 1902"
"Supreme Court of Georgia. January 16, 1918 147 Ga. 599 95 S.E. 2
Extracted from page: 29
","First Nat. Bank v. Owens, No. 297, 147 Ga. 599, 95 S.E. 2 (Ga. Jan. 16, 1918)
","Jan. 16, 1918",Georgia,Abrogated by," 1.  Marion County v. First Nat. Bank of Gainesville 
18 S.E.2d 475 , 193 Ga. 263 , Ga. , (NO. 13902 )
","Jan. 13, 1942"
