DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Term. March 28, 2008 145 Idaho 542 181 P.3d 468
Extracted from page: 1
","State v. Kimball, No. 33673, 145 Idaho 542, 181 P.3d 468, 2008 WL 819992 (Idaho Mar. 28, 2008)
","Mar. 28, 2008",Idaho,Abrogated by," 1.  Verska v. Saint Alphonsus Regional Medical Center 
265 P.3d 502 , 151 Idaho 889 , Idaho , (NO. 37574-2010 )
","Nov. 09, 2011"
"Supreme Court of Idaho. January 11, 1916 28 Idaho 346 154 P. 624
Extracted from page: 1
","Prichard v. McBride, 28 Idaho 346, 154 P. 624 (Idaho Jan. 11, 1916)
","Jan. 11, 1916",Idaho,Overruled by," 1.  Gowey v. Siggelkow  
382 P.2d 764 , 85 Idaho 574 , Idaho , (NO. 9278 )
","June 07, 1963"
"Supreme Court of Idaho. April 06, 1895 4 Idaho 448 40 P. 61
Extracted from page: 1
","Wooddy v. Jamieson, 4 Idaho 448, 40 P. 61 (Idaho Apr. 06, 1895)
","Apr. 06, 1895",Idaho,Overruled by," 1.  Farmers’ State Bank of Star v. Gray 
210 P. 1006 , 36 Idaho 49 , Idaho , (NO. 3785 )
","Mar. 20, 1922"
"Supreme Court of Idaho. December 08, 1899 6 Idaho 706 59 P. 180
Extracted from page: 3
","State v. Anderson, 6 Idaho 706, 59 P. 180 (Idaho Dec. 08, 1899)
","Dec. 08, 1899",Idaho,Abrogated by," 1.  State v. Byers 
627 P.2d 788 , 102 Idaho 159 , Idaho , (NO. 13142 )
","Apr. 01, 1981"
"Supreme Court of Idaho. May 26, 1899 6 Idaho 584 57 P. 431
Extracted from page: 3
","State v. Potter, 6 Idaho 584, 57 P. 431 (Idaho May 26, 1899)
","May 26, 1899",Idaho,Overruled by," 1.  State v. Mee 
632 P.2d 663 , 102 Idaho 474 , Idaho , (NO. 12879 )
","July 21, 1981"
"Supreme Court of Idaho. December 09, 1899 6 Idaho 710 59 P. 538
Extracted from page: 4
","Fox v. Rogers, 6 Idaho 710, 59 P. 538 (Idaho Dec. 09, 1899)
","Dec. 09, 1899",Idaho,Overruled by," 1.  Bohannon Dredging Co. v. England
168 P. 12 , 30 Idaho 721 , Idaho
","Oct. 02, 1917"
"Supreme Court of Idaho. December 09, 1899 6 Idaho 710 59 P. 538
Extracted from page: 4
","Fox v. Rogers, 6 Idaho 710, 59 P. 538 (Idaho Dec. 09, 1899)
","Dec. 09, 1899",Idaho,Overruled by," 2.  Labonte v. Davidson 
175 P. 588 , 31 Idaho 644 , Idaho
","Oct. 03, 1918"
"Supreme Court of Idaho. February 13, 1899 6 Idaho 482 56 P. 264
Extracted from page: 4
","Fremont County v. Brandon, 6 Idaho 482, 56 P. 264 (Idaho Feb. 13, 1899)
","Feb. 13, 1899",Idaho,Overruled by," 1.  Bannock County v. Bell 
65 P. 710 , 8 Idaho 1 , 101 Am.St.Rep. 140 , Idaho
","June 25, 1901"
"Supreme Court of Idaho. December 27, 1899 6 Idaho 779 59 P. 716
Extracted from page: 4
","Boise City v. Boise Rapid-Transit Co., 6 Idaho 779, 59 P. 716 (Idaho Dec. 27, 1899)
","Dec. 27, 1899",Idaho,Overruled by," 1.  Boise City v. Boise City Canal Co. 
115 P. 505 , 19 Idaho 717 , Idaho
","Apr. 20, 1911"
"Supreme Court of Idaho. October 14, 1942 64 Idaho 213 129 P.2d 978
Extracted from page: 7
","Cheney v. Overmyer, No. 7020, 64 Idaho 213, 129 P.2d 978 (Idaho Oct. 14, 1942)
","Oct. 14, 1942",Idaho,Overruled by," 1.  Petersen v. Philco Finance Corp. 
428 P.2d 961 , 91 Idaho 644 , Idaho , (NO. 9881 )
","June 16, 1967"
"Supreme Court of Idaho. March 07, 1961 83 Idaho 198 360 P.2d 90
Extracted from page: 10
","Rasmussen v. Gem State Packing Co., No. 8928, 83 Idaho 198, 360 P.2d 90 (Idaho Mar. 07, 1961)
","Mar. 07, 1961",Idaho,Overruled by," 1.  Parker v. St. Maries Plywood 
614 P.2d 955 , 101 Idaho 415 , 20 A.L.R.4th 629 , Idaho , (NO. 13088 )
","July 03, 1980"
"Supreme Court of Idaho. June 08, 1961 83 Idaho 306 362 P.2d 887
Extracted from page: 11
","Merrill v. Merrill, No. 8962, 83 Idaho 306, 362 P.2d 887 (Idaho June 08, 1961)
","June 08, 1961",Idaho,Abrogated by," 1.  Kelly v. Kelly  
518 P.3d 326 , 171 Idaho 27 , Idaho , (NO. 48591 )
","Sep. 26, 2022"
"Supreme Court of Idaho. March 14, 1957 78 Idaho 616 308 P.2d 1021
Extracted from page: 13
","Staten v. Weiss, No. 8479, 78 Idaho 616, 308 P.2d 1021 (Idaho Mar. 14, 1957)
","Mar. 14, 1957",Idaho,Overruled by," 1.  Lipe v. Javelin Tire Co., Inc.  
536 P.2d 291 , 96 Idaho 723 , Idaho , (NO. 11765 )
","June 12, 1975"
"Supreme Court of Idaho. November 20, 1900 7 Idaho 305 62 P. 1028
Extracted from page: 14
","Haner v. Northern Pac. Ry. Co., 7 Idaho 305, 62 P. 1028 (Idaho Nov. 20, 1900)
","Nov. 20, 1900",Idaho,Overruled by," 1.  Adams v. Bunker Hill & Sullivan Mining Co. 
89 P. 624 , 12 Idaho 637 , 11 L.R.A.N.S. 844 , Idaho
","Nov. 24, 1906"
"Supreme Court of Idaho. January 15, 1902 8 Idaho 190 67 P. 317
Extracted from page: 16
","Mahoney v. Elliott, 8 Idaho 190, 67 P. 317 (Idaho Jan. 15, 1902)
","Jan. 15, 1902",Idaho,Overruled by," 1.  Talbot v. Collins 
191 P. 354 , 33 Idaho 169 , Idaho
","June 30, 1920"
"Supreme Court of Idaho. May 22, 1902 8 Idaho 375 69 P. 108
Extracted from page: 16
","Mahoney v. Board of Com'rs of Shoshone County, 8 Idaho 375, 69 P. 108 (Idaho May 22, 1902)
","May 22, 1902",Idaho,Overruled by," 1.  Walker v. Elmore County 
102 P. 389 , 16 Idaho 696 , Idaho
","June 08, 1909"
