DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Illinois. September 18, 1958 14 Ill.2d 581 153 N.E.2d 578
Extracted from page: 1
","People v. Perroni, No. 34550, 14 Ill. 2d 581, 153 N.E.2d 578 (Ill. Sep. 18, 1958)
","Sep. 18, 1958",Illinois,Overruled by," 1.  People v. Nunn 
304 N.E.2d 81 , 55 Ill.2d 344 , Ill. , (NO. 45560 )
","Oct. 01, 1973"
"Supreme Court of Illinois. May 21, 1958 14 Ill.2d 144 152 N.E.2d 385
Extracted from page: 3
","Cotton v. Louisville & N. R. Co., No. 34699, 14 Ill. 2d 144, 152 N.E.2d 385 (Ill. May 21, 1958)
","May 21, 1958",Illinois,Overruled by," 1.  People ex rel. Chesapeake & O. Ry. Co. v. Donovan 
195 N.E.2d 634 , 30 Ill.2d 178 , Ill. , (NO. 37787 )
","Jan. 22, 1964"
"Supreme Court of Illinois. May 21, 1958 14 Ill.2d 144 152 N.E.2d 385
Extracted from page: 3
","Cotton v. Louisville & N. R. Co., No. 34699, 14 Ill. 2d 144, 152 N.E.2d 385 (Ill. May 21, 1958)
","May 21, 1958",Illinois,Overruled by," 2.  Wieser v. Missouri Pacific R. Co.  
456 N.E.2d 98 , 74 Ill.Dec. 596 , 98 Ill.2d 359 , Ill. , (NO. 57325 )
","Oct. 21, 1983"
"June 19, 2003 206 Ill.2d 571 795 N.E.2d 253
Extracted from page: 6
","People v. Ledesma, No. 93628, 206 Ill. 2d 571, 795 N.E.2d 253, 276 Ill. Dec. 900, 2003 WL 21404565 (Ill. June 19, 2003)
","June 19, 2003",Illinois,Overruled by," 1.  People v. Pitman 
813 N.E.2d 93 , 286 Ill.Dec. 36 , 211 Ill.2d 502 , Ill. , (NO. 95783 )
","June 17, 2004"
"Supreme Court of Illinois. April 17, 2003 204 Ill.2d 220 789 N.E.2d 260
Extracted from page: 8
","People v. Gonzalez, No. 92305, 204 Ill. 2d 220, 789 N.E.2d 260, 273 Ill. Dec. 360, 2003 WL 1889606 (Ill. Apr. 17, 2003)
","Apr. 17, 2003",Illinois,Overruled by," 1.  People v. Harris  
886 N.E.2d 947 , 319 Ill.Dec. 823 , 228 Ill.2d 222 , Ill. , (NO. 103796 )
","Mar. 20, 2008"
"Supreme Court of Illinois. April 17, 2003 204 Ill.2d 220 789 N.E.2d 260
Extracted from page: 8
","People v. Gonzalez, No. 92305, 204 Ill. 2d 220, 789 N.E.2d 260, 273 Ill. Dec. 360, 2003 WL 1889606 (Ill. Apr. 17, 2003)
","Apr. 17, 2003",Illinois,Abrogated by," 2.  People v. Luedemann
857 N.E.2d 187 , 306 Ill.Dec. 94 , 222 Ill.2d 530 , Ill. , (NO. 100914 )
","Oct. 05, 2006"
"Supreme Court of Illinois. June 19, 2003 206 Ill.2d 503 795 N.E.2d 208
Extracted from page: 12
","People v. Moss, No. 91012, 206 Ill. 2d 503, 795 N.E.2d 208, 276 Ill. Dec. 855, 2003 WL 21404549 (Ill. June 19, 2003)
","June 19, 2003",Illinois,Overruled by," 1.  People v. Sharpe  
839 N.E.2d 492 , 298 Ill.Dec. 169 , 216 Ill.2d 481 , Ill. , (NO. 91874 )
","Oct. 06, 2005"
"Supreme Court of Illinois. November 30, 1977 69 Ill.2d 200 370 N.E.2d 1063
Extracted from page: 18
","People v. Morgan, No. 49305, 69 Ill. 2d 200, 370 N.E.2d 1063, 13 Ill. Dec. 36 (Ill. Nov. 30, 1977)
","Nov. 30, 1977",Illinois,Abrogated by," 1.  People v. Schott  
582 N.E.2d 690 , 164 Ill.Dec. 127 , 145 Ill.2d 188 , Ill. , (NO. 70861 )
","Oct. 31, 1991"
"Supreme Court of Illinois. June 01, 1977 67 Ill.2d 86 365 N.E.2d 332
Extracted from page: 20
","People v. Muir, No. 48756, 67 Ill. 2d 86, 365 N.E.2d 332, 8 Ill. Dec. 94 (Ill. June 01, 1977)
","June 01, 1977",Illinois,Overruled by," 1.  People v. Harris  
377 N.E.2d 28 , 17 Ill.Dec. 838 , 72 Ill.2d 16 , Ill. , (NO. 49909 , 50340 )
","May 26, 1978"
"Supreme Court of Illinois. October 05, 1977 69 Ill.2d 44 370 N.E.2d 797
Extracted from page: 21
","People v. Gray, No. 48424, 69 Ill. 2d 44, 370 N.E.2d 797, 12 Ill. Dec. 886 (Ill. Oct. 05, 1977)
","Oct. 05, 1977",Illinois,Overruled by," 1.  People v. Totten  
514 N.E.2d 959 , 113 Ill.Dec. 47 , 118 Ill.2d 124 , Ill. , (NO. 63520 , 63531 )
","Oct. 05, 1987"
