DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Indiana. November 01, 1867 28 Ind. 285 1867 WL 2970
Extracted from page: 1
","Dailey v. State, 28 Ind. 285, 1867 WL 2970 (Ind. Nov. 01, 1867)
","Nov. 01, 1867",Indiana,Overruled by," 1.  Keating v. State ex rel. Homan  
44 Ind. 449 , 1873 WL 5371 , Ind.
","Nov. 01, 1873"
"Supreme Court of Indiana. November 01, 1867 28 Ind. 287 1867 WL 3073
Extracted from page: 2
","Lafayette & I.R. Co. v. Huffman, 28 Ind. 287, 92 Am. Dec. 318, 1867 WL 3073 (Ind. Nov. 01, 1867)
","Nov. 01, 1867",Indiana,Overruled by," 1.  City of Evansville v. Senhenn  
47 N.E. 634 , 151 Ind. 42 , 41 L.R.A. 728 , 68 Am.St.Rep. 218 , Ind.
","Sep. 15, 1897"
"Supreme Court of Indiana. May 01, 1867 28 Ind. 97 1867 WL 2942
Extracted from page: 3
","Stone v. Lewman, 28 Ind. 97, 1867 WL 2942 (Ind. May 01, 1867)
","May 01, 1867",Indiana,Overruled by," 1.  Curran v. Curran 
40 Ind. 473 , 1872 WL 5416 , Ind.
","Nov. 01, 1872"
"Supreme Court of Indiana. November 01, 1867 28 Ind. 214 1867 WL 3066
Extracted from page: 3
","Burt v. Hoettinger, 28 Ind. 214, 1867 WL 3066 (Ind. Nov. 01, 1867)
","Nov. 01, 1867",Indiana,Overruled by," 1.  Toledo, W. & W.R. Co. v. Howes 
68 Ind. 458 , 1879 WL 5962 , Ind.
","Nov. 01, 1879"
"Supreme Court of Indiana. May 01, 1851 2 Ind. 558 1851 WL 2904
Extracted from page: 7
","Skinner v. Deming, 2 Ind. 558, 54 Am. Dec. 463, 2 Cart. 558, 1851 WL 2904 (Ind. May 01, 1851)
","May 01, 1851",Indiana,Overruled by," 1.  Evans v. Browne 
30 Ind. 514 , 1869 WL 3177 , 95 Am.Dec. 710 , Ind.
","May 01, 1869"
"Supreme Court of Indiana. November 01, 1851 3 Ind. 107 1851 WL 3006
Extracted from page: 7
","Jones v. Van Patten, 3 Ind. 107, 1851 WL 3006 (Ind. Nov. 01, 1851)
","Nov. 01, 1851",Indiana,Overruled by," 1.  Dunn v. Johnson  
33 Ind. 54 , 1870 WL 3634 , 5 Am.Rep. 177 , Ind.
","May 01, 1870"
"Supreme Court of Indiana. November 23, 1915 185 Ind. 51 110 N.E. 212
Extracted from page: 18
","Rock v. State, No. 22861, 185 Ind. 51, 110 N.E. 212 (Ind. Nov. 23, 1915)
","Nov. 23, 1915",Indiana,Overruled by," 1.  Wells v. State 
158 N.E.2d 256 , 239 Ind. 415 , Ind. , (NO. 29702 )
","May 08, 1959"
"Supreme Court of Indiana. November 23, 1915 184 Ind. 46 110 N.E. 203
Extracted from page: 19
","Dunham v. Jones, No. 22828, 184 Ind. 46, 110 N.E. 203 (Ind. Nov. 23, 1915)
","Nov. 23, 1915",Indiana,Overruled by," 1.  Prudential Ins. Co. of America v. Ritchey  
119 N.E. 369 , 188 Ind. 157 , Ind. , (NO. 23263 )
","Apr. 25, 1918"
"Supreme Court of Indiana. May 12, 1976 264 Ind. 477 346 N.E.2d 569
Extracted from page: 21
","McDonald v. State, No. 576S135, 264 Ind. 477, 346 N.E.2d 569 (Ind. May 12, 1976)
","May 12, 1976",Indiana,Overruled by," 1.  Watts v. State 
885 N.E.2d 1228 , Ind. , (NO. 45S03-0611-CR-452 )
","May 13, 2008"
"Supreme Court of Indiana. July 20, 1976 265 Ind. 108 350 N.E.2d 619
Extracted from page: 22
","Shipp v. State, No. 875S186, 265 Ind. 108, 350 N.E.2d 619 (Ind. July 20, 1976)
","July 20, 1976",Indiana,Overruled by," 1.  Hardin v. State 
358 N.E.2d 134 , 265 Ind. 635 , Ind. , (NO. 875S187 )
","Dec. 30, 1976"
