DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Iowa. October 05, 1899 109 Iowa 118 80 N.W. 303
Extracted from page: 1
","State v. Austin, 109 Iowa 118, 80 N.W. 303 (Iowa Oct. 05, 1899)
","Oct. 05, 1899",Iowa,Overruled by," 1.  State v. Wagoner  
74 N.W.2d 246 , 247 Iowa 461 , Iowa , (NO. 48827 )
","Jan. 10, 1956"
"Supreme Court of Iowa. May 25, 1899 108 Iowa 637 79 N.W. 459
Extracted from page: 4
","Stephenson v. Bankers' Life Ass'n of Des Moines, 108 Iowa 637, 79 N.W. 459 (Iowa May 25, 1899)
","May 25, 1899",Iowa,Overruled by," 1.  Bill v. Farm Bureau Life Ins. Co.  
119 N.W.2d 768 , 254 Iowa 1215 , Iowa , (NO. 50774 )
","Feb. 12, 1963"
"Supreme Court of Iowa. October 27, 1899 109 Iowa 606 80 N.W. 665
Extracted from page: 5
","Scottish Union & National Ins. Co. of Edinburgh, Scotland, and London, England, v. Herriott, 109 Iowa 606, 80 N.W. 665, 77 Am. St. Rep. 548 (Iowa Oct. 27, 1899)
","Oct. 27, 1899",Iowa,Overruled by," 1.  Yoerg v. Iowa Dairy Industry Commission 
60 N.W.2d 566 , 244 Iowa 1377 , Iowa , (NO. 48357 )
","Oct. 20, 1953"
"Supreme Court of Iowa. February 18, 1910 146 Iowa 170 124 N.W. 879
Extracted from page: 6
","Roth v. Boies, 146 Iowa 170, 124 N.W. 879 (Iowa Feb. 18, 1910)
","Feb. 18, 1910",Iowa,Overruled by," 1.  Arnold v. Arnold 
140 N.W.2d 874 , 258 Iowa 850 , Iowa , (NO. 51972 )
","Mar. 08, 1966"
"Supreme Court of Iowa. June 11, 1968 159 N.W.2d 479
Extracted from page: 10
","Adams v. Braginton, No. 52272, 159 N.W.2d 479 (Iowa June 11, 1968)
","June 11, 1968",Iowa,Overruled by," 1.  Skinner v. Ruigh 
351 N.W.2d 182 , Iowa , (NO. 83-330 )
","June 13, 1984"
"Supreme Court of Iowa. March 05, 1968 157 N.W.2d 144
Extracted from page: 10
","State v. Everett, No. 52203, 157 N.W.2d 144 (Iowa Mar. 05, 1968)
","Mar. 05, 1968",Iowa,Overruled by," 1.  State v. Hawkins 
203 N.W.2d 555 , Iowa , (NO. 55166 )
","Jan. 17, 1973"
"Supreme Court of Iowa. May 07, 1968 158 N.W.2d 744
Extracted from page: 11
","Brown v. District Court of Webster County, No. 52786, 158 N.W.2d 744 (Iowa May 07, 1968)
","May 07, 1968",Iowa,Overruled by," 1.  Phillips v. Iowa Dist. Court for Johnson County 
380 N.W.2d 706 , 54 USLW 2455 , Iowa , (NO. 84-1832 )
","Jan. 15, 1986"
"Supreme Court of Iowa. September 05, 1968 161 N.W.2d 100
Extracted from page: 11
","Vojak v. Jensen, No. 52922, 161 N.W.2d 100 (Iowa Sep. 05, 1968)
","Sep. 05, 1968",Iowa,Abrogated by," 1.  Barreca v. Nickolas  
683 N.W.2d 111 , Iowa , (NO. 03-0439 )
","June 16, 2004"
"Supreme Court of Iowa. February 06, 1968 261 Iowa 897 156 N.W.2d 266
Extracted from page: 11
","State v. Allnutt, No. 52063, 261 Iowa 897, 156 N.W.2d 266 (Iowa Feb. 06, 1968)
","Feb. 06, 1968",Iowa,Overruled by," 1.  State v. Bester
167 N.W.2d 705 , Iowa , (NO. 53189 )
","May 06, 1969"
"Supreme Court of Iowa. February 06, 1968 261 Iowa 897 156 N.W.2d 266
Extracted from page: 11
","State v. Allnutt, No. 52063, 261 Iowa 897, 156 N.W.2d 266 (Iowa Feb. 06, 1968)
","Feb. 06, 1968",Iowa,Overruled by," 2.  State v. Gorham 
206 N.W.2d 908 , Iowa , (NO. 55433 )
","Apr. 25, 1973"
"Supreme Court of Iowa. February 06, 1968 261 Iowa 713 156 N.W.2d 105
Extracted from page: 11
","Barlow v. Iblings, No. 52664, 261 Iowa 713, 156 N.W.2d 105 (Iowa Feb. 06, 1968)
","Feb. 06, 1968",Iowa,Abrogated by," 1.  Turner v. Turner  
304 N.W.2d 786 , Iowa , (NO. 64320 )
","Apr. 15, 1981"
"Supreme Court of Iowa. September 05, 1968 160 N.W.2d 815
Extracted from page: 11
","Megee v. Barnes, No. 53015, 160 N.W.2d 815 (Iowa Sep. 05, 1968)
","Sep. 05, 1968",Iowa,Overruled by," 1.  Kersten Co., Inc. v. Department of Social Services  
207 N.W.2d 117 , Iowa , (NO. 55178 )
","Apr. 25, 1973"
