DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Kansas. June 04, 1932 135 Kan. 558 11 P.2d 1016
Extracted from page: 12
","Cooke v. Bunten, No. 30540, 135 Kan. 558, 11 P.2d 1016 (Kan. June 04, 1932)
","June 04, 1932",Kansas,Overruled by," 1.  Roberts v. Krupka 
790 P.2d 422 , 246 Kan. 433 , Kan. , (NO. 63,171 )
","Apr. 13, 1990"
"Supreme Court of Kansas. May 08, 1926 121 Kan. 93 246 P. 183
Extracted from page: 15
","Rooney v. McDermott, No. 26688, 121 Kan. 93, 246 P. 183 (Kan. May 08, 1926)
","May 08, 1926",Kansas,Overruled by," 1.  Herthel v. Barth 
81 P.2d 19 , 148 Kan. 308 , 119 A.L.R. 326 , Kan. , (NO. 33892 )
","July 09, 1938"
"Supreme Court of Kansas. October 10, 1925 119 Kan. 473 239 P. 1105
Extracted from page: 18
","State v. Driscoll, No. 26376, 119 Kan. 473, 239 P. 1105 (Kan. Oct. 10, 1925)
","Oct. 10, 1925",Kansas,Overruled by," 1.  State v. Reichenberger  
495 P.2d 919 , 209 Kan. 210 , Kan. , (NO. 46542 )
","Apr. 08, 1972"
"Supreme Court of Kansas. July 11, 1925 119 Kan. 270 237 P. 1026
Extracted from page: 23
","Ex parte Myers, No. 26450, 119 Kan. 270, 237 P. 1026 (Kan. July 11, 1925)
","July 11, 1925",Kansas,Overruled by," 1.  State v. Breitenbach  
373 P.2d 601 , 190 Kan. 189 , Kan. , (NO. 42859 , 43017 )
","July 07, 1962"
"Supreme Court of Kansas. July 09, 1925 119 Kan. 1 237 P. 918
Extracted from page: 23
","Davis-Wellcome Mortg. Co. v. Haynes, No. 26486, 119 Kan. 1, 237 P. 918 (Kan. July 09, 1925)
","July 09, 1925",Kansas,Overruled by," 1.  Voran v. Wright 
284 P. 807 , 129 Kan. 601 , Kan. , (NO. 28817 )
","Feb. 08, 1930"
"Supreme Court of Kansas. March 25, 1925 118 Kan. 184 235 P. 132
Extracted from page: 26
","State v. Dunn, No. 26289, 118 Kan. 184, 235 P. 132 (Kan. Mar. 25, 1925)
","Mar. 25, 1925",Kansas,Overruled by," 1.  Graham v. Corporon 
413 P.2d 110 , 196 Kan. 564 , Kan. , (NO. 44425 )
","Apr. 09, 1966"
"Supreme Court of Kansas. October 10, 1914 93 Kan. 161 143 P. 487
Extracted from page: 29
","Ex parte Weisman, No. 19587, 93 Kan. 161, 143 P. 487 (Kan. Oct. 10, 1914)
","Oct. 10, 1914",Kansas,Overruled by," 1.  Beck v. Fetters 
22 P.2d 479 , 137 Kan. 750 , Kan. , (NO. 30881 )
","June 10, 1933"
"Supreme Court of Kansas. February 25, 1978 223 Kan. 528 575 P.2d 524
Extracted from page: 42
","Campbell v. State, No. 48718, 223 Kan. 528, 575 P.2d 524, 1978 WL 508172 (Kan. Feb. 25, 1978)
","Feb. 25, 1978",Kansas,Overruled by," 1.  State v. Hopkins  
537 P.3d 845 , Kan. , (NO. 124,851 )
","Oct. 20, 2023"
"Supreme Court of Kansas. July 21, 1978 224 Kan. 528 581 P.2d 385
Extracted from page: 42
","Zuther v. Schild, No. 48669, 224 Kan. 528, 581 P.2d 385 (Kan. July 21, 1978)
","July 21, 1978",Kansas,Abrogated by," 1.  Jones v. Hansen 
867 P.2d 303 , 254 Kan. 499 , Kan. , (NO. 68,926 )
","Jan. 21, 1994"
"Supreme Court of Kansas. October 28, 1978 224 Kan. 636 585 P.2d 987
Extracted from page: 45
","Brown v. Triple ""D"" Drilling Co., Inc., No. 48859, 224 Kan. 636, 585 P.2d 987 (Kan. Oct. 28, 1978)
","Oct. 28, 1978",Kansas,Overruled by," 1.  Wiechman v. Huddleston  
370 P.3d 1194 , 304 Kan. 80 , Kan. , (NO. 110,656 )
","Apr. 15, 2016"
"Supreme Court of Kansas. April 01, 1978 223 Kan. 699 576 P.2d 637
Extracted from page: 48
","State v. Moody, No. 48671, 223 Kan. 699, 576 P.2d 637 (Kan. Apr. 01, 1978)
","Apr. 01, 1978",Kansas,Overruled by," 1.  State v. Davey 
397 P.3d 1190 , 306 Kan. 814 , Kan. , (NO. 111,774 )
","July 21, 2017"
