DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"06, 1901 23 Ky.L.Rptr. 1615 112 Ky. 273
Extracted from page: 1
","Dineen v. Hall, 112 Ky. 273, 65 S.W. 445, 23 Ky. L. Rptr. 1615 (Ky. Dec. 06, 1901)
","Dec. 06, 1901",Kentucky,Overruled by," 1.  Atherton v. Warren 
85 S.W. 1100 , 27 Ky.L.Rptr. 632 , 120 Ky. 151 , Ky.
","Mar. 16, 1905"
"20, 1903 25 Ky.L.Rptr. 442 75 S.W. 260
Extracted from page: 5
","Stephenson's Adm'r v. Illinois Cent. R. Co., 75 S.W. 260, 25 Ky. L. Rptr. 442 (Ky. June 20, 1903)
","June 20, 1903",Kentucky,Overruled by," 1.  Illinois Cent. R. Co. v. Jones’ Adm’r 
80 S.W. 484 , 26 Ky.L.Rptr. 31 , 118 Ky. 158 , Ky.
","May 06, 1904"
"13, 1903 24 Ky.L.Rptr. 2454 115 Ky. 539
Extracted from page: 6
","Aetna Life Ins. Co. v. Kaiser, 115 Ky. 539, 74 S.W. 203, 24 Ky. L. Rptr. 2454 (Ky. May 13, 1903)
","May 13, 1903",Kentucky,Overruled by," 1.  Inter-Southern Life Ins. Co. v. Hinkle’s Adm’x 
11 S.W.2d 913 , 226 Ky. 724 , Ky.
","Dec. 11, 1928"
"Supreme Court of Kentucky. September 30, 1993 862 S.W.2d 883 1993 WL 383509
Extracted from page: 14
","Com. v. Grubb, No. 92-SC-603-DG, 862 S.W.2d 883, 1993 WL 383509 (Ky. Sep. 30, 1993)
","Sep. 30, 1993",Kentucky,Overruled by," 1.  Johnson v. Commonwealth  
553 S.W.3d 213 , Ky. , (NO. 2016-SC-000615-MR , 2017-SC-000037-TG )
","Aug. 16, 2018"
"Supreme Court of Kentucky. February 18, 1993 847 S.W.2d 724 1993 WL 39769
Extracted from page: 15
","Com. v. Raines, No. 91-SC-653-CL, 847 S.W.2d 724, 1993 WL 39769 (Ky. Feb. 18, 1993)
","Feb. 18, 1993",Kentucky,Overruled by," 1.  Com. v. Howard 
969 S.W.2d 700 , Ky. , (NO. 97-SC-764-TG , 98-SC-06-TG )
","June 18, 1998"
"Supreme Court of Kentucky. February 18, 1993 847 S.W.2d 724 1993 WL 39769
Extracted from page: 15
","Com. v. Raines, No. 91-SC-653-CL, 847 S.W.2d 724, 1993 WL 39769 (Ky. Feb. 18, 1993)
","Feb. 18, 1993",Kentucky,Abrogated by," 2.  Commonwealth v. Carman
455 S.W.3d 916 , Ky. , (NO. 2013-SC-000684-CL )
","Feb. 19, 2015"
"Supreme Court of Kentucky. February 18, 1993 847 S.W.2d 718 1993 WL 39738
Extracted from page: 16
","Fischer v. State Bd. of Elections, No. 92-SC-354-MR, 847 S.W.2d 718, 1993 WL 39738 (Ky. Feb. 18, 1993)
","Feb. 18, 1993",Kentucky,Abrogated by," 1.  Hoskins v. Maricle 
150 S.W.3d 1 , Ky. , (NO. 2002-SC-0579-MR )
","Aug. 26, 2004"
"Supreme Court of Kentucky. October 28, 1993 864 S.W.2d 286 1993 WL 442040
Extracted from page: 16
","Music v. United Methodist Church, No. 93-SC-388-MR, 864 S.W.2d 286, 1993 WL 442040 (Ky. Oct. 28, 1993)
","Oct. 28, 1993",Kentucky,Abrogated by," 1.  St. Joseph Catholic Orphan Society v. Edwards 
449 S.W.3d 727 , Ky. , (NO. 2013-SC-000803-MR )
","Dec. 18, 2014"
"Supreme Court of Kentucky. September 30, 1993 862 S.W.2d 327 1993 WL 383520
Extracted from page: 17
","Allstate Ins. Co. v. Dicke, No. 92-SC-442-DG, 862 S.W.2d 327, 1993 WL 383520 (Ky. Sep. 30, 1993)
","Sep. 30, 1993",Kentucky,Overruled by," 1.  Philadelphia Indemnity Insurance Company, Inc. v. Tryon  
502 S.W.3d 585 , Ky. , (NO. 2014-SC-000354-DG , 2014-SC-000357-DG )
","Oct. 20, 2016"
"Supreme Court of Kentucky. September 30, 1993 862 S.W.2d 871 1993 WL 383501
Extracted from page: 17
","Thompson v. Com., No. 87-SC-239-MR, 862 S.W.2d 871, 1993 WL 383501 (Ky. Sep. 30, 1993)
","Sep. 30, 1993",Kentucky,Overruled by," 1.  St. Clair v. Com.  
140 S.W.3d 510 , Ky. , (NO. 1999-SC-0029-MR )
","Feb. 19, 2004"
"Supreme Court of Kentucky. May 27, 1993 864 S.W.2d 252 1993 WL 409975
Extracted from page: 18
","Thomas v. Com., No. 88-SC-375-MR, 864 S.W.2d 252, 1993 WL 409975 (Ky. May 27, 1993)
","May 27, 1993",Kentucky,Overruled by," 1.  Morgan v. Com.  
189 S.W.3d 99 , Ky. , (NO. 2003-SC-0489-MR )
","Jan. 19, 2006"
"Supreme Court of Kentucky. March 18, 1993 854 S.W.2d 756 1993 WL 75980
Extracted from page: 18
","Hinton v. Judicial Retirement and Removal Com'n, No. 92-SC-636-RR, 854 S.W.2d 756, 1993 WL 75980 (Ky. Mar. 18, 1993)
","Mar. 18, 1993",Kentucky,Overruled by," 1.  Gormley v. Judicial Conduct Commission  
332 S.W.3d 717 , Ky. , (NO. 2009-SC-000736-RR , 2010-SC-000010-RR )
","Aug. 26, 2010"
"Supreme Court of Kentucky. May 23, 1978 566 S.W.2d 415
Extracted from page: 19
","Helpenstine v. Com., 566 S.W.2d 415 (Ky. May 23, 1978)
","May 23, 1978",Kentucky,Overruled by," 1.  Wilburn v. Com. 
312 S.W.3d 321 , Ky. , (NO. 2008-SC-000787-MR )
","Mar. 18, 2010"
"Supreme Court of Kentucky. July 03, 1978 568 S.W.2d 925
Extracted from page: 20
","Bartrug v. Com., 568 S.W.2d 925 (Ky. July 03, 1978)
","July 03, 1978",Kentucky,Overruled by," 1.  Wellman v. Com. 
694 S.W.2d 696 , Ky. , (NO. 84-SC-105-MR )
","June 13, 1985"
"Supreme Court of Kentucky. January 10, 1978 562 S.W.2d 301
Extracted from page: 20
","Shannon v. Com., 562 S.W.2d 301 (Ky. Jan. 10, 1978)
","Jan. 10, 1978",Kentucky,Overruled by," 1.  Wellman v. Com. 
694 S.W.2d 696 , Ky. , (NO. 84-SC-105-MR )
","June 13, 1985"
"Supreme Court of Kentucky. February 21, 1978 562 S.W.2d 625
Extracted from page: 20
","Graham v. Com., 562 S.W.2d 625 (Ky. Feb. 21, 1978)
","Feb. 21, 1978",Kentucky,Overruled by," 1.  Cardine v. Com.  
283 S.W.3d 641 , Ky. , (NO. 2006-SC-000677-MR , 2006-SC-000680-MR )
","Jan. 22, 2009"
"Supreme Court of Kentucky. April 11, 1978 567 S.W.2d 299 1978 WL 533209
Extracted from page: 21
","Thomas v. Com., 567 S.W.2d 299, 1978 WL 533209 (Ky. Apr. 11, 1978)
","Apr. 11, 1978",Kentucky,Overruled by," 1.  Ray v. Commonwealth 
611 S.W.3d 250 , Ky. , (NO. 2019-SC-0164-MR )
","Oct. 29, 2020"
"Supreme Court of Kentucky. February 21, 1978 564 S.W.2d 528
Extracted from page: 21
","Campbell v. Com., 564 S.W.2d 528, 1978 WL 511612 (Ky. Feb. 21, 1978)
","Feb. 21, 1978",Kentucky,Overruled by," 1.  Ray v. Commonwealth  
611 S.W.3d 250 , Ky. , (NO. 2019-SC-0164-MR )
","Oct. 29, 2020"
"Supreme Court of Kentucky. October 31, 1978 577 S.W.2d 417
Extracted from page: 21
","Reserve Ins. Co. v. Richards, 577 S.W.2d 417, 1978 WL 535247 (Ky. Oct. 31, 1978)
","Oct. 31, 1978",Kentucky,Overruled by," 1.  Jones v. Bituminous Cas. Corp.  
821 S.W.2d 798 , Ky. , (NO. 90-SC-746-DG )
","Dec. 19, 1991"
"Supreme Court of Kentucky. July 25, 1978 570 S.W.2d 281
Extracted from page: 22
","Colvin v. Com., 570 S.W.2d 281 (Ky. July 25, 1978)
","July 25, 1978",Kentucky,Overruled by," 1.  Com. v. McFerron 
680 S.W.2d 924 , Ky. , (NO. 83-SC-840-DG )
","Dec. 06, 1984"
"Supreme Court of Kentucky. March 14, 1978 563 S.W.2d 720
Extracted from page: 23
","Hayden v. Com., 563 S.W.2d 720 (Ky. Mar. 14, 1978)
","Mar. 14, 1978",Kentucky,Overruled by," 1.  Thompson v. Com. 
56 S.W.3d 406 , Ky. , (NO. 1998-SC-0277-MR )
","June 14, 2001"
"Supreme Court of Kentucky. July 03, 1978 569 S.W.2d 161
Extracted from page: 23
","Bohnert Equipment Co., Inc. v. Kendall, 569 S.W.2d 161 (Ky. July 03, 1978)
","July 03, 1978",Kentucky,Overruled by," 1.  Montgomery Elevator Co. v. McCullough by McCullough 
676 S.W.2d 776 , 45 A.L.R.4th 761 , Ky. , (NO. 83-SC-428-DG , 83-SC-442-DG )
","July 05, 1984"
"Supreme Court of Kentucky. October 21, 1999 3 S.W.3d 351 1999 WL 961475
Extracted from page: 25
","Com. v. Lopez, No. 99-SC-0215-CL, 3 S.W.3d 351, 1999 WL 961475 (Ky. Oct. 21, 1999)
","Oct. 21, 1999",Kentucky,Abrogated by," 1.  Commonwealth v. Carman 
455 S.W.3d 916 , Ky. , (NO. 2013-SC-000684-CL )
","Feb. 19, 2015"
"Supreme Court of Kentucky. March 25, 1999 987 S.W.2d 786 1999 WL 163417
Extracted from page: 26
","Petrey v. Cain, No. 98-SC-692-MR, 987 S.W.2d 786, 1999 WL 163417 (Ky. Mar. 25, 1999)
","Mar. 25, 1999",Kentucky,Overruled by," 1.  Masters v. Masters  
415 S.W.3d 621 , Ky. , (NO. 2012-SC-000420-DGE )
","Dec. 19, 2013"
"Supreme Court of Kentucky. August 26, 1999 998 S.W.2d 473 1999 WL 680249
Extracted from page: 27
","Wilson v. Com., No. 98-SC-0523-DG, 998 S.W.2d 473, 1999 WL 680249 (Ky. Aug. 26, 1999)
","Aug. 26, 1999",Kentucky,Abrogated by," 1.  Bratcher v. Com. 
424 S.W.3d 411 , Ky. , (NO. 2012-SC-000627-MR )
","Feb. 20, 2014"
"Supreme Court of Kentucky. March 25, 1999 997 S.W.2d 449 1999 WL 163419
Extracted from page: 29
","Mathews v. Com., No. 97-SC-000053-MR, 997 S.W.2d 449, 1999 WL 163419 (Ky. Mar. 25, 1999)
","Mar. 25, 1999",Kentucky,Overruled by," 1.  Hayes v. Com.
58 S.W.3d 879 , Ky. , (NO. 2000-SC-1099-MR )
","Oct. 25, 2001"
"Supreme Court of Kentucky. March 25, 1999 997 S.W.2d 449 1999 WL 163419
Extracted from page: 29
","Mathews v. Com., No. 97-SC-000053-MR, 997 S.W.2d 449, 1999 WL 163419 (Ky. Mar. 25, 1999)
","Mar. 25, 1999",Kentucky,Overruled by," 2.  Chestnut v. Com.  
250 S.W.3d 288 , Ky. , (NO. 2007-SC-000154-MR )
","Apr. 24, 2008"
"Supreme Court of Kentucky. August 26, 1999 5 S.W.3d 113 1999 WL 680248
Extracted from page: 31
","Com. v. Ryan, No. 99-SC-318-OA, 5 S.W.3d 113, 1999 WL 680248 (Ky. Aug. 26, 1999)
","Aug. 26, 1999",Kentucky,Abrogated by," 1.  Hoskins v. Maricle 
150 S.W.3d 1 , Ky. , (NO. 2002-SC-0579-MR )
","Aug. 26, 2004"
"Supreme Court of Kentucky. April 22, 1999 996 S.W.2d 473 1999 WL 236404
Extracted from page: 32
","Mills v. Com., No. 96-SC-966-MR, 996 S.W.2d 473, 1999 WL 236404 (Ky. Apr. 22, 1999)
","Apr. 22, 1999",Kentucky,Overruled by," 1.  Padgett v. Com.  
312 S.W.3d 336 , Ky. , (NO. 2008-SC-000632-MR )
","Mar. 18, 2010"
"Supreme Court of Kentucky. August 24, 2000 25 S.W.3d 106 2000 WL 1210812
Extracted from page: 34
","Com. v. Davis, No. 1999-SC-0755-CL, 25 S.W.3d 106, 2000 WL 1210812 (Ky. Aug. 24, 2000)
","Aug. 24, 2000",Kentucky,Abrogated by," 1.  Commonwealth v. Carman 
455 S.W.3d 916 , Ky. , (NO. 2013-SC-000684-CL )
","Feb. 19, 2015"
"Supreme Court of Kentucky. November 22, 2000 31 S.W.3d 878 2000 WL 1735824
Extracted from page: 35
","Burnett v. Com., No. 1999-SC-0384-DG, 31 S.W.3d 878, 2000 WL 1735824 (Ky. Nov. 22, 2000)
","Nov. 22, 2000",Kentucky,Overruled by," 1.  Travis v. Com.  
327 S.W.3d 456 , Ky. , (NO. 2008-SC-000811-MR , 2008-SC-000831-MR )
","Dec. 16, 2010"
