DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Louisiana. August 01, 1860 15 La.Ann. 588 1860 WL 5687
Extracted from page: 3
","Breaux v. Carmouche, 15 La. Ann. 588, 1860 WL 5687 (La. Aug. 01, 1860)
","Aug. 01, 1860",Louisiana,Overruled by," 1.  Troxler v. Colley 
33 La.Ann. 425 , 1881 WL 8955 , La. , (NO. 8144 )
","Apr. 01, 1881"
"Supreme Court of Louisiana. June 01, 1881 33 La.Ann. 1067 1881 WL 9032
Extracted from page: 5
","Tilden v. Succession of Morrison, No. 1008, 33 La. Ann. 1067, 1881 WL 9032 (La. June 01, 1881)
","June 01, 1881",Louisiana,Overruled by," 1.  Schutzman v. Dobrowolski 
186 So. 338 , 191 La. 791 , La. , (NO. 34933 , 35068 )
","Jan. 10, 1939"
"Supreme Court of Louisiana. December 01, 1881 33 La.Ann. 1444 1881 WL 9074
Extracted from page: 6
","Latiolais v. Citizens' Bank of Louisiana, No. 8415, 33 La. Ann. 1444, 1881 WL 9074 (La. Dec. 01, 1881)
","Dec. 01, 1881",Louisiana,Overruled by," 1.  General Motors Acceptance Corp. v. Anzelmo 
64 So.2d 417 , 222 La. 1019 , La. , (NO. 41136 )
","Mar. 23, 1953"
"Supreme Court of Louisiana. June 09, 1969 254 La. 362 223 So.2d 834
Extracted from page: 9
","City of Monroe v. High, No. 49608, 254 La. 362, 223 So. 2d 834 (La. June 09, 1969)
","June 09, 1969",Louisiana,Overruled by," 1.  State v. Williams  
354 So.2d 152 , La. , (NO. 59577 )
","Oct. 10, 1977"
"Supreme Court of Louisiana. November 10, 1969 254 La. 1075 229 So.2d 104
Extracted from page: 10
","Normand v. Hertz Corp., No. 49416, 254 La. 1075, 229 So. 2d 104 (La. Nov. 10, 1969)
","Nov. 10, 1969",Louisiana,Overruled by," 1.  Jones v. Breaux 
289 So.2d 110 , La. , (NO. 53450 )
","Jan. 14, 1974"
"Supreme Court of Louisiana. January 20, 1969 253 La. 483 218 So.2d 566
Extracted from page: 10
","Jobe v. Hodge, No. 49158, 253 La. 483, 218 So. 2d 566 (La. Jan. 20, 1969)
","Jan. 20, 1969",Louisiana,Overruled by," 1.  Champagne v. American Southern Ins. Co.  
295 So.2d 437 , La. , (NO. 54186 )
","Apr. 29, 1974"
"Supreme Court of Louisiana. May 05, 1969 254 La. 204 223 So.2d 148
Extracted from page: 10
","Grant v. Touro Infirmary, No. 49185, 254 La. 204, 223 So. 2d 148 (La. May 05, 1969)
","May 05, 1969",Louisiana,Overruled by," 1.  Garlington v. Kingsley  
289 So.2d 88 , La. , (NO. 53675 )
","Jan. 14, 1974"
"Supreme Court of Louisiana. March 31, 1969 253 La. 992 221 So.2d 484
Extracted from page: 11
","State v. Hudson, No. 49282, 253 La. 992, 221 So. 2d 484 (La. Mar. 31, 1969)
","Mar. 31, 1969",Louisiana,Overruled by," 1.  State v. Douglas 
278 So.2d 485 , La. , (NO. 52865 )
","May 07, 1973"
"Supreme Court of Louisiana. February 01, 1857 12 La.Ann. 97 1857 WL 4566
Extracted from page: 14
","Succession of Waters, 12 La. Ann. 97, 1857 WL 4566 (La. Feb. 01, 1857)
","Feb. 01, 1857",Louisiana,Overruled by," 1.  Generes v. Bowie Lumber Co. 
79 So. 413 , 143 La. 811 , La. , (NO. 22789 )
","Apr. 11, 1918"
"Supreme Court of Louisiana. February 26, 2016 188 So.3d 174 2016 WL 765557
Extracted from page: 15
","State v. Coleman, No. 2014-KA-0402, 2014-0402 (La. 2/26/16), 188 So. 3d 174, 2016 WL 765557 (La. Feb. 26, 2016)
","Feb. 26, 2016",Louisiana,Overruled by," 1.  State v. Brown 
347 So.3d 745 , 2016-0998 (La. 1/28/22) , La. , (NO. 16-KA-0998 )
","Jan. 28, 2022"
