DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Judicial Court of Maine. May 05, 1977 372 A.2d 1300
Extracted from page: 1
","State v. Huntley, 372 A.2d 1300 (Me. May 05, 1977)
","May 05, 1977",Maine,Overruled by," 1.  State v. Clark 
420 A.2d 240 , Me. , (NO. 2420 )
","Oct. 01, 1980"
"Supreme Judicial Court of Maine. April 20, 1977 372 A.2d 1019
Extracted from page: 3
","State v. Cugliata, 372 A.2d 1019 (Me. Apr. 20, 1977)
","Apr. 20, 1977",Maine,Overruled by," 1.  State v. Brewer 
505 A.2d 774 , Me. , (NO. 3955 , AND-85-147 )
","Oct. 31, 1985"
"Supreme Judicial Court of Maine. May 12, 2015 124 A.3d 647 2015 WL 2189817
Extracted from page: 4
","State v. Murphy, No. KEN-14-313, 2015 ME 62, 124 A.3d 647, 2015 WL 2189817 (Me. May 12, 2015)
","May 12, 2015",Maine,Abrogated by," 1.  State v. Armstrong  
237 A.3d 185 , 2020 ME 97 , Me. , (NO. KEN-19-413 )
","July 14, 2020"
"Supreme Judicial Court of Maine. April 01, 2005 870 A.2d 112 2005 WL 752884
Extracted from page: 6
","In re Jamara R., No. KEN-04-235, 2005 ME 45, 870 A.2d 112, 2005 WL 752884 (Me. Apr. 01, 2005)
","Apr. 01, 2005",Maine,Overruled by," 1.  In re B.C. 
58 A.3d 1118 , 2012 ME 140 , Me. , (NO. AND-12-174 )
","Dec. 20, 2012"
"Supreme Judicial Court of Maine. October 26, 2005 884 A.2d 93 2005 WL 2764487
Extracted from page: 6
","Parent v. Eastern Maine Medical Center, No. PEN-04-634, 2005 ME 112, 884 A.2d 93, 2005 WL 2764487 (Me. Oct. 26, 2005)
","Oct. 26, 2005",Maine,Overruled by," 1.  Brown v. Crown Equipment Corp. 
960 A.2d 1188 , 2008 ME 186 , Me. , (NO. FED-07-521 )
","Dec. 11, 2008"
"Supreme Judicial Court of Maine. January 31, 1901 95 Me. 35 49 A. 51
Extracted from page: 9
","Black v. Security Mut. Life Ass'n, 95 Me. 35, 49 A. 51, 54 L.R.A. 939 (Me. Jan. 31, 1901)
","Jan. 31, 1901",Maine,Overruled by," 1.  Hiram Ricker and Sons v. Students Intern. Meditation Soc.  
342 A.2d 262 , Me.
","July 24, 1975"
"Supreme Judicial Court of Maine. July 12, 1974 322 A.2d 320 1974 WL 427815
Extracted from page: 13
","Berry v. Daigle, 322 A.2d 320, 1974 WL 427815 (Me. July 12, 1974)
","July 12, 1974",Maine,Overruled by,"1.  Oakes v. Town of Richmond 
303 A.3d 650 , 2023 ME 65 , Me. , (NO. SAG-22-279 )
","Oct. 03, 2023"
"Supreme Judicial Court of Maine. December 05, 1974 329 A.2d 386
Extracted from page: 13
","Young v. Young, 329 A.2d 386 (Me. Dec. 05, 1974)
","Dec. 05, 1974",Maine,Overruled by," 1.  Long v. Long  
697 A.2d 1317 , 1997 ME 171 , Me. , (NO. PIS-96-679 )
","July 24, 1997"
"Supreme Judicial Court of Maine. December 09, 1898 92 Me. 252 42 A. 391
Extracted from page: 13
","Sawyer v. Chase, 92 Me. 252, 42 A. 391 (Me. Dec. 09, 1898)
","Dec. 09, 1898",Maine,Overruled by," 1.  Petition of Wagner 
153 A.2d 619 , 155 Me. 257 , Me.
","June 25, 1959"
"Supreme Judicial Court of Maine. December 31, 1898 92 Me. 355 42 A. 785
Extracted from page: 15
","Goodwin v. Prime, 92 Me. 355, 42 A. 785 (Me. Dec. 31, 1898)
","Dec. 31, 1898",Maine,Overruled by," 1.  Petition of Wagner 
153 A.2d 619 , 155 Me. 257 , Me.
","June 25, 1959"
