DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"31, 1993 330 Md. 39 622 A.2d 121
Extracted from page: 6
","Fairbanks v. McCarter, No. 125 SEPT TERM 1992, 330 Md. 39, 622 A.2d 121, 61 USLW 2659, 1993 WL 89268 (Md. Mar. 31, 1993)
","Mar. 31, 1993",Maryland,Overruled by," 1.  Koshko v. Haining  
921 A.2d 171 , 398 Md. 404 , Md. , (NO. 35 SEPT.TERM 2006 )
","Jan. 12, 2007"
"09, 1993 333 Md. 27 633 A.2d 867
Extracted from page: 9
","Davis v. State, No. 114 SEPT. TERM 1992, 333 Md. 27, 633 A.2d 867, 62 USLW 2435, 1993 WL 502560 (Md. Dec. 09, 1993)
","Dec. 09, 1993",Maryland,Overruled by," 1.  Pearson v. State  
86 A.3d 1232 , 437 Md. 350 , Md. , (NO. 49 SEPTTERM 2013 )
","Feb. 21, 2014"
"26, 1993 330 Md. 223 623 A.2d 630
Extracted from page: 10
","Richmond v. State, No. 138 SEPT TERM 1991, 330 Md. 223, 623 A.2d 630, 1993 WL 125498 (Md. Apr. 26, 1993)
","Apr. 26, 1993",Maryland,Abrogated by,"    1.  Christian v. State  
951 A.2d 832 , 405 Md. 306 , Md. , (NO. 26 SEPT.TERM 2005 , 95 SEPT.TERM 2005 )
","June 30, 2008"
"24, 1911 116 Md. 284 81 A. 681
Extracted from page: 17
","Luery v. State, 116 Md. 284, 81 A. 681, Am. Ann. Cas. 1913D, 161 (Md. June 24, 1911)
","June 24, 1911",Maryland,Abrogated by," 1.  State v. Jones  
216 A.3d 907 , 466 Md. 142 , Md. , (NO. 52, SEPT. TERM, 2018 )
","Aug. 28, 2019"
"June 01, 1793 3 H. & McH. 328 1793 WL 408
Extracted from page: 19
","Lamar v. Jones, 3 H. & McH. 328, 1793 WL 408 (Md. June 01, 1793)
","June 01, 1793",Maryland,Overruled by," 1.  Hertle v. Schwartze 
3 Md. 366 , 1852 WL 2214 , Md.
","Dec. 01, 1852"
"01, 1838 9 G. & J. 428 1838 WL 1967
Extracted from page: 21
","Hawkins v. Bowie, 9 G. & J. 428, 1838 WL 1967 (Md. Jun Term 1838)
",Jun Term 1838,Maryland,Abrogated by," 1.  Skok v. State  
760 A.2d 647 , 361 Md. 52 , Md. , (NO. 22 SEPT.TERM 1999 )
","Oct. 10, 2000"
"12, 1962 227 Md. 659 180 A.2d 300
Extracted from page: 34
","Henson v. State, No. 50, 227 Md. 659, 180 A.2d 300 (Md. Jan. 12, 1962)
","Jan. 12, 1962",Maryland,Overruled by," 1.  In re Petition for Writ of Prohibition  
539 A.2d 664 , 312 Md. 280 , Md. , (NO. 27 SEPT TERM 1986 )
","Apr. 08, 1988"
"21, 1962 228 Md. 168 179 A.2d 338
Extracted from page: 36
","Boggs v. State, No. 207, 228 Md. 168, 179 A.2d 338 (Md. Mar. 21, 1962)
","Mar. 21, 1962",Maryland,Abrogated by," 1.  State v. Jones 
216 A.3d 907 , 466 Md. 142 , Md. , (NO. 52, SEPT. TERM, 2018 )
","Aug. 28, 2019"
"21, 1962 227 Md. 589 176 A.2d 205
Extracted from page: 37
","Merritt v. Darden, No. 65, 227 Md. 589, 176 A.2d 205 (Md. Feb. 21, 1962)
","Feb. 21, 1962",Maryland,Overruled by," 1.  Seaborne-Worsley v. Mintiens 
183 A.3d 141 , 458 Md. 555 , Md. , (NO. 26, SEPT.TERM,2017 )
","Apr. 20, 2018"
"11, 1961 225 Md. 628 169 A.2d 407
Extracted from page: 54
","Preston v. Warden of Md. House of Correction, No. 49, 225 Md. 628, 169 A.2d 407 (Md. Apr. 11, 1961)
","Apr. 11, 1961",Maryland,Abrogated by," 1.  Purnell v. State 
827 A.2d 68 , 375 Md. 678 , Md. , (NO. 46 SEPT.TERM 2000 )
","June 18, 2003"
"05, 1961 227 Md. 99 175 A.2d 775
Extracted from page: 54
","Wilson v. State, No. 74, 227 Md. 99, 175 A.2d 775 (Md. Dec. 05, 1961)
","Dec. 05, 1961",Maryland,Overruled by," 1.  State v. Kanaras  
742 A.2d 508 , 357 Md. 170 , Md. , (NO. 58 SEPTTERM 1998 )
","Dec. 20, 1999"
"05, 1961 225 Md. 271 170 A.2d 220
Extracted from page: 56
","Carder v. Steiner, No. 237, 225 Md. 271, 170 A.2d 220 (Md. May 05, 1961)
","May 05, 1961",Maryland,Overruled by," 1.  James v. Prince George’s County 
418 A.2d 1173 , 288 Md. 315 , Md. , (NO. 1095 , 158 , 895 )
","Sep. 03, 1980"
"11, 1961 225 Md. 147 169 A.2d 677
Extracted from page: 56
","Jacobs v. Klawans, No. 236, 225 Md. 147, 169 A.2d 677 (Md. Apr. 11, 1961)
","Apr. 11, 1961",Maryland,Overruled by," 1.  Julian v. Christopher  
575 A.2d 735 , 320 Md. 1 , Md. , (NO. 114 SEPT. TERM 1989 )
","June 29, 1990"
"07, 1961 224 Md. 246 167 A.2d 765
Extracted from page: 59
","State Bd. of Public Welfare v. Myers, No. 162, 224 Md. 246, 167 A.2d 765 (Md. Feb. 07, 1961)
","Feb. 07, 1961",Maryland,Abrogated by," 1.  Master Financial, Inc. v. Crowder  
972 A.2d 864 , 409 Md. 51 , Md. , (NO. 96 SEPT TERM 2008 )
","June 09, 2009"
