DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Judicial Court of Massachusetts. May 07, 1883 135 Mass. 116 1883 WL 1341
Extracted from page: 4
","Parker v. Barnard, 135 Mass. 116, 46 Am. Rep. 450, 1883 WL 1341 (Mass. May 07, 1883)
","May 07, 1883",Massachusetts,Overruled by," 1.  Wynn v. Sullivan 
3 N.E.2d 236 , 294 Mass. 562 , Mass.
","June 30, 1936"
"Supreme Judicial Court of Massachusetts, Middlesex. October 28, 1964 348 Mass. 768 202 N.E.2d 244
Extracted from page: 15
","Karp v. Mills, 348 Mass. 768, 202 N.E.2d 244 (Mass. Oct. 28, 1964)
","Oct. 28, 1964",Massachusetts,Overruled by," 1.  Papadopoulos v. Target Corp.  
930 N.E.2d 142 , 457 Mass. 368 , Mass. , (NO. SJC-10529 )
","July 26, 2010"
"Supreme Judicial Court of Massachusetts, Suffolk. October 18, 1900 177 Mass. 1 58 N.E. 160
Extracted from page: 23
","Homer v. Shaw, 177 Mass. 1, 58 N.E. 160 (Mass. Oct. 18, 1900)
","Oct. 18, 1900",Massachusetts,Overruled by," 1.  G4S Technology LLC v. Massachusetts Technology Park Corporation 
99 N.E.3d 728 , 479 Mass. 721 , Mass. , (NO. SJC-12397 )
","June 13, 2018"
"Supreme Judicial Court of Massachusetts, Suffolk. October 05, 1971 360 Mass. 144 273 N.E.2d 874
Extracted from page: 27
","Com. v. Colella, 360 Mass. 144, 273 N.E.2d 874 (Mass. Oct. 05, 1971)
","Oct. 05, 1971",Massachusetts,Abrogated by,"    1.  Com. v. Antobenedetto 
315 N.E.2d 530 , 366 Mass. 51 , Mass.
","July 25, 1974"
"Supreme Judicial Court of Massachusetts, Suffolk. November 11, 1971 360 Mass. 498 275 N.E.2d 143
Extracted from page: 28
","Com. v. Jones, 360 Mass. 498, 275 N.E.2d 143 (Mass. Nov. 11, 1971)
","Nov. 11, 1971",Massachusetts,Abrogated by," 1.  Com. v. Butler 
985 N.E.2d 377 , 464 Mass. 706 , Mass. , (NO. SJC-11073 )
","Mar. 26, 2013"
"Supreme Judicial Court of Massachusetts, Plymouth. February 25, 1971 358 Mass. 721 267 N.E.2d 233
Extracted from page: 29
","Com. v. Andrews, 358 Mass. 721, 267 N.E.2d 233 (Mass. Feb. 25, 1971)
","Feb. 25, 1971",Massachusetts,Abrogated by,"    1.  Com. v. Antobenedetto 
315 N.E.2d 530 , 366 Mass. 51 , Mass.
","July 25, 1974"
"Supreme Judicial Court of Massachusetts, Middlesex. April 20, 1971 359 Mass. 332 269 N.E.2d 84
Extracted from page: 29
","Com. v. Brandano, 359 Mass. 332, 269 N.E.2d 84 (Mass. Apr. 20, 1971)
","Apr. 20, 1971",Massachusetts,Abrogated by," 1.  Com. v. Cheney  
800 N.E.2d 309 , 440 Mass. 568 , Mass. , (NO. SJC-09029 )
","Dec. 15, 2003"
"Supreme Judicial Court of Massachusetts, Middlesex. May 18, 1971 359 Mass. 529 269 N.E.2d 836
Extracted from page: 32
","Lombardo v. D. F. Frangioso & Co., 359 Mass. 529, 269 N.E.2d 836 (Mass. May 18, 1971)
","May 18, 1971",Massachusetts,Overruled by," 1.  Diaz v. Eli Lilly & Co. 
302 N.E.2d 555 , 364 Mass. 153 , Mass.
","Oct. 10, 1973"
"Supreme Judicial Court of Massachusetts, Suffolk. November 11, 1971 360 Mass. 443 275 N.E.2d 493
Extracted from page: 34
","New England Tel. & Tel. Co. v. Department of Public Utilities, No. 154418, 360 Mass. 443, 275 N.E.2d 493, 92 P.U.R.3d 113, 59 A.L.R.3d 899 (Mass. Nov. 11, 1971)
","Nov. 11, 1971",Massachusetts,Abrogated by," 1.  Boston Gas Co. v. Department of Public Utilities  
539 N.E.2d 1001 , 405 Mass. 115 , Mass. , (NO. 4999 )
","June 12, 1989"
"Supreme Judicial Court of Massachusetts, Essex. January 03, 1919 231 Mass. 550 121 N.E. 493
Extracted from page: 36
","Flynn v. Lewis, 231 Mass. 550, 121 N.E. 493, 2 A.L.R. 896 (Mass. Jan. 03, 1919)
","Jan. 03, 1919",Massachusetts,Overruled by," 1.  Taylor v. Goldstein 
107 N.E.2d 14 , 329 Mass. 161 , Mass.
","July 01, 1952"
