DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Michigan. March 20, 1990 434 Mich. 244 454 N.W.2d 73
Extracted from page: 1
","Old Orchard by the Bay Associates v. Hamilton Mut. Ins. Co., No. 82516, 434 Mich. 244, 454 N.W.2d 73, 1990 WL 52250 (Mich. Mar. 20, 1990)
","Mar. 20, 1990",Michigan,Abrogated by," 2.  Holloway Const. Co. v. Oakland County Bd. of County Road Com’rs 
543 N.W.2d 923 , 450 Mich. 608 , Mich. , (NO. 99357 )
","Mar. 01, 1996"
"Supreme Court of Michigan. October 28, 1902 131 Mich. 564 91 N.W. 1024
Extracted from page: 4
","National Lumberman's Bank v. Miller, 131 Mich. 564, 91 N.W. 1024, 100 Am. St. Rep. 623 (Mich. Oct. 28, 1902)
","Oct. 28, 1902",Michigan,Overruled by," 1.  Judd v. Judd  
154 N.W. 31 , 187 Mich. 612 , Mich. , (NO. 349 )
","Sep. 28, 1915"
"Supreme Court of Michigan. May 08, 1902 130 Mich. 493 90 N.W. 278
Extracted from page: 4
","Pepke v. Grace Hospital, 130 Mich. 493, 90 N.W. 278 (Mich. May 08, 1902)
","May 08, 1902",Michigan,Overruled by," 1.  Parker v. Port Huron Hosp. 
105 N.W.2d 1 , 361 Mich. 1 , Mich. , (NO. 10 JAN. TERM , 11 JAN. TERM )
","Sep. 15, 1960"
"Supreme Court of Michigan. January 07, 1902 129 Mich. 246 88 N.W. 695
Extracted from page: 6
","Nicholson v. City of Detroit, 129 Mich. 246, 88 N.W. 695, 56 L.R.A. 601 (Mich. Jan. 07, 1902)
","Jan. 07, 1902",Michigan,Overruled by," 1.  Williams v. City of Detroit 
111 N.W.2d 1 , 364 Mich. 231 , Mich. , (NO. 5 )
","Sep. 22, 1961"
"Supreme Court of Michigan. May 26, 1908 152 Mich. 678 116 N.W. 562
Extracted from page: 11
","Peterson v. City of Ionia, 152 Mich. 678, 116 N.W. 562 (Mich. May 26, 1908)
","May 26, 1908",Michigan,Overruled by," 1.  McCurdy v. Shiawassee County 
118 N.W. 625 , 154 Mich. 550 , Mich.
","Nov. 30, 1908"
"Supreme Court of Michigan. July 29, 1927 239 Mich. 501 214 N.W. 953
Extracted from page: 17
","Steffes v. Ford Motor Co., No. 46, 239 Mich. 501, 214 N.W. 953 (Mich. July 29, 1927)
","July 29, 1927",Michigan,Overruled by," 1.  Crilly v. Ballou 
91 N.W.2d 493 , 353 Mich. 303 , Mich. , (NO. 32 JAN. TERM )
","July 15, 1958"
"Supreme Court of Michigan. June 06, 1927 239 Mich. 142 214 N.W. 305
Extracted from page: 19
","Harvey v. Harvey, No. 42, 239 Mich. 142, 214 N.W. 305 (Mich. June 06, 1927)
","June 06, 1927",Michigan,Overruled by," 1.  Hosko v. Hosko  
187 N.W.2d 236 , 385 Mich. 39 , Mich. , (NO. 6 )
","June 02, 1971"
"Supreme Court of Michigan. October 03, 1927 240 Mich. 402 215 N.W. 290
Extracted from page: 19
","Riser v. Riser, No. 3 JUNE TERM, 240 Mich. 402, 215 N.W. 290 (Mich. Oct. 03, 1927)
","Oct. 03, 1927",Michigan,Overruled by," 1.  Moore v. Palmer
86 N.W.2d 585 , 350 Mich. 363 , Mich. , (NO. 53 , 54 , 55 , 56 )
","Nov. 26, 1957"
"Supreme Court of Michigan. October 03, 1927 240 Mich. 402 215 N.W. 290
Extracted from page: 19
","Riser v. Riser, No. 3 JUNE TERM, 240 Mich. 402, 215 N.W. 290 (Mich. Oct. 03, 1927)
","Oct. 03, 1927",Michigan,Overruled by," 2.  Hosko v. Hosko 
187 N.W.2d 236 , 385 Mich. 39 , Mich. , (NO. 6 )
","June 02, 1971"
"Supreme Court of Michigan. April 01, 1927 237 Mich. 633 212 N.W. 952
Extracted from page: 19
","Foss v. City of Lansing, No. 62, 237 Mich. 633, 212 N.W. 952, 52 A.L.R. 185 (Mich. Apr. 01, 1927)
","Apr. 01, 1927",Michigan,Overruled by," 1.  Watson v. School Dist. of Bay City  
36 N.W.2d 195 , 324 Mich. 1 , Mich. , (NO. 8 )
","Feb. 28, 1949"
"Supreme Court of Michigan. April 01, 1927 237 Mich. 583 213 N.W. 188
Extracted from page: 19
","Petrusha v. Korinek, No. 40, 237 Mich. 583, 213 N.W. 188 (Mich. Apr. 01, 1927)
","Apr. 01, 1927",Michigan,Abrogated by," 1.  Sexton v. Ryder Truck Rental, Inc. 
320 N.W.2d 843 , 413 Mich. 406 , Mich. , (NO. 61606 , 63362 , CALENDAR 1 , CALENDAR 2 )
","June 14, 1982"
"Supreme Court of Michigan. March 29, 1929 246 Mich. 312 224 N.W. 384
Extracted from page: 23
","People ex rel. Elliot v. O'Hara, No. 485, 246 Mich. 312, 224 N.W. 384 (Mich. Mar. 29, 1929)
","Mar. 29, 1929",Michigan,Overruled by," 1.  Wallace v. Tripp  
101 N.W.2d 312 , 358 Mich. 668 , Mich. , (NO. 22 )
","Feb. 25, 1960"
