DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Minnesota. June 20, 1958 253 Minn. 46 90 N.W.2d 915
Extracted from page: 6
","Thompson v. Schraiber, No. 37435, 253 Minn. 46, 90 N.W.2d 915 (Minn. June 20, 1958)
","June 20, 1958",Minnesota,Overruled by," 1.  Prickett v. Circuit Science, Inc. 
518 N.W.2d 602 , Minn. , (NO. CX-92-1985 )
","June 30, 1994"
"Supreme Court of Minnesota. April 03, 1958 252 Minn. 110 89 N.W.2d 694
Extracted from page: 6
","Person v. Sears Roebuck & Co., No. 37182, 252 Minn. 110, 89 N.W.2d 694 (Minn. Apr. 03, 1958)
","Apr. 03, 1958",Minnesota,Overruled by," 1.  Wilson v. Sorge  
97 N.W.2d 477 , 256 Minn. 125 , Minn. , (NO. 37651 )
","June 26, 1959"
"Supreme Court of Minnesota. November 29, 1901 84 Minn. 447 88 N.W. 3
Extracted from page: 15
","Butler-Ryan Co. v. Williams, 84 Minn. 447, 88 N.W. 3 (Minn. Nov. 29, 1901)
","Nov. 29, 1901",Minnesota,Overruled by," 1.  Strobel v. Chicago, R. I. & P. R. Co. 
96 N.W.2d 195 , 255 Minn. 201 , Minn. , (NO. 37562 )
","Apr. 17, 1959"
"Supreme Court of Minnesota. November 29, 1935 195 Minn. 523 263 N.W. 546
Extracted from page: 18
","Patenaude v. Patenaude, No. 30712, 195 Minn. 523, 263 N.W. 546 (Minn. Nov. 29, 1935)
","Nov. 29, 1935",Minnesota,Overruled by," 1.  Beaudette v. Frana 
173 N.W.2d 416 , 285 Minn. 366 , Minn. , (NO. 41798 , 41829 )
","Dec. 19, 1969"
"Supreme Court of Minnesota. March 22, 1935 194 Minn. 83 259 N.W. 798
Extracted from page: 21
","Mueller v. Chicago & N. W. Ry. Co., No. 30235, 194 Minn. 83, 259 N.W. 798 (Minn. Mar. 22, 1935)
","Mar. 22, 1935",Minnesota,Overruled by," 1.  Eisen v. State, Dept. of Public Welfare  
352 N.W.2d 731 , 118 L.R.R.M. (BNA) 2186 , Minn. , (NO. C2-83-614 )
","June 22, 1984"
"Supreme Court of Minnesota. March 01, 1935 193 Minn. 533 259 N.W. 70
Extracted from page: 21
","Olson v. Chicago, Great Western Ry. Co., No. 30077, 193 Minn. 533, 259 N.W. 70 (Minn. Mar. 01, 1935)
","Mar. 01, 1935",Minnesota,Overruled by," 1.  Licha v. Northern Pac. Ry. Co.  
276 N.W. 813 , 201 Minn. 427 , Minn. , (NO. 31170 )
","Dec. 24, 1937"
"Supreme Court of Minnesota. June 12, 1899 77 Minn. 8 79 N.W. 582
Extracted from page: 26
","Knight v. Knoblauch, 77 Minn. 8, 79 N.W. 582 (Minn. June 12, 1899)
","June 12, 1899",Minnesota,Overruled by," 1.  Midland Co. v. Eby 
93 N.W. 707 , 89 Minn. 27 , Minn.
","Feb. 20, 1903"
"Supreme Court of Minnesota. April 26, 1899 76 Minn. 76 78 N.W. 1035
Extracted from page: 28
","Gammons v. Johnson, 76 Minn. 76, 78 N.W. 1035 (Minn. Apr. 26, 1899)
","Apr. 26, 1899",Minnesota,Abrogated by," 1.  Maslowski v. Prospect Funding Partners LLC 
944 N.W.2d 235 , Minn. , (NO. A18-1906 )
","June 03, 2020"
"Supreme Court of Minnesota. October 23, 1899 77 Minn. 453 80 N.W. 620
Extracted from page: 28
","State v. Johnson, 77 Minn. 453, 80 N.W. 620 (Minn. Oct. 23, 1899)
","Oct. 23, 1899",Minnesota,Overruled by," 1.  State ex rel. Bd. of Educ. v. Minor 
81 N.W. 912 , 79 Minn. 201 , Minn.
","Feb. 19, 1900"
"Supreme Court of Minnesota. May 16, 1913 121 Minn. 381 141 N.W. 526
Extracted from page: 31
","State v. Sharp, 121 Minn. 381, 141 N.W. 526 (Minn. May 16, 1913)
","May 16, 1913",Minnesota,Overruled by," 1.  State v. Johnson 
228 N.W. 926 , 179 Minn. 217 , Minn. , (NO. 27472 )
","Jan. 17, 1930"
"Supreme Court of Minnesota. June 03, 1988 425 N.W.2d 803 1988 WL 54191
Extracted from page: 41
","VanderWeyst v. First State Bank of Benson, No. C4-87-283, 425 N.W.2d 803, RICO Bus. Disp. Guide 6961, 1988 WL 54191 (Minn. June 03, 1988)
","June 03, 1988",Minnesota,Abrogated by," 1.  Tafflin v. Levitt 
110 S.Ct. 792 , 493 U.S. 455 , 107 L.Ed.2d 887 , 58 USLW 4157 , Fed. Sec. L. Rep. P 94,880 , RICO Bus.Disp.Guide 7403 , U.S.Md. , (NO. 88-1650 )
","Jan. 22, 1990"
"Supreme Court of Minnesota. April 06, 1944 217 Minn. 155 14 N.W.2d 120
Extracted from page: 43
","Truman v. United Products Corp., No. 33693, 217 Minn. 155, 14 N.W.2d 120 (Minn. Apr. 06, 1944)
","Apr. 06, 1944",Minnesota,Overruled by," 1.  Milbank Mut. Ins. Co. v. U.S. Fidelity and Guar. Co. 
332 N.W.2d 160 , Minn. , (NO. CO-82-469 )
","Apr. 01, 1983"
"Supreme Court of Minnesota. July 07, 1944 218 Minn. 115 15 N.W.2d 456
Extracted from page: 44
","Ryberg v. Ebnet, No. 33901, 218 Minn. 115, 15 N.W.2d 456 (Minn. July 07, 1944)
","July 07, 1944",Minnesota,Overruled by," 1.  Johnson v. O’Brien  
105 N.W.2d 244 , 258 Minn. 502 , 88 A.L.R.2d 577 , Minn. , (NO. 37800 , 37801 )
","July 29, 1960"
"Supreme Court of Minnesota. April 28, 1944 217 Minn. 296 14 N.W.2d 286
Extracted from page: 44
","De Rosier v. Jay W. Craig Co., No. 33667, 217 Minn. 296, 14 N.W.2d 286 (Minn. Apr. 28, 1944)
","Apr. 28, 1944",Minnesota,Overruled by," 1.  Aleckson v. Kennedy Motor Sales Co.
55 N.W.2d 696 , 238 Minn. 110 , Minn. , (NO. 35795 )
","Nov. 28, 1952"
