DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Mississippi. August 01, 1990 569 So.2d 1148 1990 WL 120182
Extracted from page: 5
","Moore v. Sanders, No. 07-CA-59516, 569 So. 2d 1148, 1990 WL 120182 (Miss. Aug. 01, 1990)
","Aug. 01, 1990",Mississippi,Abrogated by," 1.  Bowen v. DeSoto County Bd. of Sup’rs 
852 So.2d 21 , Miss. , (NO. 2001-CT-00533-SCT )
","Aug. 07, 2003"
"Supreme Court of Mississippi. October 24, 1990 569 So.2d 1191 1990 WL 167156
Extracted from page: 5
","McGee v. State, No. 07-KA-59048, 569 So. 2d 1191, 1990 WL 167156 (Miss. Oct. 24, 1990)
","Oct. 24, 1990",Mississippi,Overruled by," 1.  White v. State 
785 So.2d 1059 , Miss. , (NO. 1998-CT-01099-SCT )
","Mar. 01, 2001"
"Supreme Court of Mississippi. December 19, 1990 573 So.2d 776 1990 WL 257470
Extracted from page: 8
","Beaman v. Helton, No. 89-IA-0588, 573 So. 2d 776, 1990 WL 257470 (Miss. Dec. 19, 1990)
","Dec. 19, 1990",Mississippi,Overruled by," 1.  Meena v. Wilburn  
603 So.2d 866 , Miss. , (NO. 90-CA-1178 )
","June 17, 1992"
"Supreme Court of Mississippi. November 28, 1990 571 So.2d 263 1990 WL 194103
Extracted from page: 11
","Hood v. Mississippi Dept. of Wildlife Conservation, No. 89-CA-378, 571 So. 2d 263, 1990 WL 194103 (Miss. Nov. 28, 1990)
","Nov. 28, 1990",Mississippi,Overruled by," 1.  East Mississippi State Hosp. v. Callens  
892 So.2d 800 , 21 IER Cases 1162 , Miss. , (NO. 2000-CT-00258-SCT )
","Apr. 15, 2004"
"Supreme Court of Mississippi. October 31, 1990 569 So.2d 1217 1990 WL 167153
Extracted from page: 12
","Thiac v. State Farm Mutual Auto. Ins. Co., No. 89-CA-0104, 569 So. 2d 1217, 1990 WL 167153 (Miss. Oct. 31, 1990)
","Oct. 31, 1990",Mississippi,Overruled by," 1.  Meyers v. American States Ins. Co. 
914 So.2d 669 , Miss. , (NO. 2003-CA-01669-SCT )
","June 09, 2005"
"Supreme Court of Mississippi. January 10, 1990 555 So.2d 1039 1990 WL 3839
Extracted from page: 13
","Avery v. State, No. 07-58022, 555 So. 2d 1039, 1990 WL 3839 (Miss. Jan. 10, 1990)
","Jan. 10, 1990",Mississippi,Overruled by," 1.  Mayfield v. State  
612 So.2d 1120 , Miss. , (NO. 90-KA-448 )
","Dec. 31, 1992"
"Supreme Court of Mississippi. January 10, 1990 555 So.2d 1039 1990 WL 3839
Extracted from page: 13
","Avery v. State, No. 07-58022, 555 So. 2d 1039, 1990 WL 3839 (Miss. Jan. 10, 1990)
","Jan. 10, 1990",Mississippi,Abrogated by," 2.  Hansen v. State
592 So.2d 114 , Miss. , (NO. 89-DP-0823 )
","Dec. 18, 1991"
"Supreme Court of Mississippi. December 19, 1990 574 So.2d 1369 1990 WL 257460
Extracted from page: 13
","In Interest of C.B., No. 07-CA-59340, 574 So. 2d 1369, 1990 WL 257460 (Miss. Dec. 19, 1990)
","Dec. 19, 1990",Mississippi,Overruled by," 1.  Miller v. Smith  
229 So.3d 100 , Miss. , (NO. 2015-CT-00330-SCT )
","Oct. 26, 2017"
"Supreme Court of Mississippi. May 30, 1990 564 So.2d 1374 1990 WL 72284
Extracted from page: 14
","Simpson v. State Farm Fire and Cas. Co., No. 07-CA-58861, 564 So. 2d 1374, 1990 WL 72284 (Miss. May 30, 1990)
","May 30, 1990",Mississippi,Abrogated by," 1.  Upchurch Plumbing, Inc. v. Greenwood Utilities Com’n 
964 So.2d 1100 , Miss. , (NO. 2005-CA-01689-SCT )
","Aug. 30, 2007"
"Supreme Court of Mississippi. May 30, 1990 573 So.2d 646 1990 WL 263615
Extracted from page: 16
","Harris v. Magee, No. 07-CA-58843, 573 So. 2d 646, 1990 WL 263615 (Miss. May 30, 1990)
","May 30, 1990",Mississippi,Overruled by," 1.  Meyers v. American States Ins. Co. 
914 So.2d 669 , Miss. , (NO. 2003-CA-01669-SCT )
","June 09, 2005"
