DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"1. January 09, 1967 411 S.W.2d 72
Extracted from page: 1
","Wilhite v. Hurd, No. 52044, 411 S.W.2d 72 (Mo. Jan. 09, 1967)
","Jan. 09, 1967",Missouri,Overruled by," 1.  Hampton v. Big Boy Steel Erection 
121 S.W.3d 220 , Mo. , (NO. SC85456 )
","Dec. 09, 2003"
"1. February 15, 1905 186 Mo. 285 85 S.W. 329
Extracted from page: 4
","City of Tarkio v. Clark, 186 Mo. 285, 85 S.W. 329 (Mo. Feb. 15, 1905)
","Feb. 15, 1905",Missouri,Overruled by," 1.  Missouri Power & Light Co. v. Creed 
30 S.W.2d 605 , 325 Mo. 1194 , Mo. , (NO. 3252 )
","Aug. 02, 1930"
"2. May 16, 1905 188 Mo. 415 87 S.W. 470
Extracted from page: 5
","State v. Locket, 188 Mo. 415, 87 S.W. 470 (Mo. May 16, 1905)
","May 16, 1905",Missouri,Overruled by," 1.  State v. Wade 
183 S.W. 598 , 267 Mo. 249 , Mo. , (NO. 18711 )
","Mar. 01, 1916"
"2. November 21, 1905 191 Mo. 1 90 S.W. 454
Extracted from page: 7
","State v. Kosky, 191 Mo. 1, 90 S.W. 454 (Mo. Nov. 21, 1905)
","Nov. 21, 1905",Missouri,Overruled by," 1.  State v. Ebbeller 
222 S.W. 396 , 283 Mo. 57 , Mo. , (NO. 21887 )
","June 04, 1920"
"1. June 07, 1929 323 Mo. 130 18 S.W.2d 441
Extracted from page: 12
","Syz v. Milk Wagon Drivers' Union, Local 603, No. 27165, 323 Mo. 130, 18 S.W.2d 441 (Mo. June 07, 1929)
","June 07, 1929",Missouri,Overruled by," 1.  City of St. Louis v. Butler Co. 
219 S.W.2d 372 , 358 Mo. 1221 , Mo. , (NO. 40868 )
","Apr. 11, 1949"
"2. March 02, 1929 322 Mo. 137 14 S.W.2d 652
Extracted from page: 14
","Weed v. American Car & Foundry Co., No. 27190, 322 Mo. 137, 14 S.W.2d 652 (Mo. Mar. 02, 1929)
","Mar. 02, 1929",Missouri,Overruled by," 1.  McClanahan v. St. Louis Public Service Co. 
251 S.W.2d 704 , 363 Mo. 500 , Mo. , (NO. 42901 )
","Oct. 13, 1952"
"2. December 06, 1913 253 Mo. 271 161 S.W. 1169
Extracted from page: 16
","State ex rel. Spriggs v. Robinson, 253 Mo. 271, 161 S.W. 1169 (Mo. Dec. 06, 1913)
","Dec. 06, 1913",Missouri,Overruled by," 1.  Younge v. State Bd. of Registration for Healing Arts 
451 S.W.2d 346 , Mo. , (NO. 54160 )
","July 14, 1969"
"Supreme Court of Missouri. December 24, 1913 253 Mo. 604 162 S.W. 618
Extracted from page: 17
","State ex rel. Letcher v. Dearing, 253 Mo. 604, 162 S.W. 618 (Mo. Dec. 24, 1913)
","Dec. 24, 1913",Missouri,Overruled by," 1.  State ex inf. McKittrick v. Wymore 
119 S.W.2d 941 , 343 Mo. 98 , 119 A.L.R. 710 , Mo. , (NO. 35738 )
","Sep. 28, 1938"
"Supreme Court of Missouri. May 01, 1876 62 Mo. 595 1876 WL 9762
Extracted from page: 20
","State v. Berry, 62 Mo. 595, 1876 WL 9762 (Mo. May 01, 1876)
","May 01, 1876",Missouri,Overruled by," 1.  State v. Weeks 
77 Mo. 496 , 1883 WL 9782 , Mo.
","Apr. 01, 1883"
"Supreme Court of Missouri. October 01, 1876 63 Mo. 521 1876 WL 9401
Extracted from page: 20
","State v. Poston, 63 Mo. 521, 1876 WL 9401 (Mo. Oct. 01, 1876)
","Oct. 01, 1876",Missouri,Overruled by," 1.  State v. Weeks 
77 Mo. 496 , 1883 WL 9782 , Mo.
","Apr. 01, 1883"
"Supreme Court of Missouri. January 01, 1876 62 Mo. 329 1876 WL 273
Extracted from page: 22
","Matthews v. Skinker, 62 Mo. 329, 21 Am. Rep. 425, 1876 WL 273 (Mo. 1876)
","June 15, 1876",Missouri,Overruled by," 1.  Swope v. Leffingwell
72 Mo. 348 , 1880 WL 143 , Mo.
","Oct. 01, 1880"
"Supreme Court of Missouri. October 01, 1876 64 Mo. 43 1876 WL 9409
Extracted from page: 22
","Davis v. Luster, 64 Mo. 43, 1876 WL 9409 (Mo. Oct. 01, 1876)
","Oct. 01, 1876",Missouri,Overruled by," 1.  Hensinger v. Dyer 
48 S.W. 912 , 147 Mo. 219 , Mo.
","Dec. 20, 1898"
