DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Nebraska. January 03, 1997 251 Neb. 355 557 N.W.2d 634
Extracted from page: 1
","Sherrod v. State Dept. of Correctional Services, No. S-94-941, 251 Neb. 355, 557 N.W.2d 634, 1997 WL 16326 (Neb. Jan. 03, 1997)
","Jan. 03, 1997",Nebraska,Overruled by," 1.  Davis v. State 
902 N.W.2d 165 , 297 Neb. 955 , Neb. , (NO. S-16-355 )
","Oct. 06, 2017"
"Supreme Court of Nebraska. July 13, 2018 300 Neb. 510 915 N.W.2d 91
Extracted from page: 3
","In re Interest of J.K., No. S-17-982, 300 Neb. 510, 915 N.W.2d 91, 2018 WL 3405422 (Neb. July 13, 2018)
","July 13, 2018",Nebraska,Abrogated by," 1.  State v. Ezell 
993 N.W.2d 449 , 314 Neb. 825 , Neb. , (NO. S-22-411 )
","Aug. 04, 2023"
"Supreme Court of Nebraska. February 17, 1925 113 Neb. 173 202 N.W. 413
Extracted from page: 5
","Sherman v. State, No. 24284, 113 Neb. 173, 202 N.W. 413 (Neb. Feb. 17, 1925)
","Feb. 17, 1925",Nebraska,Overruled by," 1.  Platt v. State  
8 N.W.2d 849 , 143 Neb. 131 , Neb. , (NO. 31534 )
","Apr. 02, 1943"
"Supreme Court of Nebraska. February 09, 1899 57 Neb. 754 78 N.W. 255
Extracted from page: 1
","Beard v. Beard, 57 Neb. 754, 78 N.W. 255 (Neb. Feb. 09, 1899)
","Feb. 09, 1899",Nebraska,Overruled by," 1.  Shomaker v. Shomaker 
163 N.W.2d 102 , 183 Neb. 609 , Neb. , (NO. 36939 )
","Dec. 06, 1968"
"Supreme Court of Nebraska. March 22, 1899 58 Neb. 297 78 N.W. 641
Extracted from page: 1
","Holmes v. State, 58 Neb. 297, 78 N.W. 641 (Neb. Mar. 22, 1899)
","Mar. 22, 1899",Nebraska,Overruled by," 1.  Griffith v. State  
142 N.W. 790 , 94 Neb. 55 , Neb. , (NO. 17957 )
","June 16, 1913"
"Supreme Court of Nebraska. January 19, 1899 57 Neb. 538 77 N.W. 1106
Extracted from page: 3
","German Ins. Co. v. Frederick, 57 Neb. 538, 77 N.W. 1106 (Neb. Jan. 19, 1899)
","Jan. 19, 1899",Nebraska,Overruled by," 1.  Gillan v. Equitable Life Assur. Soc. 
10 N.W.2d 693 , 143 Neb. 647 , 148 A.L.R. 496 , Neb. , (NO. 31397 )
","July 23, 1943"
"Supreme Court of Nebraska. December 19, 1899 59 Neb. 382 81 N.W. 313
Extracted from page: 4
","Mauck v. Brown, 59 Neb. 382, 81 N.W. 313 (Neb. Dec. 19, 1899)
","Dec. 19, 1899",Nebraska,Overruled by," 1.  Griffith v. Bonawitz 
103 N.W. 327 , 73 Neb. 622 , Neb.
","Apr. 19, 1905"
"Supreme Court of Nebraska. June 26, 1979 203 Neb. 825 280 N.W.2d 654
Extracted from page: 8
","Lytle v. Vitek, No. 42326, 203 Neb. 825, 280 N.W.2d 654 (Neb. June 26, 1979)
","June 26, 1979",Nebraska,Overruled by," 1.  Malone v. Benson 
361 N.W.2d 184 , 219 Neb. 28 , Neb. , (NO. 84-193 , 84-265 , 84-266 , 84-267 , 84-268 , 84-269 , 84-270 , 84-271 , 84-272 )
","Jan. 04, 1985"
"Supreme Court of Nebraska. June 26, 1979 203 Neb. 825 280 N.W.2d 654
Extracted from page: 8
","Lytle v. Vitek, No. 42326, 203 Neb. 825, 280 N.W.2d 654 (Neb. June 26, 1979)
","June 26, 1979",Nebraska,Overruled by," 2.  Wounded Shield v. Gunter  
405 N.W.2d 9 , 225 Neb. 327 , Neb. , (NO. 86-747 )
","May 01, 1987"
"Supreme Court of Nebraska. October 30, 1979 204 Neb. 670 284 N.W.2d 850
Extracted from page: 9
","Watters v. Foreman, No. 42393, 204 Neb. 670, 284 N.W.2d 850 (Neb. Oct. 30, 1979)
","Oct. 30, 1979",Nebraska,Overruled by," 1.  Holm v. Holm  
678 N.W.2d 499 , 267 Neb. 867 , Neb. , (NO. S-03-290 )
","Apr. 23, 2004"
"Supreme Court of Nebraska. April 17, 1979 203 Neb. 133 277 N.W.2d 572
Extracted from page: 9
","Dale Electronics, Inc. v. Federal Ins. Co., No. 42441, 203 Neb. 133, 277 N.W.2d 572 (Neb. Apr. 17, 1979)
","Apr. 17, 1979",Nebraska,Overruled by," 1.  Reutzel v. Reutzel  
562 N.W.2d 351 , 252 Neb. 354 , Neb. , (NO. S-95-1225 )
","Apr. 24, 1997"
"Supreme Court of Nebraska. August 21, 1979 204 Neb. 433 283 N.W.2d 6
Extracted from page: 10
","State v. Pierce, No. 42462, 204 Neb. 433, 283 N.W.2d 6 (Neb. Aug. 21, 1979)
","Aug. 21, 1979",Nebraska,Overruled by," 1.  State v. Ellis  
333 N.W.2d 391 , 214 Neb. 172 , Neb. , (NO. 82-191 )
","Apr. 29, 1983"
"Supreme Court of Nebraska. February 19, 1916 99 Neb. 349 156 N.W. 765
Extracted from page: 1
","Hadley v. Union Pac. R. Co., No. 18439, 99 Neb. 349, 156 N.W. 765 (Neb. Feb. 19, 1916)
","Feb. 19, 1916",Nebraska,Overruled by," 1.  Strong v. Omaha Const. Industry Pension Plan 
701 N.W.2d 320 , 270 Neb. 1 , 35 Employee Benefits Cas. 2655 , Neb. , (NO. S-03-1403 )
","June 24, 2005"
"Supreme Court of Nebraska. February 19, 1916 99 Neb. 397 156 N.W. 645
Extracted from page: 1
","Estelle v. Daily News Pub. Co., No. 18120, 99 Neb. 397, 156 N.W. 645 (Neb. Feb. 19, 1916)
","Feb. 19, 1916",Nebraska,Overruled by," 1.  Hall v. Rice  
223 N.W. 4 , 117 Neb. 813 , 78 A.L.R. 1421 , Neb. , (NO. 26161 )
","Jan. 16, 1929"
"Supreme Court of Nebraska. May 02, 1900 60 Neb. 203 82 N.W. 625
Extracted from page: 2
","James v. Higginbotham, 60 Neb. 203, 82 N.W. 625 (Neb. May 02, 1900)
","May 02, 1900",Nebraska,Overruled by," 1.  Maher v. State  
13 N.W.2d 641 , 144 Neb. 463 , Neb. , (NO. 31647 )
","Mar. 17, 1944"
"Supreme Court of Nebraska. September 19, 1900 60 Neb. 531 83 N.W. 744
Extracted from page: 5
","Missouri Pac. R. Co. v. Fox, 60 Neb. 531, 83 N.W. 744 (Neb. Sep. 19, 1900)
","Sep. 19, 1900",Nebraska,Overruled by," 1.  Callahan v. Prewitt 
13 N.W.2d 660 , 143 Neb. 787 , Neb. , (NO. 31638 )
","Mar. 24, 1944"
"Supreme Court of Nebraska. January 06, 1886 18 Neb. 526 26 N.W. 204
Extracted from page: 5
","Equitable Assur. Society v. Brobst, 18 Neb. 526, 26 N.W. 204 (Neb. Jan. 06, 1886)
","Jan. 06, 1886",Nebraska,Overruled by," 1.  Shipley v. Baillie  
547 N.W.2d 711 , 250 Neb. 88 , Neb. , (NO. S-94-656 )
","May 17, 1996"
"Supreme Court of Nebraska. April 21, 1886 19 Neb. 511 27 N.W. 731
Extracted from page: 7
","Lipscomb v. Lyon, 19 Neb. 511, 27 N.W. 731 (Neb. Apr. 21, 1886)
","Apr. 21, 1886",Nebraska,Overruled by," 1.  Stevens v. Carson 
46 N.W. 655 , 30 Neb. 544 , Neb.
","Oct. 07, 1890"
