DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Nevada. February 01, 2018 134 Nev. 13 409 P.3d 54
Extracted from page: 1
","Castillo v. United Federal Credit Union, No. 70151, 134 Nev. 13, 409 P.3d 54, 94 UCC Rep. Serv. 2d 1024, 2018 WL 665584 (Nev. Feb. 01, 2018)
","Feb. 01, 2018",Nevada,Overruled by," 1.  A Cab, LLC v. Murray  
501 P.3d 961 , 137 Nev. 805 , 137 Nev. Adv. Op. 84 , Nev. , (NO. 77050 )
","Dec. 30, 2021"
"Supreme Court of Nevada. June 04, 2002 118 Nev. 405 47 P.3d 438
Extracted from page: 2
","Hampe v. Foote, No. 36555, 118 Nev. 405, 47 P.3d 438, 2002 WL 1270896 (Nev. June 04, 2002)
","June 04, 2002",Nevada,Abrogated by," 1.  Buzz Stew, LLC v. City of North Las Vegas 
181 P.3d 670 , 124 Nev. 224 , Nev. , (NO. 47262 )
","Apr. 17, 2008"
"Supreme Court of Nevada. July 18, 2002 118 Nev. 444 49 P.3d 651
Extracted from page: 2
","Rosequist v. International Ass'n of Firefighters Local 1908, No. 36506, 118 Nev. 444, 49 P.3d 651, 2002 WL 1586966 (Nev. July 18, 2002)
","July 18, 2002",Nevada,Overruled by," 1.  Allstate Ins. Co. v. Thorpe  
170 P.3d 989 , 123 Nev. 565 , Nev. , (NO. 44467 )
","Nov. 21, 2007"
"Supreme Court of Nevada. March 15, 2002 118 Nev. 186 42 P.3d 268
Extracted from page: 3
","Civil Service Com'n for City of Reno v. Second Judicial District Court ex rel. County of Washoe, No. 38156`, 118 Nev. 186, 42 P.3d 268, 146 Lab. Cas. P 59575, 2002 WL 408078 (Nev. Mar. 15, 2002)
","Mar. 15, 2002",Nevada,Overruled by," 1.  Washoe County v. Otto  
282 P.3d 719 , 128 Nev. 424 , 128 Nev. Adv. Op. 40 , Nev. , (NO. 56253 )
","Aug. 09, 2012"
"Supreme Court of Nevada. December 20, 2002 118 Nev. 859 59 P.3d 477
Extracted from page: 3
","City of Las Vegas v. Eighth Judicial Dist. Court ex rel. County of Clark, No. 38582, 118 Nev. 859, 59 P.3d 477, 2002 WL 31856717 (Nev. Dec. 20, 2002)
","Dec. 20, 2002",Nevada,Abrogated by," 1.  State v. Castaneda  
245 P.3d 550 , 126 Nev. 478 , 71 A.L.R.6th 739 , Nev. , (NO. 52911 )
","Nov. 24, 2010"
"Supreme Court of Nevada. March 13, 2002 118 Nev. 156 42 P.3d 249
Extracted from page: 6
","Floyd v. State, No. 36752, 118 Nev. 156, 42 P.3d 249, 2002 WL 390035 (Nev. Mar. 13, 2002)
","Mar. 13, 2002",Nevada,Abrogated by," 1.  Grey v. State  
178 P.3d 154 , 124 Nev. 110 , Nev. , (NO. 46146 )
","Mar. 13, 2008"
"Supreme Court of Nevada. December 18, 2002 118 Nev. 787 59 P.3d 450
Extracted from page: 6
","Johnson v. State, No. 36991, 118 Nev. 787, 59 P.3d 450, 2002 WL 31845124 (Nev. Dec. 18, 2002)
","Dec. 18, 2002",Nevada,Overruled by," 1.  Nunnery v. State  
263 P.3d 235 , 127 Nev. 749 , 127 Nev. Adv. Op. 69 , Nev. , (NO. 51870 )
","Oct. 27, 2011"
"Supreme Court of Nevada. April 11, 2002 118 Nev. 262 44 P.3d 506
Extracted from page: 7
","Vaile v. Eighth Judicial Dist. Court ex rel. County of Clark, No. 36969, 118 Nev. 262, 44 P.3d 506, 2002 WL 538025 (Nev. Apr. 11, 2002)
","Apr. 11, 2002",Nevada,Abrogated by," 1.  Senjab v. Alhulaibi 
497 P.3d 618 , 137 Nev. 632 , 137 Nev. Adv. Op. 64 , Nev. , (NO. 81515 )
","Oct. 21, 2021"
"Supreme Court of Nevada. March 12, 1976 92 Nev. 146 546 P.2d 1294
Extracted from page: 12
","Melvin v. Sheriff, Clark County, No. 8668, 92 Nev. 146, 546 P.2d 1294 (Nev. Mar. 12, 1976)
","Mar. 12, 1976",Nevada,Overruled by," 1.  Hubbard v. State 
920 P.2d 991 , 112 Nev. 946 , Nev. , (NO. 24549 )
","July 22, 1996"
"Supreme Court of Nevada. December 22, 1969 85 Nev. 703 462 P.2d 753
Extracted from page: 13
","Dixon v. Warden, Nev. State Prison, No. 5872, 85 Nev. 703, 462 P.2d 753 (Nev. Dec. 22, 1969)
","Dec. 22, 1969",Nevada,Overruled by," 1.  Birges v. State 
820 P.2d 764 , 107 Nev. 809 , Nev. , (NO. 22173 )
","Nov. 05, 1991"
"Supreme Court of Nevada. February 18, 1969 85 Nev. 95 450 P.2d 793
Extracted from page: 14
","Sanchez v. State, No. 5577, 85 Nev. 95, 450 P.2d 793 (Nev. Feb. 18, 1969)
","Feb. 18, 1969",Nevada,Overruled by," 1.  Ramos v. State 
944 P.2d 856 , 113 Nev. 1081 , Nev. , (NO. 30305 , 30554 , 30573 )
","Aug. 28, 1997"
"Supreme Court of Nevada. October 22, 1969 85 Nev. 571 460 P.2d 110
Extracted from page: 14
","Peavey v. Peavey, No. 5811, 85 Nev. 571, 460 P.2d 110 (Nev. Oct. 22, 1969)
","Oct. 22, 1969",Nevada,Overruled by," 1.  Arnold v. Arnold 
604 P.2d 109 , 95 Nev. 951 , Nev. , (NO. 11928 )
","Dec. 20, 1979"
"Supreme Court of Nevada. May 02, 1969 85 Nev. 289 454 P.2d 21
Extracted from page: 16
","Colle v. State, No. 5700, 85 Nev. 289, 454 P.2d 21 (Nev. May 02, 1969)
","May 02, 1969",Nevada,Overruled by," 1.  Rosas v. State  
147 P.3d 1101 , 122 Nev. 1258 , Nev. , (NO. 43691 )
","Dec. 21, 2006"
"Supreme Court of Nevada. October 22, 1996 112 Nev. 1245 924 P.2d 1345
Extracted from page: 20
","Hansen v. Universal Health Services of Nevada, Inc., No. 25848, 112 Nev. 1245, 924 P.2d 1345, 1996 WL 608877 (Nev. Oct. 22, 1996)
","Oct. 22, 1996",Nevada,Overruled by," 1.  Huckabay Props. v. NC Auto Parts  
322 P.3d 429 , 130 Nev. 196 , 130 Nev. Adv. Op. 23 , Nev. , (NO. 61024 , 61791 )
","Mar. 27, 2014"
"Supreme Court of Nevada. December 30, 1996 112 Nev. 1533 930 P.2d 100
Extracted from page: 21
","Pangallo v. State, No. 27292, 112 Nev. 1533, 930 P.2d 100, 1996 WL 741415 (Nev. Dec. 30, 1996)
","Dec. 30, 1996",Nevada,Overruled by," 1.  Griffin v. State  
137 P.3d 1165 , 122 Nev. 737 , Nev. , (NO. 46501 )
","July 13, 2006"
"Supreme Court of Nevada. December 30, 1996 112 Nev. 1533 930 P.2d 100
Extracted from page: 21
","Pangallo v. State, No. 27292, 112 Nev. 1533, 930 P.2d 100, 1996 WL 741415 (Nev. Dec. 30, 1996)
","Dec. 30, 1996",Nevada,Abrogated by," 2.  Hart v. State
1 P.3d 969 , 116 Nev. 558 , Nev. , (NO. 29857 )
","June 14, 2000"
"Supreme Court of Nevada. July 22, 1996 112 Nev. 938 920 P.2d 993
Extracted from page: 22
","Geiger v. State, No. 24163, 112 Nev. 938, 920 P.2d 993, 1996 WL 410916 (Nev. July 22, 1996)
","July 22, 1996",Nevada,Overruled by," 1.  Barber v. State 
363 P.3d 459 , 131 Nev. 1065 , 131 Nev. Adv. Op. 103 , Nev. , (NO. 62649 )
","Dec. 31, 2015"
"Supreme Court of Nevada. May 30, 1996 112 Nev. 710 918 P.2d 325
Extracted from page: 22
","Matter of Parental Rights of Weinper, No. 27047, 112 Nev. 710, 918 P.2d 325, 1996 WL 288416 (Nev. May 30, 1996)
","May 30, 1996",Nevada,Overruled by," 1.  In re Termination of Parental Rights as to N.J. 
8 P.3d 126 , 116 Nev. 790 , Nev. , (NO. 32436 )
","Aug. 24, 2000"
"Supreme Court of Nevada. April 30, 1996 112 Nev. 391 916 P.2d 146
Extracted from page: 23
","Wright v. State, No. 25632, 112 Nev. 391, 916 P.2d 146, 1996 WL 219110 (Nev. Apr. 30, 1996)
","Apr. 30, 1996",Nevada,Overruled by," 1.  Levingston v. Washoe County, By and Through Sheriff of Washoe County 
956 P.2d 84 , 114 Nev. 306 , Nev. , (NO. 26265 )
","Apr. 02, 1998"
"Supreme Court of Nevada. October 22, 1996 112 Nev. 1161 925 P.2d 496
Extracted from page: 25
","Coblentz v. Hotel Employees & Restaurant Employees Union Welfare Fund, No. 26018, 112 Nev. 1161, 925 P.2d 496, 1996 WL 608609 (Nev. Oct. 22, 1996)
","Oct. 22, 1996",Nevada,Overruled by," 1.  News+Media Capital Group LLC v. Las Vegas Sun, Inc.  
495 P.3d 108 , 137 Nev. 447 , 137 Nev. Adv. Op. 45 , Nev. , (NO. 80511 )
","Sep. 16, 2021"
"Supreme Court of Nevada. August 16, 1996 112 Nev. 1038 921 P.2d 933
Extracted from page: 26
","Motenko v. MGM Dist., Inc., No. 25323, 112 Nev. 1038, 921 P.2d 933, 1996 WL 467175 (Nev. Aug. 16, 1996)
","Aug. 16, 1996",Nevada,Overruled by," 1.  General Motors Corp. v. Eighth Judicial Dist. Court of State of Nev. ex rel. County of Clark  
134 P.3d 111 , 122 Nev. 466 , Nev. , (NO. 44506 )
","May 11, 2006"
"Supreme Court of Nevada. July 22, 1996 112 Nev. 908 921 P.2d 886
Extracted from page: 27
","Witter v. State, No. 27539, 112 Nev. 908, 921 P.2d 886, 1996 WL 410919 (Nev. July 22, 1996)
","July 22, 1996",Nevada,Abrogated by," 1.  Nunnery v. State  
263 P.3d 235 , 127 Nev. 749 , 127 Nev. Adv. Op. 69 , Nev. , (NO. 51870 )
","Oct. 27, 2011"
"Supreme Court of Nevada. July 22, 1996 112 Nev. 879 921 P.2d 901
Extracted from page: 27
","Doyle v. State, No. 27146, 112 Nev. 879, 921 P.2d 901, 1996 WL 410920 (Nev. July 22, 1996)
","July 22, 1996",Nevada,Overruled by," 1.  Kaczmarek v. State  
91 P.3d 16 , 120 Nev. 314 , Nev. , (NO. 41556 )
","June 07, 2004"
"Supreme Court of Nevada. November 07, 1996 112 Nev. 1269 927 P.2d 14
Extracted from page: 27
","Smith v. State, No. 26260, 112 Nev. 1269, 927 P.2d 14, 1996 WL 648324 (Nev. Nov. 07, 1996)
","Nov. 07, 1996",Nevada,Abrogated by," 1.  City of Las Vegas v. Eighth Judicial Dist. Court ex rel. County of Clark 
59 P.3d 477 , 118 Nev. 859 , Nev. , (NO. 38582 )
","Dec. 20, 2002"
"Supreme Court of Nevada. December 29, 1982 98 Nev. 593 655 P.2d 526
Extracted from page: 28
","Kiper v. State, No. 13326, 98 Nev. 593, 655 P.2d 526 (Nev. Dec. 29, 1982)
","Dec. 29, 1982",Nevada,Overruled by," 1.  Smith v. State 
102 P.3d 569 , 120 Nev. 944 , Nev. , (NO. 42765 )
","Dec. 23, 2004"
"Supreme Court of Nevada. October 29, 1982 98 Nev. 458 652 P.2d 1174
Extracted from page: 31
","Lane v. State, No. 14186, 98 Nev. 458, 652 P.2d 1174 (Nev. Oct. 29, 1982)
","Oct. 29, 1982",Nevada,Overruled by," 1.  Bergna v. State  
102 P.3d 549 , 120 Nev. 869 , Nev. , (NO. 40434 )
","Dec. 20, 2004"
"Supreme Court of Nevada. August 27, 1982 98 Nev. 381 649 P.2d 1369
Extracted from page: 31
","Bader Enterprises, Inc. v. Olsen, No. 13167, 98 Nev. 381, 649 P.2d 1369 (Nev. Aug. 27, 1982)
","Aug. 27, 1982",Nevada,Abrogated by," 1.  Executive Management, Ltd. v. Ticor Title Ins. Co.  
38 P.3d 872 , 118 Nev. 46 , Nev. , (NO. 35122 )
","Jan. 24, 2002"
"Supreme Court of Nevada. January 28, 1982 98 Nev. 57 639 P.2d 538
Extracted from page: 32
","Board of County Com'rs of Lander County v. Cirac, No. 12248, 98 Nev. 57, 639 P.2d 538 (Nev. Jan. 28, 1982)
","Jan. 28, 1982",Nevada,Abrogated by," 1.  Martinez v. Maruszczak 
168 P.3d 720 , 123 Nev. 433 , Nev. , (NO. 44347 )
","Oct. 11, 2007"
"Supreme Court of Nevada. June 25, 1982 98 Nev. 307 646 P.2d 1219
Extracted from page: 33
","Collier v. Legakes, No. 13900, 98 Nev. 307, 646 P.2d 1219 (Nev. June 25, 1982)
","June 25, 1982",Nevada,Overruled by," 1.  State v. Eighth Jud. Dist. Ct. (Zogheib)  
321 P.3d 882 , 130 Nev. 158 , 130 Nev. Adv. Op. 18 , Nev. , (NO. 62615 )
","Mar. 27, 2014"
"Supreme Court of Nevada. May 28, 1993 109 Nev. 537 853 P.2d 121
Extracted from page: 34
","Bauwens v. Evans, No. 23484, 109 Nev. 537, 853 P.2d 121, 1993 WL 184405 (Nev. May 28, 1993)
","May 28, 1993",Nevada,Overruled by," 1.  Epstein v. Epstein 
950 P.2d 771 , 113 Nev. 1401 , Nev. , (NO. 28590 )
","Dec. 30, 1997"
"Supreme Court of Nevada. July 29, 1993 109 Nev. 747 857 P.2d 18
Extracted from page: 36
","Levinson v. Eighth Judicial Dist. Court of State In and For County of Clark, No. 23996, 109 Nev. 747, 857 P.2d 18, 1993 WL 290321 (Nev. July 29, 1993)
","July 29, 1993",Nevada,Abrogated by," 1.  Tahican, LLC v. Eighth Judicial District Court in and for County of Clark  
523 P.3d 550 , 139 Nev. Adv. Op. 2 , Nev. , (NO. 84352 )
","Feb. 02, 2023"
"Supreme Court of Nevada. November 29, 1993 109 Nev. 1086 863 P.2d 1040
Extracted from page: 36
","Robertson v. State, No. 23083, 109 Nev. 1086, 863 P.2d 1040, 1993 WL 494394 (Nev. Nov. 29, 1993)
","Nov. 29, 1993",Nevada,Overruled by," 1.  Krauss v. State  
998 P.2d 163 , 116 Nev. 307 , Nev. , (NO. 30264 )
","Mar. 10, 2000"
"Supreme Court of Nevada. November 03, 1993 109 Nev. 1005 862 P.2d 1189
Extracted from page: 37
","Hazelwood v. Harrah's, No. 23582, 109 Nev. 1005, 862 P.2d 1189, 1993 WL 454634 (Nev. Nov. 03, 1993)
","Nov. 03, 1993",Nevada,Overruled by," 1.  Vinci v. Las Vegas Sands, Inc. 
984 P.2d 750 , 115 Nev. 243 , Nev. , (NO. 30412 )
","Aug. 27, 1999"
"Supreme Court of Nevada. March 24, 1993 109 Nev. 341 849 P.2d 260
Extracted from page: 40
","Lacey v. Wen-Neva, Inc., No. 22660, 109 Nev. 341, 849 P.2d 260, 1993 WL 89676 (Nev. Mar. 24, 1993)
","Mar. 24, 1993",Nevada,Overruled by," 1.  Scrimer v. Eighth Judicial Dist. Court ex rel. County of Clark  
998 P.2d 1190 , 116 Nev. 507 , Nev. , (NO. 33367 )
","May 08, 2000"
"Supreme Court of Nevada. March 24, 1993 109 Nev. 341 849 P.2d 260
Extracted from page: 40
","Lacey v. Wen-Neva, Inc., No. 22660, 109 Nev. 341, 849 P.2d 260, 1993 WL 89676 (Nev. Mar. 24, 1993)
","Mar. 24, 1993",Nevada,Abrogated by," 2.  Indiana Ins. Co. v. Eighth Judicial Dist. Court In and For County of Clark
920 P.2d 514 , 112 Nev. 949 , Nev. , (NO. 24742 )
","July 23, 1996"
"Supreme Court of Nevada. May 25, 1995 111 Nev. 770 895 P.2d 1296
Extracted from page: 41
","State ex rel. Dept. of Prisons v. Jackson, No. 25529, 111 Nev. 770, 895 P.2d 1296, 1995 WL 323085 (Nev. May 25, 1995)
","May 25, 1995",Nevada,Overruled by," 1.  O’Keefe v. Department of Motor Vehicles  
431 P.3d 350 , 134 Nev. 752 , 2018 IER Cases 452,013 , 134 Nev. Adv. Op. 92 , Nev. , (NO. 68460 )
","Dec. 06, 2018"
"Supreme Court of Nevada. November 01, 1995 111 Nev. 1329 905 P.2d 163
Extracted from page: 43
","Campbell v. Lake Terrace, Inc., No. 25406, 111 Nev. 1329, 905 P.2d 163, 1995 WL 643008 (Nev. Nov. 01, 1995)
","Nov. 01, 1995",Nevada,Overruled by," 1.  Aviation Ventures, Inc. v. Joan Morris, Inc. 
110 P.3d 59 , 121 Nev. 113 , Nev. , (NO. 39253 )
","Apr. 28, 2005"
"Supreme Court of Nevada. March 30, 1995 111 Nev. 420 892 P.2d 575
Extracted from page: 43
","Knapp v. State ex rel. Dept. of Prisons, No. 25262, 111 Nev. 420, 892 P.2d 575, 1995 WL 139950 (Nev. Mar. 30, 1995)
","Mar. 30, 1995",Nevada,Overruled by," 1.  O’Keefe v. Department of Motor Vehicles  
431 P.3d 350 , 134 Nev. 752 , 2018 IER Cases 452,013 , 134 Nev. Adv. Op. 92 , Nev. , (NO. 68460 )
","Dec. 06, 2018"
"Supreme Court of Nevada. March 30, 1995 111 Nev. 384 892 P.2d 942
Extracted from page: 43
","Koerschner v. State, No. 25389, 111 Nev. 384, 892 P.2d 942, 1995 WL 139983 (Nev. Mar. 30, 1995)
","Mar. 30, 1995",Nevada,Overruled by," 1.  State v. Freese 
997 P.2d 122 , 116 Nev. 337 , Nev. , (NO. 33274 )
","Mar. 13, 2000"
"Supreme Court of Nevada. March 30, 1995 111 Nev. 384 892 P.2d 942
Extracted from page: 43
","Koerschner v. State, No. 25389, 111 Nev. 384, 892 P.2d 942, 1995 WL 139983 (Nev. Mar. 30, 1995)
","Mar. 30, 1995",Nevada,Overruled by," 2.  State v. Freese  
13 P.3d 442 , 116 Nev. 1097 , Nev. , (NO. 33274 )
","Dec. 04, 2000"
"Supreme Court of Nevada. April 27, 1995 111 Nev. 444 893 P.2d 995
Extracted from page: 43
","Griego v. State, No. 21815, 111 Nev. 444, 893 P.2d 995, 1995 WL 248505 (Nev. Apr. 27, 1995)
","Apr. 27, 1995",Nevada,Abrogated by," 1.  Koerschner v. State  
13 P.3d 451 , 116 Nev. 1111 , Nev. , (NO. 30881 , 30976 )
","Dec. 04, 2000"
"Supreme Court of Nevada. January 24, 1995 111 Nev. 28 888 P.2d 911
Extracted from page: 44
","State Indus. Ins. System v. Eighth Judicial Dist. Court In and For County of Clark, No. 24300, 111 Nev. 28, 888 P.2d 911, 1995 WL 27673 (Nev. Jan. 24, 1995)
","Jan. 24, 1995",Nevada,Overruled by," 1.  American Home Assur. Co. v. Eighth Judicial Dist. Court ex rel. County of Clark  
147 P.3d 1120 , 122 Nev. 1229 , Nev. , (NO. 47381 )
","Dec. 21, 2006"
"Supreme Court of Nevada. October 04, 1995 111 Nev. 1235 903 P.2d 794
Extracted from page: 44
","Alejandre v. State, No. 25340, 111 Nev. 1235, 903 P.2d 794, 64 USLW 2271, 1995 WL 584336 (Nev. Oct. 04, 1995)
","Oct. 04, 1995",Nevada,Overruled by," 1.  Gama v. State 
920 P.2d 1010 , 112 Nev. 833 , Nev. , (NO. 26804 )
","July 22, 1996"
"Supreme Court of Nevada. April 27, 1995 111 Nev. 545 893 P.2d 376
Extracted from page: 45
","Love v. State, No. 24727, 111 Nev. 545, 893 P.2d 376, 1995 WL 248537 (Nev. Apr. 27, 1995)
","Apr. 27, 1995",Nevada,Overruled by," 1.  Adam v. State  
261 P.3d 1063 , 127 Nev. 601 , 127 Nev. Adv. Op. 54 , Nev. , (NO. 54121 )
","Sep. 22, 2011"
"Supreme Court of Nevada. April 27, 1995 111 Nev. 534 894 P.2d 347
Extracted from page: 46
","Cipriano v. State, No. 24027, 111 Nev. 534, 894 P.2d 347, 1995 WL 248536 (Nev. Apr. 27, 1995)
","Apr. 27, 1995",Nevada,Overruled by," 1.  State v. Sixth Judicial Dist. Court In and For County of Humboldt  
964 P.2d 48 , 114 Nev. 739 , Nev. , (NO. 31561 )
","July 16, 1998"
"Supreme Court of Nevada. September 30, 1976 92 Nev. 546 554 P.2d 1126
Extracted from page: 47
","St. Pierre v. State, No. 8365, 92 Nev. 546, 554 P.2d 1126 (Nev. Sep. 30, 1976)
","Sep. 30, 1976",Nevada,Overruled by," 1.  Kelso v. State 
588 P.2d 1035 , 95 Nev. 37 , Nev. , (NO. 10135 )
","Jan. 15, 1979"
"Supreme Court of Nevada. April 29, 1976 92 Nev. 256 548 P.2d 1367
Extracted from page: 48
","Hass v. State, No. 8351, 92 Nev. 256, 548 P.2d 1367 (Nev. Apr. 29, 1976)
","Apr. 29, 1976",Nevada,Overruled by," 1.  State v. Wright 
558 P.2d 1139 , 92 Nev. 734 , Nev. , (NO. 8928 )
","Dec. 30, 1976"
"Supreme Court of Nevada. June 30, 1976 92 Nev. 417 551 P.2d 1104
Extracted from page: 49
","McIntosh v. Burroughs, No. 7622, 92 Nev. 417, 551 P.2d 1104 (Nev. June 30, 1976)
","June 30, 1976",Nevada,Overruled by," 1.  Casazza v. A-Allstate Abstract Co. 
721 P.2d 386 , 102 Nev. 340 , Nev. , (NO. 15514 )
","June 27, 1986"
"Supreme Court of Nevada. March 26, 1976 92 Nev. 185 547 P.2d 668
Extracted from page: 49
","Theriault v. State, No. 8147, 92 Nev. 185, 547 P.2d 668 (Nev. Mar. 26, 1976)
","Mar. 26, 1976",Nevada,Overruled by," 1.  Alford v. State
906 P.2d 714 , 111 Nev. 1409 , Nev. , (NO. 24865 )
","Nov. 30, 1995"
"Supreme Court of Nevada. March 26, 1976 92 Nev. 185 547 P.2d 668
Extracted from page: 49
","Theriault v. State, No. 8147, 92 Nev. 185, 547 P.2d 668 (Nev. Mar. 26, 1976)
","Mar. 26, 1976",Nevada,Overruled by," 2.  Bigpond v. State 
270 P.3d 1244 , 128 Nev. 108 , 128 Nev. Adv. Op. 10 , Nev. , (NO. 57558 )
","Mar. 01, 2012"
"Supreme Court of Nevada. July 29, 1980 96 Nev. 633 614 P.2d 540
Extracted from page: 50
","Anderson v. State, No. 11025, 96 Nev. 633, 614 P.2d 540 (Nev. July 29, 1980)
","July 29, 1980",Nevada,Overruled by," 1.  Berry v. State  
212 P.3d 1085 , 125 Nev. 265 , Nev. , (NO. 49709 )
","July 30, 2009"
"Supreme Court of Nevada. December 07, 1960 76 Nev. 442 357 P.2d 120
Extracted from page: 53
","In re Parsons, No. 4374, 76 Nev. 442, 357 P.2d 120 (Nev. Dec. 07, 1960)
","Dec. 07, 1960",Nevada,Overruled by," 1.  Rogers v. State 
455 P.2d 172 , 85 Nev. 361 , Nev. , (NO. 5722 )
","June 06, 1969"
"Supreme Court of Nevada. June 10, 1960 76 Nev. 302 352 P.2d 833
Extracted from page: 53
","Kennedy v. Kennedy, No. 4267, 76 Nev. 302, 352 P.2d 833 (Nev. June 10, 1960)
","June 10, 1960",Nevada,Overruled by," 1.  Rupert v. Stienne 
528 P.2d 1013 , 90 Nev. 397 , Nev. , (NO. 7601 )
","Dec. 02, 1974"
"Supreme Court of Nevada. July 07, 1960 76 Nev. 335 353 P.2d 1103
Extracted from page: 54
","Barnato v. Second Judicial Dist. Court In and For Washoe County, No. 4313, 76 Nev. 335, 353 P.2d 1103 (Nev. July 07, 1960)
","July 07, 1960",Nevada,Abrogated by," 1.  Indiana Ins. Co. v. Eighth Judicial Dist. Court In and For County of Clark 
920 P.2d 514 , 112 Nev. 949 , Nev. , (NO. 24742 )
","July 23, 1996"
"Supreme Court of Nevada. September 29, 1960 76 Nev. 386 355 P.2d 854
Extracted from page: 54
","Selznick v. Eighth Judicial Dist. Court In and For Clark County, No. 4333, 76 Nev. 386, 355 P.2d 854 (Nev. Sep. 29, 1960)
","Sep. 29, 1960",Nevada,Abrogated by," 1.  Indiana Ins. Co. v. Eighth Judicial Dist. Court In and For County of Clark 
920 P.2d 514 , 112 Nev. 949 , Nev. , (NO. 24742 )
","July 23, 1996"
"Supreme Court of Nevada. March 10, 1960 76 Nev. 107 349 P.2d 1058
Extracted from page: 55
","Nevada Indus. Commission v. O'Hare, No. 4239, 76 Nev. 107, 349 P.2d 1058 (Nev. Mar. 10, 1960)
","Mar. 10, 1960",Nevada,Overruled by," 1.  Nevada Indus. Commission v. Strange 
437 P.2d 873 , 84 Nev. 153 , Nev. , (NO. 5354 )
","Feb. 28, 1968"
"Supreme Court of Nevada. January 13, 2022 138 Nev. 1 501 P.3d 980
Extracted from page: 57
","Romano v. Romano, No. 81259, 138 Nev. 1, 501 P.3d 980, 138 Nev. Adv. Op. 1, 2022 WL 128040 (Nev. Jan. 13, 2022)
","Jan. 13, 2022",Nevada,Abrogated by," 1.  Killebrew, Trustee of Killebrew Revocable Trust, 5TH ADM 1978 v. State ex rel. Donohue 
535 P.3d 1167 , 139 Nev. Adv. Op. 43 , Nev. , (NO. 83830 )
","Sep. 28, 2023"
"Supreme Court of Nevada. November 21, 2001 117 Nev. 913 34 P.3d 578
Extracted from page: 59
","Nylund v. Carson City, No. 35551, 117 Nev. 913, 34 P.3d 578, 2001 WL 1485870 (Nev. Nov. 21, 2001)
","Nov. 21, 2001",Nevada,Overruled by," 1.  ASAP Storage, Inc. v. City of Sparks  
173 P.3d 734 , 123 Nev. 639 , Nev. , (NO. 45756 )
","Dec. 27, 2007"
"Supreme Court of Nevada. September 12, 2001 117 Nev. 686 30 P.3d 1103
Extracted from page: 59
","Barton v. State, No. 33143, 117 Nev. 686, 30 P.3d 1103, 2001 WL 1078834 (Nev. Sep. 12, 2001)
","Sep. 12, 2001",Nevada,Overruled by," 1.  Rosas v. State 
147 P.3d 1101 , 122 Nev. 1258 , Nev. , (NO. 43691 )
","Dec. 21, 2006"
