DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of New Hampshire. October 01, 1912 76 N.H. 491 84 A. 974
Extracted from page: 1
","Imbriani v. Anderson, 76 N.H. 491, 84 A. 974 (N.H. Oct. 01, 1912)
","Oct. 01, 1912",NewHampshire,Overruled by," 1.  Morrell v. Gobeil  
147 A. 413 , 84 N.H. 150 , N.H.
","Oct. 01, 1929"
"Supreme Court of New Hampshire. October 01, 1918 79 N.H. 70 104 A. 786
Extracted from page: 2
","Page v. Brooks, 79 N.H. 70, 104 A. 786 (N.H. Oct. 01, 1918)
","Oct. 01, 1918",NewHampshire,Overruled by," 1.  Johnson v. Boston & M.R.R. 
143 A. 516 , 83 N.H. 350 , 61 A.L.R. 1178 , N.H.
","June 28, 1928"
"Supreme Court of New Hampshire. February 05, 1918 78 N.H. 544 103 A. 308
Extracted from page: 2
","Fuller v. Gale, No. 1478, 78 N.H. 544, 103 A. 308 (N.H. Feb. 05, 1918)
","Feb. 05, 1918",NewHampshire,Overruled by," 1.  Amoskeag Trust Co. v. Trustees of Dartmouth College  
200 A. 786 , 89 N.H. 471 , 117 A.L.R. 1186 , 33 A.F.T.R. 265 , N.H.
","June 21, 1938"
"Superior Court of Judicature of New Hampshire. January 01, 1835 8 N.H. 163 1835 WL 1075
Extracted from page: 4
","State v. Nelson, 8 N.H. 163, 1835 WL 1075 (N.H. 1835)
","June 15, 1835",NewHampshire,Overruled by," 1.  State v. Snyder 
50 N.H. 150 , 1870 WL 3102 , N.H.
","June 15, 1870"
"Superior Court of Judicature of New Hampshire. January 01, 1842 13 N.H. 191 1842 WL 2116
Extracted from page: 4
","Walker v. Sawyer, 13 N.H. 191, 1842 WL 2116 (N.H. 1842)
","June 15, 1842",NewHampshire,Overruled by," 1.  Wilson v. Wentworth 
5 Fost. 245 , 25 N.H. 245 , 1852 WL 2135 , N.H.
","June 15, 1852"
"Supreme Court of New Hampshire. June 26, 1924 81 N.H. 341 125 A. 661
Extracted from page: 6
","Williams v. State, No. 1937, 81 N.H. 341, 125 A. 661, 39 A.L.R. 490, 4 A.F.T.R. 4772 (N.H. June 26, 1924)
","June 26, 1924",NewHampshire,Overruled by," 1.  Amoskeag Trust Co. v. Trustees of Dartmouth College 
200 A. 786 , 89 N.H. 471 , 117 A.L.R. 1186 , 33 A.F.T.R. 265 , N.H.
","June 21, 1938"
"Superior Court of Judicature of New Hampshire. January 01, 1856 33 N.H. 482 1856 WL 2739
Extracted from page: 6
","Kendrick v. Kimball, 33 N.H. 482, 1856 WL 2739 (N.H. 1856)
","June 15, 1856",NewHampshire,Overruled by," 1.  Eastman v. Dearborn 
63 N.H. 364 , 1885 WL 3200 , N.H.
","June 15, 1885"
"Supreme Court of New Hampshire. March 16, 1888 64 N.H. 440 13 A. 785
Extracted from page: 7
","State v. Adams, 64 N.H. 440, 13 A. 785 (N.H. Mar. 16, 1888)
","Mar. 16, 1888",NewHampshire,Overruled by,"    1.  State v. LeBaron 
808 A.2d 541 , 148 N.H. 226 , N.H. , (NO. 2000-634 )
","Aug. 19, 2002"
"Supreme Court of New Hampshire. March 01, 1985 126 N.H. 184 489 A.2d 644
Extracted from page: 6
","State v. McKenney, No. 84-086, 126 N.H. 184, 489 A.2d 644 (N.H. Mar. 01, 1985)
","Mar. 01, 1985",NewHampshire,Overruled by," 1.  State v. Matthews  
951 A.2d 155 , 157 N.H. 415 , N.H. , (NO. 2007-244 )
","June 27, 2008"
"Supreme Court of New Hampshire. August 15, 1985 127 N.H. 162 498 A.2d 741
Extracted from page: 13
","Estabrook v. American Hoist & Derrick, Inc., No. 84-202, 127 N.H. 162, 498 A.2d 741 (N.H. Aug. 15, 1985)
","Aug. 15, 1985",NewHampshire,Overruled by," 1.  Young v. Prevue Products, Inc. 
534 A.2d 714 , 130 N.H. 84 , N.H. , (NO. 86-265 )
","Nov. 09, 1987"
"Supreme Court of New Hampshire. August 15, 1985 127 N.H. 162 498 A.2d 741
Extracted from page: 13
","Estabrook v. American Hoist & Derrick, Inc., No. 84-202, 127 N.H. 162, 498 A.2d 741 (N.H. Aug. 15, 1985)
","Aug. 15, 1985",NewHampshire,Overruled by," 2.  Thompson v. Forest  
614 A.2d 1064 , 136 N.H. 215 , N.H. , (NO. 90-320 )
","Oct. 14, 1992"
"Supreme Court of New Hampshire. May 24, 1985 126 N.H. 514 493 A.2d 1170
Extracted from page: 13
","State v. Cote, No. 83-334, 126 N.H. 514, 493 A.2d 1170 (N.H. May 24, 1985)
","May 24, 1985",NewHampshire,Abrogated by," 1.  Horton v. California 
110 S.Ct. 2301 , 496 U.S. 128 , 110 L.Ed.2d 112 , 58 USLW 4694 , U.S.Cal. , (NO. 88-7164 )
","June 04, 1990"
"Supreme Court of New Hampshire. July 30, 1976 116 N.H. 475 362 A.2d 186
Extracted from page: 14
","Phipps v. McCabe, No. 7439, 116 N.H. 475, 362 A.2d 186 (N.H. July 30, 1976)
","July 30, 1976",NewHampshire,Overruled by," 1.  Corso v. Merrill 
406 A.2d 300 , 119 N.H. 647 , N.H. , (NO. 78-271 )
","Aug. 20, 1979"
"Supreme Court of New Hampshire. May 23, 1967 108 N.H. 158 229 A.2d 842
Extracted from page: 16
","State v. Davis, 108 N.H. 158, 229 A.2d 842 (N.H. May 23, 1967)
","May 23, 1967",NewHampshire,Overruled by," 1.  State v. Ayer  
612 A.2d 923 , 136 N.H. 191 , N.H. , (NO. 91-272 )
","Sep. 01, 1992"
"Supreme Court of New Hampshire. October 30, 1970 110 N.H. 434 270 A.2d 611
Extracted from page: 17
","State v. Manoly, No. 6035, 110 N.H. 434, 270 A.2d 611 (N.H. Oct. 30, 1970)
","Oct. 30, 1970",NewHampshire,Overruled by," 1.  State v. Goodrich 
363 A.2d 425 , 116 N.H. 477 , N.H. , (NO. 6728 , 6729 , 6730 , 6731 )
","Aug. 31, 1976"
"Supreme Court of New Hampshire. December 07, 1971 111 N.H. 353 284 A.2d 910
Extracted from page: 21
","Loney v. Parsons, No. 6122, 111 N.H. 353, 284 A.2d 910 (N.H. Dec. 07, 1971)
","Dec. 07, 1971",NewHampshire,Abrogated by," 1.  Daigle v. City of Portsmouth 
534 A.2d 689 , 129 N.H. 561 , N.H. , (NO. 85-029 , 86-129 )
","Aug. 06, 1987"
