DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of New Jersey. March 08, 2006 186 N.J. 127 892 A.2d 663
Extracted from page: 21
","Pasqua v. Council, No. A-131 SEPT.TERM 2004, 186 N.J. 127, 892 A.2d 663, 2006 WL 551876 (N.J. Mar. 08, 2006)
","Mar. 08, 2006",NewJersey,Abrogated by," 1.  Turner v. Rogers 
131 S.Ct. 2507 , 564 U.S. 431 , 180 L.Ed.2d 452 , 79 USLW 4553 , 11 Cal. Daily Op. Serv. 7471 , 2011 Daily Journal D.A.R. 8957 , 22 Fla. L. Weekly Fed. S 1188 , U.S.S.C. , (NO. 10-10 )
","June 20, 2011"
"Supreme Court of New Jersey. April 04, 1966 46 N.J. 582 218 A.2d 630
Extracted from page: 26
","Soronen v. Olde Milford Inn, Inc., No. A-89, 46 N.J. 582, 218 A.2d 630 (N.J. Apr. 04, 1966)
","Apr. 04, 1966",NewJersey,Abrogated by," 1.  Lee v. Kiku Restaurant  
603 A.2d 503 , 127 N.J. 170 , N.J. , (NO. A-25 )
","Mar. 17, 1992"
"Supreme Court of New Jersey. April 01, 1968 51 N.J. 404 241 A.2d 235
Extracted from page: 27
","Kaplan v. Haines, No. A-62, 51 N.J. 404, 241 A.2d 235 (N.J. Apr. 01, 1968)
","Apr. 01, 1968",NewJersey,Overruled by," 1.  Largey v. Rothman 
540 A.2d 504 , 110 N.J. 204 , 56 USLW 2653 , N.J. , (NO. A-52 )
","May 05, 1988"
"Court of Errors and Appeals of New Jersey. November 18, 1898 57 N.J. Eq. 325 12 Dickinson 325
Extracted from page: 30
","Lang v. Lang's Ex'r, 57 N.J. Eq. 325, 41 A. 705, 12 Dickinson 325 (N.J.Err. & App. Nov. 18, 1898)
","& App. Nov. 18, 1898",NewJersey,Overruled by," 1.  In re Arens’ Trust 
197 A.2d 1 , 41 N.J. 364 , N.J. , (NO. A-2 )
","Jan. 20, 1964"
"30, 1903 69 N.J.L. 675 40 Vroom 675
Extracted from page: 35
","Bennett v. City of Orange, 69 N.J.L. 675, 56 A. 1131, 40 Vroom 675 (N.J.Err. & App. Nov. 30, 1903)
","& App. Nov. 30, 1903",NewJersey,Abrogated by," 1.  State v. International Federation of Professional and Technical Engineers, Local 195 
780 A.2d 525 , 169 N.J. 505 , 167 L.R.R.M. (BNA) 2717 , 144 Lab.Cas. P 59,398 , N.J. , (NO. A-20 SEPT.TERM 2000 )
","July 12, 2001"
"Supreme Court of New Jersey. June 18, 1975 67 N.J. 466 341 A.2d 613
Extracted from page: 40
","Tenore v. Nu Car Carriers, Inc., 67 N.J. 466, 341 A.2d 613 (N.J. June 18, 1975)
","June 18, 1975",NewJersey,Abrogated by," 1.  DeHanes v. Rothman  
727 A.2d 8 , 158 N.J. 90 , N.J. , (NO. A-167 SEPT. 1997 )
","Apr. 19, 1999"
"Supreme Court of New Jersey. April 26, 1978 76 N.J. 152 386 A.2d 816
Extracted from page: 47
","Cepeda v. Cumberland Engineering Co., Inc., 76 N.J. 152, 386 A.2d 816 (N.J. Apr. 26, 1978)
","Apr. 26, 1978",NewJersey,Overruled by," 1.  Suter v. San Angelo Foundry & Mach. Co.  
406 A.2d 140 , 81 N.J. 150 , N.J.
","July 31, 1979"
"Supreme Court of New Jersey. March 16, 1953 12 N.J. 38 95 A.2d 734
Extracted from page: 49
","State v. U.S. Steel Corp., No. A-81, 12 N.J. 38, 95 A.2d 734, 23 Lab. Cas. P 67516 (N.J. Mar. 16, 1953)
","Mar. 16, 1953",NewJersey,Overruled by," 1.  State v. New Jersey Nat. Bank & Trust Co.  
298 A.2d 65 , 62 N.J. 50 , N.J.
","Dec. 18, 1972"
"Supreme Court of New Jersey. June 08, 1953 13 N.J. 46 97 A.2d 663
Extracted from page: 52
","McCutcheon v. State Bldg. Authority, No. A-131, 13 N.J. 46, 97 A.2d 663 (N.J. June 08, 1953)
","June 08, 1953",NewJersey,Overruled by," 1.  Enourato v. New Jersey Bldg. Authority 
448 A.2d 449 , 90 N.J. 396 , N.J. , (NO. A-158 )
","July 22, 1982"
"Supreme Court of New Jersey. December 20, 1948 1 N.J. 193 62 A.2d 677
Extracted from page: 4
","New Jersey Bankers Ass'n v. Van Riper, No. A-31, 1 N.J. 193, 62 A.2d 677 (N.J. Dec. 20, 1948)
","Dec. 20, 1948",NewJersey,Overruled by," 1.  Crescent Park Tenants Ass’n v. Realty Equities Corp. of New York 
275 A.2d 433 , 58 N.J. 98 , N.J.
","Mar. 22, 1971"
