DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of North Carolina. February 25, 1974 284 N.C. 723 202 S.E.2d 585
Extracted from page: 5
","Anderson v. Butler, No. 49, 284 N.C. 723, 202 S.E.2d 585, 1974 WL 452861 (N.C. Feb. 25, 1974)
","Feb. 25, 1974",NorthCarolina,Abrogated by," 1.  Nelson v. Freeland 
507 S.E.2d 882 , 349 N.C. 615 , N.C. , (NO. 216A98 )
","Dec. 31, 1998"
"Supreme Court of North Carolina. February 27, 1935 207 N.C. 771 178 S.E. 565
Extracted from page: 13
","Blades v. Wilmington Trust Co., No. 28, 207 N.C. 771, 178 S.E. 565 (N.C. Feb. 27, 1935)
","Feb. 27, 1935",NorthCarolina,Overruled by," 1.  Merrell v. Jenkins 
89 S.E.2d 242 , 242 N.C. 636 , N.C. , (NO. 102 )
","Sep. 28, 1955"
"Supreme Court of North Carolina. June 30, 1955 242 N.C. 476 87 S.E.2d 906
Extracted from page: 21
","State v. Davis, No. 651, 242 N.C. 476, 87 S.E.2d 906 (N.C. June 30, 1955)
","June 30, 1955",NorthCarolina,Overruled by," 1.  State v. Hurst 
359 S.E.2d 776 , 320 N.C. 589 , N.C. , (NO. 513PA86 )
","Sep. 03, 1987"
"Supreme Court of North Carolina. February 04, 1955 241 N.C. 461 85 S.E.2d 703
Extracted from page: 23
","Floyd v. North Carolina State Highway and Public Works Commission, No. 665, 241 N.C. 461, 85 S.E.2d 703 (N.C. Feb. 04, 1955)
","Feb. 04, 1955",NorthCarolina,Overruled by," 1.  Barney v. North Carolina State Highway Commission 
192 S.E.2d 273 , 282 N.C. 278 , N.C. , (NO. 58 )
","Nov. 15, 1972"
"Supreme Court of North Carolina. March 02, 1955 241 N.C. 562 86 S.E.2d 70
Extracted from page: 24
","State v. Cephus, No. 75, 241 N.C. 562, 86 S.E.2d 70 (N.C. Mar. 02, 1955)
","Mar. 02, 1955",NorthCarolina,Overruled by," 1.  State v. Barnes 
380 S.E.2d 118 , 324 N.C. 539 , N.C. , (NO. 574PA88 )
","June 08, 1989"
"Supreme Court of North Carolina. May 13, 1914 165 N.C. 582 81 S.E. 739
Extracted from page: 29
","Sigmon v. Shell, No. 571, 165 N.C. 582, 81 S.E. 739 (N.C. May 13, 1914)
","May 13, 1914",NorthCarolina,Overruled by," 1.  State v. Mobley  
83 S.E.2d 100 , 240 N.C. 476 , N.C. , (NO. 506 )
","July 09, 1954"
"Supreme Court of North Carolina. May 26, 1914 166 N.C. 388 81 S.E. 999
Extracted from page: 29
","State v. Rogers, No. 617, 166 N.C. 388, 81 S.E. 999 (N.C. May 26, 1914)
","May 26, 1914",NorthCarolina,Overruled by," 1.  State v. Mobley 
83 S.E.2d 100 , 240 N.C. 476 , N.C. , (NO. 506 )
","July 09, 1954"
"Supreme Court of North Carolina. December 01, 1965 265 N.C. 727 145 S.E.2d 13
Extracted from page: 32
","Privette v. Clemmons, No. 701, 265 N.C. 727, 145 S.E.2d 13 (N.C. Dec. 01, 1965)
","Dec. 01, 1965",NorthCarolina,Overruled by," 1.  Greene v. Nichols 
161 S.E.2d 521 , 274 N.C. 18 , N.C. , (NO. 358 )
","June 14, 1968"
"Supreme Court of North Carolina. November 10, 1965 265 N.C. 597 144 S.E.2d 633
Extracted from page: 33
","State v. Morgan, No. 493, 265 N.C. 597, 144 S.E.2d 633 (N.C. Nov. 10, 1965)
","Nov. 10, 1965",NorthCarolina,Overruled by," 1.  State v. Jones 
168 S.E.2d 380 , 275 N.C. 432 , N.C. , (NO. 34 )
","July 11, 1969"
"Supreme Court of North Carolina. November 10, 1965 265 N.C. 581 144 S.E.2d 634
Extracted from page: 33
","State v. Holloway, No. 499, 265 N.C. 581, 144 S.E.2d 634 (N.C. Nov. 10, 1965)
","Nov. 10, 1965",NorthCarolina,Overruled by," 1.  State v. Mumford 
699 S.E.2d 911 , 364 N.C. 394 , N.C. , (NO. 32PA10 )
","Oct. 08, 2010"
