DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Ohio. March 18, 1964 176 Ohio St. 1 197 N.E.2d 343
Extracted from page: 1
","Commercial Credit Corp. v. Pottmeyer, No. 38076, 176 Ohio St. 1, 197 N.E.2d 343, 26 O.O.2d 286 (Ohio Mar. 18, 1964)
","Mar. 18, 1964",Ohio,Overruled by," 1.  Hardware Mut. Cas. Co. v. Gall  
240 N.E.2d 502 , 15 Ohio St.2d 261 , 44 O.O.2d 448 , Ohio , (NO. 41282 , 41366 )
","Sep. 18, 1968"
"Supreme Court of Ohio. July 30, 2003 99 Ohio St.3d 320 791 N.E.2d 974 2003 -Ohio- 3802
Extracted from page: 3
","State ex rel. Clark v. Great Lakes Constr. Co., No. 2002-0001, 2003-Ohio-3802, 99 Ohio St. 3d 320, 791 N.E.2d 974, 2003 WL 21708732 (Ohio July 30, 2003)
","July 30, 2003",Ohio,Abrogated by," 1.  TWISM Enterprises, L.L.C. v. State Board of Registration for Professional Engineers and Surveyors  
223 N.E.3d 371 , 172 Ohio St.3d 225 , 2022-Ohio-4677 , Ohio , (NO. 2021-1440 )
","Dec. 29, 2022"
"Supreme Court of Ohio. August 27, 2003 99 Ohio St.3d 463 793 N.E.2d 473 2003 -Ohio- 4165
Extracted from page: 11
","State v. Comer, No. 1724, 2003-Ohio-4165, 99 Ohio St. 3d 463, 793 N.E.2d 473, 2003 WL 21919872 (Ohio Aug. 27, 2003)
","Aug. 27, 2003",Ohio,Abrogated by," 1.  State v. Foster 
845 N.E.2d 470 , 109 Ohio St.3d 1 , 2006-Ohio-856 , Ohio , (NO. 2004-1568 , 2004-1771 , 2005-0735 , 2005-2156 , 2660 )
","Feb. 27, 2006"
"Supreme Court of Ohio. January 22, 1901 64 Ohio St. 100 45 W.L.B. 190
Extracted from page: 13
","First Nat. Bank v. Hayes, 64 Ohio St. 100, 59 N.E. 893, 45 W.L.B. 190 (Ohio Jan. 22, 1901)
","Jan. 22, 1901",Ohio,Overruled by," 1.  Carter-Jones Lumber Co. v. Eblen  
147 N.E.2d 486 , 167 Ohio St. 189 , 68 A.L.R.2d 285 , 4 O.O.2d 256 , Ohio , (NO. 35109 )
","Jan. 22, 1958"
"Supreme Court of Ohio. April 24, 1900 62 Ohio St. 465 43 W.L.B. 398
Extracted from page: 15
","Cincinnati, L. & N. Ry. Co. v. City of Cincinnati, 62 Ohio St. 465, 57 N.E. 229, 43 W.L.B. 398, 49 L.R.A. 566 (Ohio Apr. 24, 1900)
","Apr. 24, 1900",Ohio,Overruled by," 1.  State ex rel. Shafer v. Otter  
140 N.E. 399 , 106 Ohio St. 415 , 1 Ohio Law Abs. 103 , 20 Ohio Law Rep. 493 , 20 Ohio Law Rep. 499 , Ohio , (NO. 17415 )
","Dec. 29, 1922"
"Supreme Court of Ohio. February 19, 1924 109 Ohio St. 375 142 N.E. 676
Extracted from page: 17
","McGee v. Sigmund, No. 17931, 109 Ohio St. 375, 142 N.E. 676, 2 Ohio Law Abs. 165, 2 Ohio Law Abs. 150, 21 Ohio Law Rep. 537 (Ohio Feb. 19, 1924)
","Feb. 19, 1924",Ohio,Overruled by," 1.  Hoagland v. Hoagland  
148 N.E. 585 , 113 Ohio St. 228 , 3 Ohio Law Abs. 388 , 23 Ohio Law Rep. 322 , Ohio , (NO. 18829 )
","June 16, 1925"
"Supreme Court of Ohio. October 14, 1924 111 Ohio St. 274 145 N.E. 25
Extracted from page: 17
","Ohio Farmers' Ins. Co. v. Todino, No. 18095, 111 Ohio St. 274, 145 N.E. 25, 38 A.L.R. 1118, 2 Ohio Law Abs. 644, 22 Ohio Law Rep. 474 (Ohio Oct. 14, 1924)
","Oct. 14, 1924",Ohio,Overruled by," 1.  Commercial Credit Co. v. Schreyer 
166 N.E. 808 , 120 Ohio St. 568 , 63 A.L.R. 674 , 7 Ohio Law Abs. 333 , 29 Ohio Law Rep. 255 , Ohio , (NO. 21364 , 21530 )
","May 22, 1929"
"Supreme Court of Ohio. December 23, 1924 111 Ohio St. 726 146 N.E. 291
Extracted from page: 21
","Gohman v. City of St. Bernard, No. 18402, 111 Ohio St. 726, 146 N.E. 291, 41 A.L.R. 1057, 3 Ohio Law Abs. 10, 22 Ohio Law Rep. 668 (Ohio Dec. 23, 1924)
","Dec. 23, 1924",Ohio,Overruled by," 1.  New York Life Ins. Co. v. Hosbrook  
196 N.E. 888 , 130 Ohio St. 101 , 118 A.L.R. 1283 , 3 O.O. 138 , Ohio , (NO. 24990 )
","July 03, 1935"
"Supreme Court of Ohio. October 05, 1999 87 Ohio St.3d 132 717 N.E.2d 1091 1999 -Ohio- 308
Extracted from page: 25
","State ex rel. Crossman Communities of Ohio, Inc. v. Greene Cty. Bd. of Elections, No. 0111, 1999-Ohio-308, 87 Ohio St. 3d 132, 717 N.E.2d 1091, 1999 WL 791675 (Ohio Oct. 05, 1999)
","Oct. 05, 1999",Ohio,Overruled by," 1.  State ex rel. Commt. for the Referendum of Ord. No. 3844-02 v. Norris  
792 N.E.2d 186 , 99 Ohio St.3d 336 , 2003-Ohio-3887 , Ohio , (NO. 1726 , 2003-0085 )
","Aug. 06, 2003"
"Supreme Court of Ohio. June 16, 1999 85 Ohio St.3d 632 710 N.E.2d 699 1999 -Ohio- 291
Extracted from page: 27
","State v. Rance, No. 0903, 1999-Ohio-291, 85 Ohio St. 3d 632, 710 N.E.2d 699, 1999 WL 355141 (Ohio June 16, 1999)
","June 16, 1999",Ohio,Overruled by," 1.  State v. Johnson  
942 N.E.2d 1061 , 128 Ohio St.3d 153 , 2010-Ohio-6314 , Ohio , (NO. 2009-1481 , 4594 )
","Dec. 29, 2010"
