DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Oklahoma. May 09, 1939 185 Okla. 80 90 P.2d 646
Extracted from page: 2
","Cook v. Ripley Consol. School Dist. No. 3, Payne County, No. 28501, 1939 OK 235, 185 Okla. 80, 90 P.2d 646 (Okla. May 09, 1939)
","May 09, 1939",Oklahomasup,Overruled by," 1.  Clark v. Gray 
228 P.2d 654 , 204 Okla. 221 , 1951 OK 55 , Okla. , (NO. 33952 )
","Mar. 06, 1951"
"Supreme Court of Oklahoma. May 16, 1939 185 Okla. 130 90 P.2d 404
Extracted from page: 4
","Ford Motor Co. v. McDonald, No. 28807, 1939 OK 246, 185 Okla. 130, 90 P.2d 404 (Okla. May 16, 1939)
","May 16, 1939",Oklahomasup,Overruled by," 1.  Independent School Dist. No. 1 of Tulsa County v. Albus 
572 P.2d 554 , 1977 OK 241 , Okla. , (NO. 50733 )
","Dec. 13, 1977"
"Supreme Court of Oklahoma. March 21, 1939 185 Okla. 46 89 P.2d 754
Extracted from page: 5
","White v. Saling, No. 28617, 1939 OK 168, 185 Okla. 46, 89 P.2d 754 (Okla. Mar. 21, 1939)
","Mar. 21, 1939",Oklahomasup,Overruled by," 1.  Johnson v. Whelan 
98 P.2d 1103 , 186 Okla. 511 , 1940 OK 68 , Okla. , (NO. 29051 )
","Feb. 06, 1940"
"Supreme Court of Oklahoma. April 04, 1939 184 Okla. 572 89 P.2d 305
Extracted from page: 6
","Doyle v. Doyle, No. 28646, 1939 OK 182, 184 Okla. 572, 89 P.2d 305 (Okla. Apr. 04, 1939)
","Apr. 04, 1939",Oklahomasup,Overruled by," 1.  Clammer v. Fullerton 
259 P.2d 823 , 1953 OK 221 , Okla. , (NO. 35580 )
","July 14, 1953"
"Supreme Court of Oklahoma. November 21, 1939 189 Okla. 178 114 P.2d 938
Extracted from page: 6
","Sartin v. Moran-Buckner Co., No. 29033, 1939 OK 511, 189 Okla. 178, 114 P.2d 938 (Okla. Nov. 21, 1939)
","Nov. 21, 1939",Oklahomasup,Overruled by," 1.  Williams v. Oklahoma Nat. Stockyards Co. 
577 P.2d 906 , 1978 OK 21 , Okla. , (NO. 50610 )
","Feb. 21, 1978"
"Supreme Court of Oklahoma. June 20, 1939 185 Okla. 305 92 P.2d 376
Extracted from page: 12
","Board of Com'rs of Tulsa County v. Sand Springs Home, No. 27324, 1939 OK 288, 185 Okla. 305, 92 P.2d 376 (Okla. June 20, 1939)
","June 20, 1939",Oklahomasup,Overruled by," 1.  Oklahoma County v. Queen City Lodge No. 197, I.O.O.F. 
156 P.2d 340 , 195 Okla. 131 , 1945 OK 55 , Okla. , (NO. 31076 )
","Feb. 13, 1945"
"Supreme Court of Oklahoma. April 18, 1939 184 Okla. 644 89 P.2d 769
Extracted from page: 13
","Channell v. Jones, No. 25913, 1939 OK 208, 184 Okla. 644, 89 P.2d 769 (Okla. Apr. 18, 1939)
","Apr. 18, 1939",Oklahomasup,Overruled by," 1.  Pearson v. Hasty 
137 P.2d 545 , 192 Okla. 425 , 147 A.L.R. 232 , 1943 OK 179 , Okla. , (NO. 30034 )
","May 11, 1943"
"Supreme Court of Oklahoma. April 08, 1930 142 Okla. 246 286 P. 797
Extracted from page: 16
","American Eagle Fire Ins. Co. v. Lively, No. 18929, 1930 OK 155, 142 Okla. 246, 286 P. 797 (Okla. Apr. 08, 1930)
","Apr. 08, 1930",Oklahomasup,Overruled by," 1.  Fidelity-Phenix Fire Ins. Co. of N.Y. v. Board of Ed. of Town of Rosedale  
204 P.2d 982 , 201 Okla. 250 , 1948 OK 223 , Okla. , (NO. 33182 )
","Oct. 19, 1948"
"Supreme Court of Oklahoma. December 23, 1930 147 Okla. 37 294 P. 185
Extracted from page: 18
","Citizens' State Bank of Vici v. Boggess, No. 19768, 1930 OK 588, 147 Okla. 37, 294 P. 185 (Okla. Dec. 23, 1930)
","Dec. 23, 1930",Oklahomasup,Overruled by," 1.  Plant v. Smith 
134 P.2d 965 , 192 Okla. 165 , 1943 OK 87 , Okla. , (NO. 29331 )
","Mar. 09, 1943"
"Supreme Court of Oklahoma. January 21, 1930 142 Okla. 260 286 P. 774
Extracted from page: 18
","Union School Dist. No. 1 v. Foster Lumber Co., No. 18863, 1930 OK 50, 142 Okla. 260, 286 P. 774 (Okla. Jan. 21, 1930)
","Jan. 21, 1930",Oklahomasup,Overruled by," 1.  Austin-Western Road Machinery Co. v. Board of Com’rs of Carter County  
11 P.2d 117 , 160 Okla. 232 , 1932 OK 332 , Okla. , (NO. 20853 )
","May 03, 1932"
