DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"01, 1976 275 Or. 483 551 P.2d 445
Extracted from page: 2
","Matter of Marriage of Tjernlund, 275 Or. 483, 551 P.2d 445 (Or. July 01, 1976)
","July 01, 1976",Oregon,Overruled by," 1.  Oregon Business Planning Council v. Department of Land Conservation and Development  
626 P.2d 350 , 290 Or. 741 , Or. , (NO. CA 16617 , CA 17091 , CA 17093 , CA 17502 , CA 18488 , SC 27512 )
","Mar. 31, 1981"
"05, 1976 275 Or. 675 552 P.2d 824
Extracted from page: 7
","Transco Northwest, Inc. v. Allied Equities Corp., 275 Or. 675, 552 P.2d 824 (Or. Aug. 05, 1976)
","Aug. 05, 1976",Oregon,Overruled by," 1.  Jackson v. Penny Duquette Knits, Inc. 
555 P.2d 201 , 276 Or. 465 , Or.
","Oct. 21, 1976"
"26, 1976 276 Or. 759 556 P.2d 962
Extracted from page: 10
","Matter of Marriage of Settle, 276 Or. 759, 556 P.2d 962 (Or. Nov. 26, 1976)
","Nov. 26, 1976",Oregon,Overruled by," 1.  Matter of Custody of Ross  
630 P.2d 353 , 291 Or. 263 , Or. , (NO. 15346 , 7 UCCJ , SC 27261 )
","June 30, 1981"
"21, 1976 276 Or. 429 555 P.2d 459
Extracted from page: 11
","Chaffin v. Ramsey, 276 Or. 429, 555 P.2d 459 (Or. Oct. 21, 1976)
","Oct. 21, 1976",Oregon,Disavowed by," 1.  Illingworth v. Bushong  
688 P.2d 379 , 297 Or. 675 , 39 UCC Rep.Serv. 903 , Or. , (NO. CA A20104 , SC 29315 , TC 80-108-L )
","Sep. 05, 1984"
"19, 1966 242 Or. 635 409 P.2d 910
Extracted from page: 13
","Bunch v. Davidson, 242 Or. 635, 409 P.2d 910 (Or. Jan. 19, 1966)
","Jan. 19, 1966",Oregon,Overruled by," 1.  Godell v. Johnson 
418 P.2d 505 , 244 Or. 587 , Or.
","Sep. 28, 1966"
"2. March 23, 1966 243 Or. 218 412 P.2d 371
Extracted from page: 13
","McDonald v. World Wide Dodge, Inc., 243 Or. 218, 412 P.2d 371 (Or. Mar. 23, 1966)
","Mar. 23, 1966",Oregon,Overruled by," 1.  Dawson v. Payless for Drugs 
433 P.2d 1019 , 248 Or. 334 , 35 A.L.R.3d 222 , Or.
","Nov. 29, 1967"
"2. April 13, 1966 243 Or. 274 413 P.2d 416
Extracted from page: 14
","Lundquist v. Irvine, 243 Or. 274, 413 P.2d 416 (Or. Apr. 13, 1966)
","Apr. 13, 1966",Oregon,Overruled by," 1.  Maulding v. Clackamas County 
563 P.2d 731 , 278 Or. 359 , Or.
","May 10, 1977"
"1. February 09, 1966 242 Or. 536 410 P.2d 1020
Extracted from page: 14
","Durnford v. Worden, 242 Or. 536, 410 P.2d 1020 (Or. Feb. 09, 1966)
","Feb. 09, 1966",Oregon,Abrogated by," 1.  Bjorndal v. Weitman  
184 P.3d 1115 , 344 Or. 470 , Or. , (NO. CAA131325 , CC031320 , SCS054837 )
","May 08, 2008"
"11, 1966 243 Or. 406 414 P.2d 317
Extracted from page: 17
","Guse v. Gladden, 243 Or. 406, 414 P.2d 317 (Or. May 11, 1966)
","May 11, 1966",Oregon,Overruled by," 1.  State v. Evans  
483 P.2d 1300 , 258 Or. 437 , Or.
","Apr. 21, 1971"
"20, 1966 243 Or. 317 413 P.2d 400
Extracted from page: 20
","Lewis v. Baker, 243 Or. 317, 413 P.2d 400 (Or. Apr. 20, 1966)
","Apr. 20, 1966",Oregon,Overruled by," 1.  McEwen v. Ortho Pharmaceutical Corp.  
528 P.2d 522 , 270 Or. 375 , Or.
","Nov. 15, 1974"
