DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Pennsylvania. May 26, 1898 186 Pa. 333 40 A. 486
Extracted from page: 7
","Chestnut St. Nat. Bank v. Fidelity Insurance, Trust & Safe-Deposit Co., 186 Pa. 333, 40 A. 486 (Pa. May 26, 1898)
","May 26, 1898",Pennsylvania,Overruled by," 1.  In re Curry 
134 A.2d 497 , 390 Pa. 105 , Pa.
","June 28, 1957"
"Supreme Court of Pennsylvania. January 28, 1983 500 Pa. 247 455 A.2d 1175
Extracted from page: 17
","Com. v. Bonacurso, No. 80-3-406, 500 Pa. 247, 455 A.2d 1175 (Pa. Jan. 28, 1983)
","Jan. 28, 1983",Pennsylvania,Abrogated by," 1.  Com. v. Burke 
781 A.2d 1136 , 566 Pa. 402 , Pa. , (NO. 6 W.D. 2000 )
","Oct. 17, 2001"
"Supreme Court of Pennsylvania. October 01, 1930 301 Pa. 229 151 A. 811
Extracted from page: 28
","Colonial Securities Co. v. Levy, 301 Pa. 229, 151 A. 811 (Pa. Oct. 01, 1930)
","Oct. 01, 1930",Pennsylvania,Overruled by," 1.  Epstein v. Kramer  
96 A.2d 912 , 374 Pa. 112 , Pa.
","May 25, 1953"
"Supreme Court of Pennsylvania. March 08, 1930 299 Pa. 348 149 A. 598
Extracted from page: 29
","In re Holben's Estate, 299 Pa. 348, 149 A. 598 (Pa. Mar. 08, 1930)
","Mar. 08, 1930",Pennsylvania,Overruled by," 1.  In re Schuetz’ Estate  
172 A. 865 , 315 Pa. 105 , Pa.
","Apr. 23, 1934"
"Supreme Court of Pennsylvania. May 24, 1948 359 Pa. 260 59 A.2d 50
Extracted from page: 37
","In re Jones' Estate, 359 Pa. 260, 59 A.2d 50 (Pa. May 24, 1948)
","May 24, 1948",Pennsylvania,Overruled by," 1.  In re Beeruk’s Estate 
241 A.2d 755 , 429 Pa. 415 , Pa.
","Apr. 16, 1968"
"Supreme Court of Pennsylvania. July 06, 1948 359 Pa. 549 59 A.2d 907
Extracted from page: 39
","Northwestern Pennsylvania Automatic Phonograph Ass'n v. City of Meadville, 359 Pa. 549, 59 A.2d 907, 2 A.L.R.2d 913 (Pa. July 06, 1948)
","July 06, 1948",Pennsylvania,Overruled by," 1.  Wm. Penn Parking Garage, Inc. v. City of Pittsburgh 
346 A.2d 269 , 464 Pa. 168 , Pa.
","Oct. 03, 1975"
"Supreme Court of Pennsylvania. September 27, 1948 360 Pa. 103 61 A.2d 430
Extracted from page: 43
","Com. v. Mellon Nat. Bank & Trust Co., 360 Pa. 103, 61 A.2d 430 (Pa. Sep. 27, 1948)
","Sep. 27, 1948",Pennsylvania,Overruled by," 1.  Com. v. Caplan 
192 A.2d 894 , 411 Pa. 563 , Pa.
","July 15, 1963"
"Supreme Court of Pennsylvania. June 27, 1951 368 Pa. 235 81 A.2d 865
Extracted from page: 48
","Radobersky v. Imperial Volunteer Fire Dept., 368 Pa. 235, 81 A.2d 865 (Pa. June 27, 1951)
","June 27, 1951",Pennsylvania,Overruled by," 1.  Incollingo v. Ewing 
282 A.2d 206 , 444 Pa. 263 , 444 Pa. 299 , Pa. , (NO. 395 , 408 , 410 )
","Jan. 25, 1971"
"Supreme Court of Pennsylvania. January 02, 1951 366 Pa. 293 77 A.2d 390
Extracted from page: 49
","In re Howlett's Estate, 366 Pa. 293, 77 A.2d 390 (Pa. Jan. 02, 1951)
","Jan. 02, 1951",Pennsylvania,Overruled by," 1.  Estate of Sykes 
383 A.2d 920 , 477 Pa. 254 , Pa.
","Mar. 23, 1978"
"Supreme Court of Pennsylvania. January 02, 1951 366 Pa. 360 77 A.2d 634
Extracted from page: 51
","Beam v. Pittsburgh Rys. Co., 366 Pa. 360, 77 A.2d 634 (Pa. Jan. 02, 1951)
","Jan. 02, 1951",Pennsylvania,Overruled by," 1.  Smalich v. Westfall  
269 A.2d 476 , 440 Pa. 409 , Pa.
","Oct. 09, 1970"
"Supreme Court of Pennsylvania. June 27, 1951 368 Pa. 343 82 A.2d 49
Extracted from page: 52
","In re Williamson's Estate, 368 Pa. 343, 82 A.2d 49 (Pa. June 27, 1951)
","June 27, 1951",Pennsylvania,Abrogated by," 2.  Estate of Fridenberg v. Com. 
33 A.3d 581 , 613 Pa. 281 , Pa. , (NO. 32 EAP 2010 )
","Nov. 23, 2011"
"Supreme Court of Pennsylvania. June 30, 1943 347 Pa. 643 32 A.2d 910
Extracted from page: 55
","In re Condemnation of Land by Pennsylvania Turnpike Commission, 347 Pa. 643, 32 A.2d 910 (Pa. June 30, 1943)
","June 30, 1943",Pennsylvania,Overruled by," 1.  Specter v. Com. 
341 A.2d 481 , 462 Pa. 474 , Pa.
","July 07, 1975"
"Supreme Court of Pennsylvania. January 01, 1871 69 Pa. 89 1871 WL 11089
Extracted from page: 57
","Robinson v. Glancy, 69 Pa. 89, 19 P.F. Smith 89, 1871 WL 11089 (Pa. 1871)
","June 15, 1871",Pennsylvania,Overruled by," 1.  Appeal of Snodgrass 
96 Pa. 420 , 1880 WL 13536 , Pa.
","June 15, 1880"
"Supreme Court of Pennsylvania. January 01, 1855 24 Pa. 426 1855 WL 7125
Extracted from page: 58
","Appeal of Laucks, 24 Pa. 426, 12 Harris 426, 1855 WL 7125 (Pa. 1855)
","June 15, 1855",Pennsylvania,Abrogated by," 1.  Mayhugh v. Coon 
331 A.2d 452 , 460 Pa. 128 , Pa.
","Jan. 27, 1975"
"Supreme Court of Pennsylvania. January 01, 1855 24 Pa. 253 1855 WL 7094
Extracted from page: 58
","Haines v. Ellis, 24 Pa. 253, 12 Harris 253, 1855 WL 7094 (Pa. 1855)
","June 15, 1855",Pennsylvania,Abrogated by," 1.  Wright v. Brown  
44 Pa. 224 , 1863 WL 4785 , 8 Wr.Pa. 224 , Pa.
","June 15, 1863"
