DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Rhode Island. February 10, 1915 37 R.I. 362 92 A. 983
Extracted from page: 1
","Johnston v. Johnston, No. 4796, 37 R.I. 362, 92 A. 983 (R.I. Feb. 10, 1915)
","Feb. 10, 1915",Rhode,Overruled by," 1.  Tobin v. Tobin  
38 A.2d 756 , 70 R.I. 362 , R.I. , (NO. 8643 )
","July 26, 1944"
"Supreme Court of Rhode Island. June 14, 1922 44 R.I. 295 117 A. 361
Extracted from page: 1
","Berger v. Berger, No. 5585, 44 R.I. 295, 117 A. 361 (R.I. June 14, 1922)
","June 14, 1922",Rhode,Overruled by," 1.  Tobin v. Tobin  
38 A.2d 756 , 70 R.I. 362 , R.I. , (NO. 8643 )
","July 26, 1944"
"Supreme Court of Rhode Island. June 04, 1954 82 R.I. 48 105 A.2d 800
Extracted from page: 5
","Flynn v. Byrne, No. EQ. 2243, 82 R.I. 48, 105 A.2d 800 (R.I. June 04, 1954)
","June 04, 1954",Rhode,Abrogated by," 1.  Robinson v. Delfino  
710 A.2d 154 , R.I. , (NO. 96-316-APPEAL )
","Apr. 03, 1998"
"Supreme Court of Rhode Island. December 23, 1954 82 R.I. 387 110 A.2d 266
Extracted from page: 5
","Crook v. Kalamazoo Sales & Service, No. EQ. 2278, 82 R.I. 387, 110 A.2d 266 (R.I. Dec. 23, 1954)
","Dec. 23, 1954",Rhode,Overruled by," 1.  Flori v. Allstate Ins. Co. 
388 A.2d 25 , 120 R.I. 511 , R.I. , (NO. 77-16-APPEAL )
","July 20, 1978"
"Supreme Court of Rhode Island. November 21, 1958 88 R.I. 235 146 A.2d 164
Extracted from page: 6
","Wroblewski v. Clark, No. EX. 9858, 88 R.I. 235, 146 A.2d 164 (R.I. Nov. 21, 1958)
","Nov. 21, 1958",Rhode,Overruled by," 1.  Becker v. Beaudoin 
261 A.2d 896 , 106 R.I. 562 , R.I. , (NO. 617-APPEAL )
","Feb. 09, 1970"
"Supreme Court of Rhode Island. April 07, 1909 29 R.I. 450 72 A. 396
Extracted from page: 11
","State v. Welford, 29 R.I. 450, 72 A. 396 (R.I. Apr. 07, 1909)
","Apr. 07, 1909",Rhode,Overruled by," 1.  State v. Lunt  
260 A.2d 149 , 106 R.I. 379 , R.I. , (NO. 612 EX. & C )
","Dec. 30, 1969"
"Supreme Court of Rhode Island. January 10, 1961 92 R.I. 110 167 A.2d 139
Extracted from page: 12
","Pagliaro v. Pezza, No. EX 10117, 92 R.I. 110, 167 A.2d 139 (R.I. Jan. 10, 1961)
","Jan. 10, 1961",Rhode,Overruled by," 1.  Mariorenzi v. Joseph DiPonte, Inc. 
333 A.2d 127 , 114 R.I. 294 , R.I. , (NO. 73-47-APPEAL )
","Feb. 24, 1975"
"Supreme Court of Rhode Island. December 16, 1987 534 A.2d 867 1987 WL 23313
Extracted from page: 20
","State v. Oliviera, No. 86-281-C.A., 534 A.2d 867, 1987 WL 23313 (R.I. Dec. 16, 1987)
","Dec. 16, 1987",Rhode,Abrogated by," 1.  J.E.B. v. Alabama ex rel. T.B. 
114 S.Ct. 1419 , 511 U.S. 127 , 128 L.Ed.2d 89 , 62 USLW 4219 , 64 Empl. Prac. Dec. P 42,967 , U.S.Ala. , (NO. 92-1239 )
","Apr. 19, 1994"
"Supreme Court of Rhode Island. January 16, 1987 519 A.2d 1132
Extracted from page: 21
","Sousa v. Chaset, No. 84-229-APPEAL, 519 A.2d 1132 (R.I. Jan. 16, 1987)
","Jan. 16, 1987",Rhode,Abrogated by," 1.  Cruz v. DaimlerChrysler Motors Corp. 
66 A.3d 446 , R.I. , (NO. 2012-56-APPEAL )
","May 20, 2013"
"Supreme Court of Rhode Island. March 06, 1987 521 A.2d 1003
Extracted from page: 22
","State v. Moretti, No. 85-167-C.A., 521 A.2d 1003 (R.I. Mar. 06, 1987)
","Mar. 06, 1987",Rhode,Abrogated by," 1.  Advisory Opinion to the Governor  
666 A.2d 813 , R.I. , (NO. 95-265-M.P. )
","Nov. 10, 1995"
"Supreme Court of Rhode Island. December 24, 1987 535 A.2d 766 1987 WL 26364
Extracted from page: 23
","State v. Medeiros, No. 86-536-C.A., 535 A.2d 766, 1987 WL 26364 (R.I. Dec. 24, 1987)
","Dec. 24, 1987",Rhode,Abrogated by," 1.  Advisory Opinion to the Governor  
666 A.2d 813 , R.I. , (NO. 95-265-M.P. )
","Nov. 10, 1995"
"Supreme Court of Rhode Island. February 20, 1933 53 R.I. 144 164 A. 558
Extracted from page: 25
","Kwasniewski v. New York, N.H. & H.R. Co., No. 7115, 53 R.I. 144, 164 A. 558 (R.I. Feb. 20, 1933)
","Feb. 20, 1933",Rhode,Overruled by," 1.  Woodward v. Stewart 
243 A.2d 917 , 104 R.I. 290 , R.I. , (NO. 191-APPEAL )
","July 09, 1968"
"Supreme Court of Rhode Island. December 20, 1993 635 A.2d 272 1993 WL 528385
Extracted from page: 29
","State v. Wiggs, No. 92-488-C.A., 635 A.2d 272, 1993 WL 528385 (R.I. Dec. 20, 1993)
","Dec. 20, 1993",Rhode,Abrogated by," 1.  State v. Gautier  
871 A.2d 347 , R.I. , (NO. 2004-165-C.A. )
","Apr. 12, 2005"
"Supreme Court of Rhode Island. December 10, 1969 106 R.I. 342 259 A.2d 843
Extracted from page: 32
","Dodge v. Parish of Church of Transfiguration, No. 685-APPEAL, 106 R.I. 342, 259 A.2d 843 (R.I. Dec. 10, 1969)
","Dec. 10, 1969",Rhode,Overruled by," 1.  Mariorenzi v. Joseph DiPonte, Inc. 
333 A.2d 127 , 114 R.I. 294 , R.I. , (NO. 73-47-APPEAL )
","Feb. 24, 1975"
"Supreme Court of Rhode Island. July 17, 1968 104 R.I. 323 244 A.2d 258
Extracted from page: 37
","State v. Page, No. 10722-EX. & C, 104 R.I. 323, 244 A.2d 258 (R.I. July 17, 1968)
","July 17, 1968",Rhode,Overruled by," 1.  State v. Johnson 
383 A.2d 1012 , 119 R.I. 749 , R.I. , (NO. 75-220-APPEAL )
","Mar. 03, 1978"
"Supreme Court of Rhode Island. January 16, 1968 103 R.I. 273 237 A.2d 309
Extracted from page: 38
","State v. Leavitt, No. EX. 10848, 103 R.I. 273, 237 A.2d 309 (R.I. Jan. 16, 1968)
","Jan. 16, 1968",Rhode,Overruled by," 1.  State v. Danahey 
274 A.2d 736 , 108 R.I. 291 , R.I. , (NO. 796-EX. )
","Mar. 17, 1971"
"Supreme Court of Rhode Island. May 21, 1996 676 A.2d 325 1996 WL 272326
Extracted from page: 41
","Bayview Towing, Inc. v. Stevenson, No. 94-596-MP, 676 A.2d 325, 1996 WL 272326 (R.I. May 21, 1996)
","May 21, 1996",Rhode,Abrogated by," 1.  Rivera v. Employees’ Retirement System of Rhode Island  
70 A.3d 905 , R.I. , (NO. 2011-166-M.P. )
","Apr. 08, 2013"
"Supreme Court of Rhode Island. March 26, 1906 27 R.I. 495 63 A. 956
Extracted from page: 47
","In re Olney, 27 R.I. 495, 63 A. 956 (R.I. Mar. 26, 1906)
","Mar. 26, 1906",Rhode,Overruled by," 1.  Rhode Island Hospital Trust Co. v. Hooker 
219 A.2d 772 , 101 R.I. 12 , R.I. , (NO. C.Q. 1-79 )
","May 26, 1966"
"Supreme Court of Rhode Island. December 23, 1895 19 R.I. 319 33 A. 466
Extracted from page: 50
","Brown v. Smith, 19 R.I. 319, 33 A. 466, 30 L.R.A. 680 (R.I. Dec. 23, 1895)
","Dec. 23, 1895",Rhode,Overruled by," 1.  Zinni v. Zinni 
238 A.2d 373 , 103 R.I. 417 , R.I. , (NO. 131-APPEAL )
","Feb. 12, 1968"
"Supreme Court of Rhode Island. April 27, 1896 19 R.I. 456 34 A. 814
Extracted from page: 55
","Rumford Chemical Works v. Ray, 19 R.I. 456, 34 A. 814 (R.I. Apr. 27, 1896)
","Apr. 27, 1896",Rhode,Overruled by," 1.  Albro v. Kettelle 
107 A. 198 , 42 R.I. 270 , R.I. , (NO. 5198 )
","July 01, 1919"
