DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of South Carolina. January 13, 1970 253 S.C. 531 172 S.E.2d 111
Extracted from page: 1
","State v. Atkinson, No. 19004, 253 S.C. 531, 172 S.E.2d 111 (S.C. Jan. 13, 1970)
","Jan. 13, 1970",SouthCarolina,Overruled by," 1.  State v. Torrence 
406 S.E.2d 315 , 305 S.C. 45 , S.C. , (NO. 23403 )
","May 20, 1991"
"Supreme Court of South Carolina. November 11, 1970 255 S.C. 161 177 S.E.2d 537
Extracted from page: 2
","Jeanes v. Jeanes, No. 19127, 255 S.C. 161, 177 S.E.2d 537 (S.C. Nov. 11, 1970)
","Nov. 11, 1970",SouthCarolina,Abrogated by," 1.  Stone v. Thompson  
833 S.E.2d 266 , 428 S.C. 79 , S.C. , (NO. 2017-000227 , 27908 )
","July 24, 2019"
"Supreme Court of South Carolina. October 21, 1970 255 S.C. 56 177 S.E.2d 130
Extracted from page: 2
","In re Anderson, No. 19110, 255 S.C. 56, 177 S.E.2d 130 (S.C. Oct. 21, 1970)
","Oct. 21, 1970",SouthCarolina,Overruled by," 1.  Brown v. Theos 
550 S.E.2d 304 , 345 S.C. 626 , S.C. , (NO. 25321 )
","July 23, 2001"
"Supreme Court of South Carolina. July 05, 1967 249 S.C. 605 155 S.E.2d 916
Extracted from page: 4
","State v. Gamble, No. 18670, 249 S.C. 605, 155 S.E.2d 916 (S.C. July 05, 1967)
","July 05, 1967",SouthCarolina,Overruled by," 1.  State v. Torrence 
406 S.E.2d 315 , 305 S.C. 45 , S.C. , (NO. 23403 )
","May 20, 1991"
"Supreme Court of South Carolina. September 01, 1967 250 S.C. 170 156 S.E.2d 867
Extracted from page: 4
","Smith v. Blackwell, No. 18699, 250 S.C. 170, 156 S.E.2d 867 (S.C. Sep. 01, 1967)
","Sep. 01, 1967",SouthCarolina,Overruled by," 1.  Spahn v. Town of Port Royal 
499 S.E.2d 205 , 330 S.C. 168 , S.C. , (NO. 24772 )
","Mar. 09, 1998"
"Supreme Court of South Carolina. August 01, 1967 250 S.C. 37 156 S.E.2d 313
Extracted from page: 6
","State v. Bell, No. 18685, 250 S.C. 37, 156 S.E.2d 313 (S.C. Aug. 01, 1967)
","Aug. 01, 1967",SouthCarolina,Overruled by," 1.  State v. Torrence 
406 S.E.2d 315 , 305 S.C. 45 , S.C. , (NO. 23403 )
","May 20, 1991"
"Supreme Court of South Carolina. March 16, 1967 249 S.C. 230 153 S.E.2d 687
Extracted from page: 6
","Stanley v. South Carolina State Highway Dept., No. 18621, 249 S.C. 230, 153 S.E.2d 687 (S.C. Mar. 16, 1967)
","Mar. 16, 1967",SouthCarolina,Overruled by," 1.  McCall by Andrews v. Batson 
329 S.E.2d 741 , 285 S.C. 243 , 25 Ed. Law Rep. 656 , S.C. , (NO. 22290 )
","Apr. 18, 1985"
"Supreme Court of South Carolina. March 30, 1967 249 S.C. 278 153 S.E.2d 895
Extracted from page: 6
","Richbourg's Shoppers Fair, Inc. v. Stone, No. 18627, 249 S.C. 278, 153 S.E.2d 895 (S.C. Mar. 30, 1967)
","Mar. 30, 1967",SouthCarolina,Overruled by," 1.  R.L. Jordan Co., Inc. v. Boardman Petroleum, Inc. 
527 S.E.2d 763 , 338 S.C. 475 , S.C. , (NO. 25067 )
","Feb. 14, 2000"
"Supreme Court of South Carolina. January 03, 1967 249 S.C. 1 152 S.E.2d 669
Extracted from page: 6
","State v. Johnson, No. 18589, 249 S.C. 1, 152 S.E.2d 669 (S.C. Jan. 03, 1967)
","Jan. 03, 1967",SouthCarolina,Overruled by," 1.  State v. Kennerly 
524 S.E.2d 837 , 337 S.C. 617 , S.C. , (NO. 25035 )
","Dec. 20, 1999"
"Supreme Court of South Carolina. March 14, 1967 249 S.C. 214 153 S.E.2d 841
Extracted from page: 6
","Vance v. South Carolina Tax Commission, No. 18619, 249 S.C. 214, 153 S.E.2d 841 (S.C. Mar. 14, 1967)
","Mar. 14, 1967",SouthCarolina,Overruled by," 1.  McCall by Andrews v. Batson 
329 S.E.2d 741 , 285 S.C. 243 , 25 Ed. Law Rep. 656 , S.C. , (NO. 22290 )
","Apr. 18, 1985"
