DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Tennessee, at Jackson. April 27, 1992 832 S.W.2d 530 1992 WL 105584
Extracted from page: 2
","J.I. Case Corp. v. Williams, 832 S.W.2d 530, 1992 WL 105584 (Tenn. Apr. 27, 1992)
","Apr. 27, 1992",Tennessee,Overruled by," 1.  Gordon v. Greenview Hosp., Inc.  
300 S.W.3d 635 , Tenn. , (NO. M200700633SCR11CV )
","Dec. 17, 2009"
"Supreme Court of Tennessee. December 01, 1882 78 Tenn. 392 1882 WL 4157
Extracted from page: 14
","Hooberry v. Harding, 78 Tenn. 392, 10 Lea 392, 1882 WL 4157 (Tenn. Dec. 01, 1882)
","Dec. 01, 1882",Tennessee,Overruled by," 1.  Jourolman v. Massengill 
5 S.W. 719 , 86 Tenn. 81 , 2 Pickle 81 , Tenn.
","Oct. 26, 1887"
"Supreme Court of Tennessee. September 01, 1882 77 Tenn. 455 1882 WL 4046
Extracted from page: 15
","Williams v. Burg, 77 Tenn. 455, 9 Lea 455, 1882 WL 4046 (Tenn. Sep. 01, 1882)
","Sep. 01, 1882",Tennessee,Overruled by," 1.  Dickinson v. Bain  
921 S.W.2d 189 , Tenn. , (NO. 03S01-9503-CH-00027 )
","Apr. 29, 1996"
"Supreme Court of Tennessee. March 28, 1977 548 S.W.2d 651
Extracted from page: 17
","Woods v. Warren, 548 S.W.2d 651 (Tenn. Mar. 28, 1977)
","Mar. 28, 1977",Tennessee,Abrogated by," 1.  Lollar v. Wal-Mart Stores, Inc.  
767 S.W.2d 143 , 4 A.L.R.5th 1086 , Tenn.
","Feb. 21, 1989"
"Supreme Court of Tennessee. August 22, 1977 554 S.W.2d 620
Extracted from page: 19
",Overruled by," 1.  State v. Williams 
977 S.W.2d 101 , Tenn. , (NO. 03-S-01-9706-CR-0006 )
","Sep. 21, 1998"
"Supreme Court of Tennessee. February 17, 1897 98 Tenn. 491 41 S.W. 587
Extracted from page: 22
",Overruled by," 1.  Brown v. Hows  
40 S.W.2d 1017 , 10 Smith (TN) 138 , 163 Tenn. 138 , Tenn.
","July 18, 1931"
"Supreme Court of Tennessee. September 19, 1896 97 Tenn. 252 36 S.W. 1090
Extracted from page: 23
",Overruled by," 1.  Burns v. People’s Tel. & Tel. Co. 
33 S.W.2d 76 , 8 Smith (TN) 382 , 161 Tenn. 382 , Tenn.
","Nov. 28, 1930"
"Supreme Court of Tennessee. June 30, 1896 97 Tenn. 151 36 S.W. 1041
Extracted from page: 25
",Overruled by," 1.  Arnold v. City of Knoxville 
90 S.W. 469 , 7 Cates 195 , 115 Tenn. 195 , 3 L.R.A.N.S. 837 , 5 Am.Ann.Cas. 881 , Tenn.
","Dec. 04, 1905"
"Supreme Court of Tennessee. December 24, 1932 1 Beeler 415 165 Tenn. 415
Extracted from page: 26
",Overruled by," 1.  Childress v. Childress 
569 S.W.2d 816 , Tenn.
","Aug. 28, 1978"
"Supreme Court of Tennessee. June 30, 1975 525 S.W.2d 152
Extracted from page: 28
","Whisnant v. Byrd, 525 S.W.2d 152 (Tenn. June 30, 1975)
","June 30, 1975",Tennessee,Overruled by," 1.  Sanjines v. Ortwein and Associates, P.C. 
984 S.W.2d 907 , Tenn. , (NO. 03S01-9712-CV-00139 )
","Dec. 21, 1998"
"Supreme Court of Tennessee. June 30, 1975 525 S.W.2d 152
Extracted from page: 28
","Whisnant v. Byrd, 525 S.W.2d 152 (Tenn. June 30, 1975)
","June 30, 1975",Tennessee,Overruled by," 2.  Logan v. Winstead  
23 S.W.3d 297 , Tenn. , (NO. E199901056SCR11CV )
","July 21, 2000"
"Supreme Court of Tennessee. June 16, 1975 524 S.W.2d 933
Extracted from page: 28
","State v. LaChance, 524 S.W.2d 933 (Tenn. June 16, 1975)
","June 16, 1975",Tennessee,Abrogated by," 1.  State v. Brown 
836 S.W.2d 530 , Tenn.
","June 01, 1992"
"Supreme Court of Tennessee. December 01, 1975 530 S.W.2d 778
Extracted from page: 30
","Hartford Acc. & Indem. Co. v. Creasy, 530 S.W.2d 778 (Tenn. Dec. 01, 1975)
","Dec. 01, 1975",Tennessee,Overruled by," 1.  Alcazar v. Hayes  
982 S.W.2d 845 , Tenn. , (NO. 03S01-9804-CV-00035 )
","Dec. 21, 1998"
"Supreme Court of Tennessee. August 09, 1918 140 Tenn. 358 204 S.W. 994
Extracted from page: 34
","West v. State, 140 Tenn. 358, 204 S.W. 994, 13 Thompson 358 (Tenn. Aug. 09, 1918)
","Aug. 09, 1918",Tennessee,Overruled by," 1.  Thomas v. State 
301 S.W.2d 358 , 5 McCanless 645 , 201 Tenn. 645 , Tenn.
","Apr. 01, 1957"
"Supreme Court of Tennessee. April 29, 1918 139 Tenn. 580 202 S.W. 916
Extracted from page: 34
","Johnson v. Martin Furniture Co., 139 Tenn. 580, 202 S.W. 916, 12 Thompson 580 (Tenn. Apr. 29, 1918)
","Apr. 29, 1918",Tennessee,Overruled by," 1.  McNabb v. Lynn
100 S.W.2d 3 , 7 Beeler 8 , 171 Tenn. 8 , Tenn.
","Jan. 16, 1937"
"Supreme Court of Tennessee. April 29, 1918 139 Tenn. 580 202 S.W. 916
Extracted from page: 34
","Johnson v. Martin Furniture Co., 139 Tenn. 580, 202 S.W. 916, 12 Thompson 580 (Tenn. Apr. 29, 1918)
","Apr. 29, 1918",Tennessee,Overruled by," 2.  Standard Life Ins. Co. of the South v. Adams 
126 S.W.2d 311 , 10 Beeler 405 , 174 Tenn. 405 , Tenn.
","Apr. 01, 1939"
"Supreme Court of Tennessee. August 09, 1918 140 Tenn. 438 205 S.W. 128
Extracted from page: 34
","Phoenix Cotton Oil Co. v. Royal Indem. Co., 140 Tenn. 438, 205 S.W. 128, 13 Thompson 438 (Tenn. Aug. 09, 1918)
","Aug. 09, 1918",Tennessee,Overruled by," 1.  Alcazar v. Hayes  
982 S.W.2d 845 , Tenn. , (NO. 03S01-9804-CV-00035 )
","Dec. 21, 1998"
"Supreme Court of Tennessee. May 18, 1918 140 Tenn. 182 203 S.W. 949
Extracted from page: 35
","Hale v. Johnston, 140 Tenn. 182, 203 S.W. 949, 13 Thompson 182 (Tenn. May 18, 1918)
","May 18, 1918",Tennessee,Overruled by," 1.  Bowers by Bowers v. City of Chattanooga 
826 S.W.2d 427 , 73 Ed. Law Rep. 1163 , Tenn.
","Feb. 18, 1992"
"Supreme Court of Tennessee. August 28, 1978 569 S.W.2d 816
Extracted from page: 36
","Childress v. Childress, 569 S.W.2d 816 (Tenn. Aug. 28, 1978)
","Aug. 28, 1978",Tennessee,Overruled by," 1.  Davis v. Davis 
657 S.W.2d 753 , Tenn.
","Oct. 03, 1983"
"Supreme Court of Tennessee. October 30, 1978 572 S.W.2d 650
Extracted from page: 38
","Frazier v. Normak Intern., 572 S.W.2d 650 (Tenn. Oct. 30, 1978)
","Oct. 30, 1978",Tennessee,Abrogated by," 1.  Lollar v. Wal-Mart Stores, Inc. 
767 S.W.2d 143 , 4 A.L.R.5th 1086 , Tenn.
","Feb. 21, 1989"
"Supreme Court of Tennessee. December 18, 1978 574 S.W.2d 726
Extracted from page: 39
","Roseberry v. Lippner, 574 S.W.2d 726 (Tenn. Dec. 18, 1978)
","Dec. 18, 1978",Tennessee,Abrogated by," 1.  McIntyre v. Balentine 
833 S.W.2d 52 , 60 USLW 2764 , Tenn.
","May 04, 1992"
"Supreme Court of Tennessee. December 29, 1978 575 S.W.2d 275
Extracted from page: 40
","Sikes v. Colonial Rubber Co., 575 S.W.2d 275 (Tenn. Dec. 29, 1978)
","Dec. 29, 1978",Tennessee,Abrogated by," 1.  Five Star Exp., Inc. v. Davis  
866 S.W.2d 944 , Tenn. , (NO. 01S01-9304-CV-00073 )
","Nov. 22, 1993"
"Supreme Court of Tennessee, at Nashville. February 27, 1989 767 S.W.2d 151 1989 WL 23474
Extracted from page: 44
","State v. Herron, No. S/C 88-6-I, 767 S.W.2d 151, 1989 WL 23474 (Tenn. Feb. 27, 1989)
","Feb. 27, 1989",Tennessee,Overruled by," 1.  State v. Yancey  
69 S.W.3d 553 , Tenn. , (NO. M199902131SCR11CD )
","Feb. 07, 2002"
"Supreme Court of Tennessee, at Nashville. October 09, 1989 778 S.W.2d 430 1989 WL 125233
Extracted from page: 45
","State v. Jacumin, No. 88-60-I, 778 S.W.2d 430, 58 USLW 2315, 1989 WL 125233 (Tenn. Oct. 09, 1989)
","Oct. 09, 1989",Tennessee,Overruled by," 1.  State v. Tuttle  
515 S.W.3d 282 , Tenn. , (NO. M201400566SCR11CD )
","Apr. 05, 2017"
