DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Vermont. December 07, 1965 125 Vt. 317 215 A.2d 492
Extracted from page: 1
","Baldwin v. State, No. 220, 125 Vt. 317, 215 A.2d 492 (Vt. Dec. 07, 1965)
","Dec. 07, 1965",Vermont,Overruled by," 1.  Whitney v. Fisher 
417 A.2d 934 , 138 Vt. 468 , Vt. , (NO. 144-79 )
","June 16, 1980"
"Supreme Court of Vermont. December 07, 1965 125 Vt. 317 215 A.2d 492
Extracted from page: 1
","Baldwin v. State, No. 220, 125 Vt. 317, 215 A.2d 492 (Vt. Dec. 07, 1965)
","Dec. 07, 1965",Vermont,Overruled by," 2.  Hay v. Medical Center Hosp. of Vermont 
496 A.2d 939 , 145 Vt. 533 , Vt. , (NO. 83-225 )
","Apr. 26, 1985"
"Supreme Court of Vermont. April 06, 1965 125 Vt. 58 209 A.2d 324
Extracted from page: 2
","State v. Brown, No. 1042, 125 Vt. 58, 209 A.2d 324 (Vt. Apr. 06, 1965)
","Apr. 06, 1965",Vermont,Overruled by," 1.  State v. Dacey 
418 A.2d 856 , 138 Vt. 491 , Vt. , (NO. 166-79 )
","June 27, 1980"
"Supreme Court of Vermont. February 02, 1965 124 Vt. 472 207 A.2d 245
Extracted from page: 2
","Pettingill v. Kelton, No. 1230, 124 Vt. 472, 207 A.2d 245 (Vt. Feb. 02, 1965)
","Feb. 02, 1965",Vermont,Abrogated by," 1.  d’Arc Turcotte v. Estate of LaRose  
569 A.2d 1086 , 153 Vt. 196 , Vt. , (NO. 87-507 )
","Dec. 01, 1989"
"Supreme Court of Vermont. January 01, 1832 4 Vt. 178 1832 WL 2020
Extracted from page: 5
","Bates v. Downer, 4 Vt. 178, 1832 WL 2020 (Vt. 1832)
","June 15, 1832",Vermont,Overruled by," 1.  A.H. Berry Shoe Co. v. Deschenes 
35 A. 335 , 68 Vt. 387 , Vt.
","June 27, 1896"
"Supreme Court of Vermont. February 01, 1832 4 Vt. 549 1832 WL 2065
Extracted from page: 5
","Hutchins v. Olcutt, 4 Vt. 549, 24 Am. Dec. 634, 1832 WL 2065 (Vt. Feb. 01, 1832)
","Feb. 01, 1832",Vermont,Overruled by," 1.  Robinson v. Leach 
31 A. 32 , 67 Vt. 128 , 27 L.R.A. 303 , 48 Am.St.Rep. 807 , Vt.
","Feb. 04, 1895"
"Supreme Court of Vermont. July 27, 1891 63 Vt. 496 22 A. 621
Extracted from page: 7
","State v. Freeman, 63 Vt. 496, 22 A. 621 (Vt. July 27, 1891)
","July 27, 1891",Vermont,Overruled by," 1.  State v. Burpee 
25 A. 964 , 65 Vt. 1 , 19 L.R.A. 145 , 36 Am.St.Rep. 775 , Vt.
","Feb. 19, 1892"
"Supreme Court of Vermont. November 12, 1909 83 Vt. 66 74 A. 401
Extracted from page: 8
","E.T. & H.K. Ide v. Boston & M.R.R., 83 Vt. 66, 74 A. 401 (Vt. Nov. 12, 1909)
","Nov. 12, 1909",Vermont,Abrogated by," 1.  d’Arc Turcotte v. Estate of LaRose 
569 A.2d 1086 , 153 Vt. 196 , Vt. , (NO. 87-507 )
","Dec. 01, 1989"
"Supreme Court of Vermont. January 01, 1843 15 Vt. 221 1843 WL 3302
Extracted from page: 9
","Yale v. Seely, 15 Vt. 221, 1843 WL 3302 (Vt. 1843)
","June 15, 1843",Vermont,Overruled by," 1.  Stanley v. Payne 
62 A. 495 , 78 Vt. 235 , 3 L.R.A.N.S. 251 , 112 Am.St.Rep. 911 , 6 Am.Ann.Cas. 501 , Vt.
","Dec. 07, 1905"
"Supreme Court of Vermont. January 01, 1843 15 Vt. 61 1843 WL 3278
Extracted from page: 9
","Briggs v. Town of Georgia, 15 Vt. 61, 1843 WL 3278 (Vt. Jan 1843)
",Jan 1843,Vermont,Abrogated by," 1.  State v. Koveos 
732 A.2d 722 , 169 Vt. 62 , Vt. , (NO. 98-248 )
","Feb. 05, 1999"
