DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Virginia. March 06, 1981 221 Va. 947 275 S.E.2d 620
Extracted from page: 2
","Holloman v. Commonwealth, No. 800763, 221 Va. 947, 275 S.E.2d 620 (Va. Mar. 06, 1981)
","Mar. 06, 1981",Virgina,Abrogated by," 1.  Horton v. California 
110 S.Ct. 2301 , 496 U.S. 128 , 110 L.Ed.2d 112 , 58 USLW 4694 , U.S.Cal. , (NO. 88-7164 )
","June 04, 1990"
"Supreme Court of Virginia. June 10, 1994 248 Va. 179 445 S.E.2d 667
Extracted from page: 14
","Bryant v. Commonwealth, No. 931478, 248 Va. 179, 445 S.E.2d 667, 1994 WL 248457 (Va. June 10, 1994)
","June 10, 1994",Virgina,Abrogated by," 1.  Haugen v. Shenandoah Valley Dept. of Social Services 
645 S.E.2d 261 , 274 Va. 27 , Va. , (NO. 060869 )
","June 08, 2007"
"12, 1936 166 Va. 138 184 S.E. 211
Extracted from page: 19
","Taylor v. Grace, 166 Va. 138, 184 S.E. 211 (Va. Mar. 12, 1936)
","Mar. 12, 1936",Virgina,Overruled by," 1.  Cashion v. Smith 
749 S.E.2d 526 , 286 Va. 327 , Va. , (NO. 121797 )
","Oct. 31, 2013"
"11, 1936 166 Va. 341 186 S.E. 50
Extracted from page: 20
","Jackson v. Jackson, 166 Va. 341, 186 S.E. 50 (Va. June 11, 1936)
","June 11, 1936",Virgina,Overruled by," 1.  Fitzgerald v. Holton  
99 S.E.2d 615 , 199 Va. 368 , Va.
","Sep. 06, 1957"
"11, 1936 166 Va. 426 186 S.E. 65
Extracted from page: 20
","New York Life Ins. Co. v. Barton, 166 Va. 426, 186 S.E. 65 (Va. June 11, 1936)
","June 11, 1936",Virgina,Overruled by," 1.  Council v. Commonwealth 
94 S.E.2d 245 , 198 Va. 288 , Va.
","Sep. 04, 1956"
"13, 1938 169 Va. 752 194 S.E. 709
Extracted from page: 25
","McDonald v. McDonald, 169 Va. 752, 194 S.E. 709 (Va. Jan. 13, 1938)
","Jan. 13, 1938",Virgina,Overruled by," 1.  Fuller v. Virginia Trust Co. 
33 S.E.2d 201 , 183 Va. 704 , Va.
","Mar. 05, 1945"
"05, 1951 192 Va. 665 66 S.E.2d 605
Extracted from page: 29
","Wheeler v. Commonwealth, 192 Va. 665, 66 S.E.2d 605 (Va. Sep. 05, 1951)
","Sep. 05, 1951",Virgina,Overruled by," 1.  Watkins v. Commonwealth 
385 S.E.2d 50 , 238 Va. 341 , Va. , (NO. 890094 , 890095 )
","Sep. 22, 1989"
"15, 1951 191 Va. 768 62 S.E.2d 870
Extracted from page: 31
","Miller v. Grier S. Johnson, Inc., 191 Va. 768, 62 S.E.2d 870 (Va. Jan. 15, 1951)
","Jan. 15, 1951",Virgina,Abrogated by," 1.  Haugen v. Shenandoah Valley Dept. of Social Services 
645 S.E.2d 261 , 274 Va. 27 , Va. , (NO. 060869 )
","June 08, 2007"
"05, 1951 192 Va. 787 66 S.E.2d 500
Extracted from page: 32
","Williams v. Williams, 192 Va. 787, 66 S.E.2d 500 (Va. Sep. 05, 1951)
","Sep. 05, 1951",Virgina,Overruled by," 1.  Bailes v. Sours 
340 S.E.2d 824 , 231 Va. 96 , Va. , (NO. 841885 )
","Mar. 07, 1986"
"25, 1954 195 Va. 582 79 S.E.2d 610
Extracted from page: 35
","Plymale v. Commonwealth, 195 Va. 582, 79 S.E.2d 610 (Va. Jan. 25, 1954)
","Jan. 25, 1954",Virgina,Overruled by," 1.  Wooden v. Commonwealth
159 S.E.2d 623 , 208 Va. 629 , Va.
","Mar. 04, 1968"
"25, 1954 195 Va. 582 79 S.E.2d 610
Extracted from page: 35
","Plymale v. Commonwealth, 195 Va. 582, 79 S.E.2d 610 (Va. Jan. 25, 1954)
","Jan. 25, 1954",Virgina,Overruled by," 2.  Watkins v. Commonwealth 
385 S.E.2d 50 , 238 Va. 341 , Va. , (NO. 890094 , 890095 )
","Sep. 22, 1989"
"21, 1954 196 Va. 26 82 S.E.2d 562
Extracted from page: 36
","Anderson v. Anderson, 196 Va. 26, 82 S.E.2d 562 (Va. June 21, 1954)
","June 21, 1954",Virgina,Overruled by," 1.  Petachenko v. Petachenko  
350 S.E.2d 600 , 232 Va. 296 , Va. , (NO. 831124 )
","Nov. 26, 1986"
"14, 1934 162 Va. 597 174 S.E. 841
Extracted from page: 39
","Norfolk Southern R. Co. v. Gretakis, 162 Va. 597, 174 S.E. 841 (Va. June 14, 1934)
","June 14, 1934",Virgina,Overruled by," 1.  Smith v. Kauffman 
183 S.E.2d 190 , 212 Va. 181 , Va.
","Sep. 01, 1971"
