DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Wisconsin. April 02, 1990 154 Wis.2d 158 453 N.W.2d 127
Extracted from page: 1
","State v. Walker, No. 88-2058-CR, 154 Wis. 2d 158, 453 N.W.2d 127, 1990 WL 36177 (Wis. Apr. 02, 1990)
","Apr. 02, 1990",Wisconsin,Abrogated by," 1.  State v. Felix 
811 N.W.2d 775 , 339 Wis.2d 670 , 2012 WI 36 , Wis. , (NO. 2010AP346-CR )
","Apr. 03, 2012"
"Supreme Court of Wisconsin. July 12, 2013 349 Wis.2d 274 833 N.W.2d 146 2013 WI 69
Extracted from page: 6
","State v. Starks, No. 2010AP425, 2013 WI 69, 349 Wis. 2d 274, 833 N.W.2d 146, 2013 WL 3481349 (Wis. July 12, 2013)
","July 12, 2013",Wisconsin,Abrogated by," 1.  State ex rel. Warren v. Meisner  
944 N.W.2d 588 , 392 Wis.2d 1 , 2020 WI 55 , Wis. , (NO. 2019AP567-W )
","June 11, 2020"
"Supreme Court of Wisconsin. April 30, 1986 130 Wis.2d 18 386 N.W.2d 47
Extracted from page: 16
","State v. Waalen, No. 84-2133-CR, 130 Wis. 2d 18, 386 N.W.2d 47, 1986 WL 1392030 (Wis. Apr. 30, 1986)
","Apr. 30, 1986",Wisconsin,Abrogated by," 1.  State v. Hubbard  
752 N.W.2d 839 , 313 Wis.2d 1 , 2008 WI 92 , Wis. , (NO. 2006AP2753-CR )
","July 15, 2008"
"Supreme Court of Wisconsin. March 13, 1986 128 Wis.2d 404 383 N.W.2d 54
Extracted from page: 17
","Kramer v. Horton, No. 84-762, 128 Wis. 2d 404, 383 N.W.2d 54, 30 Ed. Law Rep. 1274 (Wis. Mar. 13, 1986)
","Mar. 13, 1986",Wisconsin,Overruled by," 1.  Casteel v. Vaade  
481 N.W.2d 476 , 167 Wis.2d 1 , Wis. , (NO. 90-0103 )
","Mar. 17, 1992"
"Supreme Court of Wisconsin. November 18, 1986 134 Wis.2d 108 396 N.W.2d 156
Extracted from page: 17
","State v. Washington, No. 83-1804-CR, 134 Wis. 2d 108, 396 N.W.2d 156 (Wis. Nov. 18, 1986)
","Nov. 18, 1986",Wisconsin,Abrogated by," 1.  Horton v. California 
110 S.Ct. 2301 , 496 U.S. 128 , 110 L.Ed.2d 112 , 58 USLW 4694 , U.S.Cal. , (NO. 88-7164 )
","June 04, 1990"
"Supreme Court of Wisconsin. November 18, 1986 134 Wis.2d 108 396 N.W.2d 156
Extracted from page: 17
","State v. Washington, No. 83-1804-CR, 134 Wis. 2d 108, 396 N.W.2d 156 (Wis. Nov. 18, 1986)
","Nov. 18, 1986",Wisconsin,Abrogated by," 2.  State v. Swanson
475 N.W.2d 148 , 164 Wis.2d 437 , 60 USLW 2315 , Wis. , (NO. 90-0747-CR )
","Oct. 14, 1991"
"Supreme Court of Wisconsin. June 24, 1986 131 Wis.2d 220 388 N.W.2d 601
Extracted from page: 19
","State v. Smith, No. 82-377-CR, 131 Wis. 2d 220, 388 N.W.2d 601, 1986 WL 1401571 (Wis. June 24, 1986)
","June 24, 1986",Wisconsin,Abrogated by," 1.  State v. Felix 
811 N.W.2d 775 , 339 Wis.2d 670 , 2012 WI 36 , Wis. , (NO. 2010AP346-CR )
","Apr. 03, 2012"
"Supreme Court of Wisconsin. June 20, 1986 131 Wis.2d 153 388 N.W.2d 565
Extracted from page: 20
","State v. Fry, No. 85-0625-CR, 131 Wis. 2d 153, 388 N.W.2d 565, 1986 WL 1401434 (Wis. June 20, 1986)
","June 20, 1986",Wisconsin,Overruled by," 1.  State v. Dearborn  
786 N.W.2d 97 , 327 Wis.2d 252 , 2010 WI 84 , Wis. , (NO. 2007AP1894-CR )
","July 15, 2010"
"Supreme Court of Wisconsin. January 10, 1899 101 Wis. 506 77 N.W. 894
Extracted from page: 25
","Ryan v. Chicago & N.W.R. Co., 101 Wis. 506, 77 N.W. 894 (Wis. Jan. 10, 1899)
","Jan. 10, 1899",Wisconsin,Overruled by," 1.  Meisenheimer v. Kellogg 
81 N.W. 1033 , 106 Wis. 30 , Wis.
","Feb. 27, 1900"
"Supreme Court of Wisconsin. October 20, 1899 104 Wis. 230 80 N.W. 593
Extracted from page: 29
","Perugi v. State, 104 Wis. 230, 80 N.W. 593, 76 Am. St. Rep. 865 (Wis. Oct. 20, 1899)
","Oct. 20, 1899",Wisconsin,Overruled by," 1.  Montgomery v. State 
107 N.W. 14 , 128 Wis. 183 , Wis.
","Apr. 17, 1906"
